name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,12/31/2001,12/31/2000
TotalAssets,"64,582,430,000","57,515,881,000","56,972,019,000","55,583,713,000","57,287,894,000","56,181,821,000","55,091,330,000","56,083,526,000","56,906,679,000","56,614,103,000","43,524,491,000","38,566,295,000","29,949,776,000","29,216,091,000","27,951,363,000","26,875,633,000","27,140,715,000","26,125,884,000","25,353,316,000","24,391,872,000","24,963,373,000","23,924,521,000","23,045,639,000","22,404,771,000","21,819,136,000","21,416,494,000","22,591,547,000","21,969,022,000","22,362,968,000","19,109,238,000","18,743,021,000","18,732,528,000","19,202,848,000","18,803,270,000","18,828,514,000","18,346,428,000","18,746,626,000","18,213,915,000","18,271,079,000","16,569,593,000","17,147,235,000","16,695,708,000","16,512,415,000","16,279,227,000","17,531,205,000","16,676,081,000","17,072,268,000","16,728,968,000","17,087,976,000","16,676,081,000","15,836,817,614.75","15,316,561,373.1","15,383,373,822","14,941,401,000","14,557,065,600","14,148,877,384.95","14,200,745,711","14,063,422,000","13,701,177,291.15","13,375,576,472.4","13,433,319,922","13,054,530,000","12,733,707,667.5","12,326,608,796","12,379,666,320","11,982,254,000","11,792,306,058","11,353,382,992","11,587,431,753","11,283,434,000","11,097,288,944","10,879,770,330","11,125,165,000","10,260,286,198.43"
	CurrentAssets,"10,043,646,000","7,845,856,000","7,717,131,000","6,659,418,000","7,721,674,000","6,000,912,000","5,803,759,000","5,020,070,000","7,250,219,000","5,787,862,000","9,541,895,000","4,732,792,000","5,364,123,000","4,233,018,000","3,853,807,000","3,254,144,000","3,953,156,000","2,985,529,000","3,892,830,000","3,766,692,000","4,744,911,000","3,903,916,000","4,031,935,000","3,660,397,000","3,031,283,000","2,554,114,000","3,869,360,000","3,307,907,000","3,866,384,000","3,164,783,000","3,002,225,000","3,020,339,000","3,520,200,000","2,813,207,000","3,325,306,000","2,874,518,000","3,304,719,000","2,669,488,000","3,086,124,000","2,072,166,000","2,646,381,000","2,083,163,000","2,191,984,000","1,915,976,000","3,091,697,000","2,533,610,000","2,762,273,000","2,588,040,000","2,916,416,000","2,533,610,000","2,095,516,326","1,742,554,582.6","1,805,797,908","1,640,690,000","1,607,984,253.75","1,594,166,097.15","1,805,828,518.75","1,858,598,000","1,714,104,302.1","1,584,686,458.8","1,664,332,730.5","1,435,077,000","1,352,575,952.5","1,153,865,117","1,244,416,190","1,021,776,000","1,023,990,786","778,537,288","885,213,864","722,747,000","693,038,395.5","605,103,525","1,069,169,000","673,596,387.12"
		CashCashEquivalentsAndShortTermInvestments,"7,784,257,000","6,192,679,000","6,196,806,000","4,851,261,000","5,853,666,000","4,584,507,000","4,569,129,000","3,688,908,000","5,725,346,000","4,677,454,000","7,678,970,000","2,829,843,000","4,495,303,000","3,497,635,000","3,521,380,000","2,675,313,000","2,945,610,000","2,084,160,000","3,494,583,000","3,172,234,000","3,704,686,000","2,855,362,000","3,099,319,000","2,351,972,000","1,603,406,000","1,259,562,000","2,396,648,000","1,941,851,000","2,660,945,000","2,265,427,000","1,941,590,000","1,569,091,000","2,069,241,000","1,529,667,000","1,741,071,000","1,366,441,000","1,851,061,000","1,442,879,000","1,537,706,000","669,984,000","1,331,456,000","961,404,000","1,239,343,000","973,320,000","1,945,749,000","1,925,697,000","1,776,786,000","1,632,187,000","2,313,814,000","1,925,697,000","1,766,459,903.55","1,391,675,912.25","1,444,785,880.5","1,241,678,000","1,325,613,345","1,196,694,077.7","1,431,427,516.25","1,538,012,712.3","1,485,609,542.25","1,305,290,832","1,358,138,534.5","1,163,835,976","1,112,142,837.5","857,997,535","940,000,180","711,014,519.25","706,434,222","584,160,960","626,403,168","500,461,728","439,101,287.5","369,178,290","879,836,765.5","559,447,050.72"
			CashAndCashEquivalents,"7,784,257,000","6,192,679,000","6,196,806,000","4,851,261,000","5,853,666,000","4,584,507,000","4,569,129,000","3,688,908,000","5,725,346,000","4,677,454,000","7,678,970,000","2,829,843,000","4,495,303,000","3,497,635,000","3,521,380,000","2,675,313,000","2,945,610,000","2,084,160,000","3,494,583,000","3,172,234,000","3,704,686,000","2,855,362,000","3,099,319,000","2,351,972,000","1,603,406,000","1,259,562,000","2,396,648,000","1,941,851,000","2,660,945,000","2,265,427,000","1,941,590,000","1,569,091,000","2,069,241,000","1,529,667,000","1,741,071,000","1,366,441,000","1,851,061,000","1,442,879,000","1,537,706,000","669,984,000","1,331,456,000","961,404,000","1,239,343,000","973,320,000","1,945,749,000","1,925,697,000","1,776,786,000","1,632,187,000","2,313,814,000","1,925,697,000","1,766,459,903.55","1,391,675,912.25","1,444,785,880.5","1,241,678,000","1,325,613,345","1,196,694,077.7","1,431,427,516.25","1,538,012,712.3","1,485,609,542.25","1,305,290,832","1,358,138,534.5","1,163,835,976","1,112,142,837.5","857,997,535","940,000,180","711,014,519.25","706,434,222","584,160,960","626,403,168","500,461,728","439,101,287.5","369,178,290","879,836,765.5","559,447,050.72"
				CashFinancial,,"3,642,037,000",,,,"3,713,072,000",,,,"4,417,791,000",,,,"3,142,810,000",,,,"1,439,800,000",,,,"2,026,260,000",,,,"746,723,000",,,,"1,180,814,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,"2,550,642,000",,,,"871,435,000",,,,"259,663,000",,,,"354,825,000",,,,"644,360,000",,,,"829,102,000",,,,"512,839,000",,,,"1,084,613,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"2,189,633,000","1,233,823,000","1,314,428,000","1,536,693,000","1,829,898,000","1,138,840,000","1,008,270,000","1,137,008,000","1,262,621,000","768,393,000","1,862,925,000","1,902,949,000","868,820,000","576,610,000","332,427,000","578,831,000","1,007,546,000","664,095,000","398,247,000","594,458,000","1,040,225,000","963,864,000","932,616,000","1,308,425,000","1,427,877,000","1,217,315,000","1,472,712,000","1,366,056,000","1,205,439,000","814,239,000","1,060,635,000","1,451,248,000","463,493,000","462,102,000","350,324,000","368,387,000","436,469,000","1,226,609,000","1,548,418,000","1,402,182,000","1,314,925,000","375,165,000","178,057,000","152,769,000","1,145,948,000","607,913,000","350,921,000","360,304,000","365,648,000","279,415,000","329,056,422.45","350,878,670.35","361,012,027.5","399,012,000","282,359,910","256,737,599.25","257,756,081.5","162,814,000","193,329,277.2","246,752,575.6","269,474,150","212,296,000","204,298,592.5","247,198,322","239,317,250","170,489,000","164,837,595","160,383,664","213,856,065","166,214,000","181,051,920.5","158,016,105","129,353,000","95,335,834.66"
			AccountsReceivable,"1,365,542,000","1,003,793,000","355,769,000","592,406,000","965,735,000","793,110,000","291,249,000","544,469,000","836,828,000","685,502,000","219,577,000","376,443,000","736,883,000","464,872,000","95,931,000","273,863,000","584,448,000","419,615,000","75,920,000","334,774,000","549,386,000","449,808,000","206,058,000","339,049,000","543,956,000","467,410,000","350,975,000","391,181,000","504,875,000","444,238,000","284,672,000","353,124,000","463,493,000","462,102,000","350,324,000","368,387,000","436,469,000","389,960,000","296,753,000","384,615,000","506,131,000",,"178,057,000","152,769,000","452,864,000","279,415,000","350,921,000","360,304,000","365,648,000","279,416,994.3","234,329,549.5","275,701,946.65","272,898,004.5","235,541,000","212,649,832.5","256,737,599.25","257,756,081.5","163,287,927.5","193,329,277.2","246,752,575.6","269,474,150","212,296,000","204,298,592.5","247,198,322","239,317,250","170,489,000","164,837,595","160,383,664","213,856,065","166,214,000","181,051,920.5","158,016,105","129,353,000","95,335,834.66"
				GrossAccountsReceivable,,"1,195,559,000",,,,"991,033,000",,,,"858,900,000",,,,"592,583,000",,,,"547,836,000",,,,"579,993,000",,,,"609,107,000",,,,"583,101,000",,,,"593,208,000",,,,,,,,,,,,"280,350,000",,,,,,,,"235,830,000",,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-191,766,000",,,,"-197,923,000",,,,"-173,398,000",,,,"-127,711,000",,,,"-128,221,000",,,,"-130,185,000",,,,"-141,697,000",,,,"-138,863,000",,,,"-131,106,000",,,,,,,,,,,,"-935,000",,,,,,,,"-289,000",,,,,,,,,,,,,,,,,,,,
