name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"8,237,000,000","2,130,000,000","2,123,000,000","1,960,000,000","2,024,000,000","1,690,000,000","2,008,000,000","1,833,000,000","1,619,000,000","1,808,000,000","1,835,000,000","1,646,000,000","1,576,000,000","1,737,000,000","1,705,000,000","1,581,000,000","1,475,000,000","1,626,000,000","1,684,000,000","1,541,000,000","1,294,000,000","1,529,000,000","1,581,000,000","1,392,000,000","1,211,000,000","1,362,000,000","1,443,000,000","1,139,000,000","1,148,000,000","1,236,000,000","1,563,000,000","1,150,000,000","1,113,000,000","1,283,000,000","1,335,000,000","1,093,000,000","1,039,000,000","1,156,000,000","1,255,000,000","1,052,000,000","1,034,000,000","1,126,100,000","1,092,700,000","1,096,200,000","1,005,600,000","1,103,800,000","1,169,900,000","1,030,700,000","1,014,200,000","1,038,400,000","1,194,800,000","1,091,900,000","1,079,600,000","1,122,500,000","1,136,511,000","994,955,000","997,611,000","1,018,875,000","1,092,776,000","994,649,000","931,983,000","977,038,000","1,153,521,000","901,413,000","874,293,000","890,578,000","849,419,000","778,057,000","839,089,000","962,333,000","943,429,000","918,670,000","925,136,000","943,307,000","1,014,836,000","993,239,000","972,250,000","984,026,000","1,003,526,000","951,479,000","878,296,000","835,182,000","854,100,000","831,400,000","813,800,000","963,634,000","1,031,800,000","1,037,800,000","1,016,800,000","1,052,523,000","1,034,800,000","987,600,000","945,800,000","888,200,000","1,163,500,000","1,032,800,000","1,030,900,000","1,068,000,000","1,002,500,000","1,005,900,000","433,300,000","463,100,000","476,600,000","469,900,000","357,800,000","535,700,000","433,300,000","426,600,000","370,200,000","481,200,000","463,100,000","457,700,000","440,800,000","-319,800,000","682,900,000","678,300,000","663,700,000","550,700,000","562,500,000","554,500,000","486,600,000","468,800,000","468,900,000","444,200,000","343,100,000","468,600,000","359,600,000","380,200,000","338,100,000","415,200,000","347,800,000","338,500,000","424,100,000","613,100,000","565,800,000","579,700,000","629,300,000","666,600,000","570,400,000"
	OperatingRevenue,"8,237,000,000","2,130,000,000","2,123,000,000","1,960,000,000","2,024,000,000","1,690,000,000","2,008,000,000","1,833,000,000","1,619,000,000","1,808,000,000","1,835,000,000","1,646,000,000","1,576,000,000","1,737,000,000","1,705,000,000","1,581,000,000","1,475,000,000","1,626,000,000","1,684,000,000","1,541,000,000","1,294,000,000","1,529,000,000","1,581,000,000","1,392,000,000","1,211,000,000","1,362,000,000","1,443,000,000","1,139,000,000","1,148,000,000","1,236,000,000","1,563,000,000","1,150,000,000","1,113,000,000","1,283,000,000","1,335,000,000","1,093,000,000","1,039,000,000","1,156,000,000","1,255,000,000","1,052,000,000","1,034,000,000","1,126,100,000","1,092,700,000","1,096,200,000","1,005,600,000","1,103,800,000","1,169,900,000","1,030,700,000","1,014,200,000","1,038,400,000","1,194,800,000","1,091,900,000","1,079,600,000","1,122,500,000","1,136,511,000","994,955,000","997,611,000","1,018,875,000","1,092,776,000","994,649,000","931,983,000","977,038,000","1,153,521,000","901,413,000","874,293,000","890,578,000","849,419,000","778,057,000","839,089,000","962,333,000","943,429,000","918,670,000","925,136,000","943,307,000","1,014,836,000","993,239,000","972,250,000","984,026,000","1,003,526,000","951,479,000","878,296,000","835,182,000","854,100,000","831,400,000","813,800,000","963,634,000","1,031,800,000","1,037,800,000","1,016,800,000","1,052,523,000","1,034,800,000","987,600,000","945,800,000","888,200,000","1,163,500,000","1,032,800,000","1,030,900,000","1,068,000,000","1,002,500,000","1,005,900,000","433,300,000","463,100,000","476,600,000","469,900,000","357,800,000","535,700,000","433,300,000","426,600,000","370,200,000","481,200,000","463,100,000","457,700,000","440,800,000","-319,800,000","682,900,000","678,300,000","663,700,000","550,700,000","562,500,000","554,500,000","486,600,000","468,800,000","468,900,000","444,200,000","343,100,000","468,600,000","359,600,000","380,200,000","338,100,000","415,200,000","347,800,000","338,500,000","424,100,000","613,100,000","565,800,000","579,700,000","629,300,000","666,600,000","570,400,000"
NetNonOperatingInterestIncomeExpense,"-68,000,000","-18,000,000","-17,000,000","-17,000,000","-16,000,000","-16,000,000","-15,000,000","-16,000,000","-15,000,000","-20,000,000","-21,000,000","-23,000,000","-21,000,000","-21,000,000","-19,000,000","-19,000,000","-18,000,000","-17,000,000","-18,000,000","-19,000,000","-20,000,000","-20,000,000","-18,000,000","-17,000,000","-18,000,000","-17,000,000","-18,000,000","-18,000,000","-18,000,000","-21,000,000","-22,000,000","-21,000,000","-21,000,000","-22,000,000","-21,000,000","-21,000,000","-21,000,000","-21,000,000","-21,000,000","-18,000,000","-18,000,000","-18,800,000","-18,500,000","-13,400,000","-16,000,000","-17,700,000","-16,300,000","-17,300,000","-18,700,000","-17,700,000","-17,800,000","-17,700,000","-18,100,000","-18,569,000","-18,324,000","-17,107,000","-18,500,000","-18,438,000","-18,367,000","-18,414,000","-18,008,000","-18,658,000","-18,050,000","-18,097,000","-17,088,000","-14,725,000","-14,613,000","-14,934,000","-13,048,000","-15,921,000","-15,647,000","-14,646,000","-14,193,000","-14,861,000","-14,924,000","-14,159,000","-16,800,000","-16,635,000","-18,182,000","-16,799,000","-16,026,000","-15,572,000","-17,200,000","-17,500,000","-13,400,000","-14,782,000","-14,900,000","-14,000,000","-14,000,000","-11,931,000","-12,900,000","-13,800,000","-13,700,000","-14,900,000","-17,800,000","-21,500,000","-21,900,000","-27,100,000","-30,600,000","-35,700,000","-13,200,000","-13,300,000","-13,100,000","-13,200,000","-13,600,000","-13,400,000","-15,000,000","-17,100,000","-17,300,000","-17,300,000","-17,300,000","-17,500,000","-17,500,000","-17,900,000","-17,700,000","-16,200,000","-13,900,000","-14,200,000","-14,000,000","-13,400,000","-10,400,000","-9,800,000","-8,000,000","-5,100,000","-5,000,000",,,,,,,,,,,,,,
	InterestExpenseNonOperating,"68,000,000","18,000,000","17,000,000","17,000,000","16,000,000","16,000,000","15,000,000","16,000,000","15,000,000","20,000,000","21,000,000","23,000,000","21,000,000","21,000,000","19,000,000","19,000,000","18,000,000","17,000,000","18,000,000","19,000,000","20,000,000","20,000,000","18,000,000","17,000,000","18,000,000","17,000,000","18,000,000","18,000,000","18,000,000","21,000,000","22,000,000","21,000,000","21,000,000","22,000,000","21,000,000","21,000,000","21,000,000","21,000,000","21,000,000","18,000,000","18,000,000","18,800,000","18,500,000","13,400,000","16,000,000","17,700,000","16,300,000","17,300,000","18,700,000","17,700,000","17,800,000","17,700,000","18,100,000","18,569,000","18,324,000","17,107,000","18,500,000","18,438,000","18,367,000","18,414,000","18,008,000","18,658,000","18,050,000","18,097,000","17,088,000","14,725,000","14,613,000","14,934,000","13,048,000","15,921,000","15,647,000","14,646,000","14,193,000","14,861,000","14,924,000","14,159,000","16,800,000","16,635,000","18,182,000","16,799,000","16,026,000","15,572,000","17,200,000","17,500,000","13,400,000","14,782,000","14,900,000","14,000,000","14,000,000","11,931,000","12,900,000","13,800,000","13,700,000","14,900,000","17,800,000","21,500,000","21,900,000","27,100,000","30,600,000","35,700,000","13,200,000","13,300,000","13,100,000","13,200,000","13,600,000","13,400,000","15,000,000","17,100,000","17,300,000","17,300,000","17,300,000","17,500,000","17,500,000","17,900,000","17,700,000","16,200,000","13,900,000","14,200,000","14,000,000","13,400,000","10,400,000","9,800,000","8,000,000","5,100,000","5,000,000",,,,,,,,,,,,,,
OtherIncomeExpense,"201,000,000","48,000,000","52,000,000","51,000,000","50,000,000","53,000,000","54,000,000","43,000,000","49,000,000","52,000,000","48,000,000","47,000,000","59,000,000","52,000,000","46,000,000","80,000,000","46,000,000","66,000,000","40,000,000","90,000,000","47,000,000","27,000,000","28,000,000","26,000,000","21,000,000","26,000,000","24,000,000","25,000,000","22,000,000","48,000,000","49,000,000","47,000,000","39,000,000","93,000,000","48,000,000","48,000,000","41,000,000","26,000,000","57,000,000","54,000,000","44,000,000","48,900,000","55,500,000","59,100,000","62,900,000","62,300,000","77,000,000","96,200,000","84,500,000","83,300,000","86,100,000","92,000,000","82,700,000","129,744,000","83,216,000","78,448,000","74,769,000","115,666,000","124,780,000","92,380,000","82,160,000","92,691,000","93,102,000","87,758,000","68,864,000","66,619,000","75,865,000","69,626,000","57,437,000","82,091,000","66,450,000","62,403,000","48,322,000","47,924,000","59,857,000","53,804,000","58,284,000","107,644,000","53,258,000","43,930,000","48,193,000","-603,782,000","242,000,000","248,500,000","250,700,000","-743,130,000","284,900,000","282,000,000","293,800,000","-621,516,000","262,800,000","261,900,000","256,600,000","286,600,000","419,900,000","271,100,000","293,200,000","276,000,000","248,600,000","252,200,000","40,800,000","53,900,000","53,800,000","70,100,000","-6,700,000","170,400,000","83,100,000","100,100,000","85,200,000","199,500,000","189,400,000","204,600,000","205,100,000","-1,200,900,000","682,900,000","678,300,000","663,700,000","550,700,000","562,500,000","554,500,000","486,600,000","468,800,000","468,900,000","444,200,000","343,100,000",,,,,,,,,,,,,,
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,417,000",,,"-2,746,000","-2,353,000",,,"-6,395,000","-2,313,000",,,,"2,027,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"1,108,000,000","259,000,000","177,000,000","259,000,000","413,000,000","-39,000,000","244,000,000","260,000,000","174,000,000","267,000,000","29,000,000","205,000,000","223,000,000","317,000,000","178,000,000","136,000,000","156,000,000","210,000,000","99,000,000","226,000,000","30,000,000","190,000,000","145,000,000","130,000,000","161,000,000","246,000,000","142,000,000","126,000,000","175,000,000","-30,000,000","285,000,000","136,000,000","146,000,000","241,000,000","155,000,000","69,000,000","95,000,000","176,000,000","208,000,000","158,000,000","147,000,000","236,200,000","202,700,000","206,000,000","168,000,000","61,900,000","28,000,000","100,000,000","126,000,000","147,700,000","183,800,000","112,500,000","194,900,000","223,848,000","157,327,000","146,592,000","169,070,000","127,188,000","-24,302,000","149,606,000","104,322,000","146,016,000","232,584,000","92,670,000","118,268,000","140,154,000","72,331,000","50,583,000","37,938,000","51,841,000","51,403,000","23,921,000","50,854,000","57,357,000","-62,429,000","20,122,000","40,848,000","11,184,000","639,000","27,463,000","70,607,000","302,061,000","0","0","0","204,754,000","0","0","0","319,610,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,
TaxProvision,"239,000,000","68,000,000","34,000,000","50,000,000","87,000,000","-4,000,000","41,000,000","52,000,000","33,000,000","101,000,000","18,000,000","60,000,000","68,000,000","-71,000,000","65,000,000","73,000,000","52,000,000","80,000,000","33,000,000","77,000,000","5,000,000","65,000,000","54,000,000","47,000,000","54,000,000","81,000,000","44,000,000","49,000,000","62,000,000","-49,000,000","74,000,000","52,000,000","58,000,000","114,000,000","48,000,000","32,000,000","46,000,000","67,000,000","82,000,000","58,000,000","59,000,000","78,400,000","71,600,000","73,900,000","58,300,000","24,500,000","9,500,000","37,000,000","44,900,000","53,800,000","62,900,000","36,800,000","72,300,000","77,929,000","56,482,000","41,707,000","59,332,000","31,266,000","5,199,000","54,645,000","35,131,000","41,416,000","78,031,000","29,260,000","37,382,000","-89,822,000","22,546,000","14,029,000","5,793,000","-1,496,000","15,447,000","3,256,000","673,000","14,625,000","-22,152,000","3,173,000","14,432,000","274,000","1,595,000","7,201,000","23,161,000","23,998,000","17,100,000","23,800,000","33,300,000","-17,916,000","29,600,000","26,000,000","41,800,000","23,727,000","23,800,000","34,300,000","38,300,000","-3,200,000","29,200,000","23,700,000","41,600,000","16,600,000","17,600,000","13,000,000","9,900,000","9,900,000","9,600,000","12,000,000","8,900,000","32,200,000","-51,000,000","-29,300,000","-4,500,000","13,200,000","9,500,000","9,300,000","9,500,000","11,200,000","10,000,000","9,500,000","11,200,000","9,400,000","12,900,000","12,700,000","12,200,000","12,500,000","14,500,000","13,200,000","18,100,000",,,,,,,,,,,,,,
EarningsFromEquityInterestNetOfTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,200,000","2,400,000","-2,700,000",,"-4,100,000","-8,200,000","-10,400,000","-9,000,000","-10,383,000","-7,295,000","-7,699,000","-8,228,000","-6,157,000","3,071,000","-13,336,000","-6,316,000","-10,465,000","-11,655,000","-7,042,000","-6,422,000","-6,055,000","-8,185,000","-6,044,000","-7,025,000",,,"-8,535,000","-8,411,000",,,"-10,679,000","-13,286,000","-96,748,000","-21,219,000","-3,937,000","-2,721,000","-263,868,000","45,700,000","68,900,000","92,400,000",,"86,000,000","66,500,000","108,700,000",,"57,500,000","95,400,000","101,500,000","-2,300,000","150,800,000","82,000,000","122,800,000","93,200,000","68,600,000","46,000,000","26,200,000","24,800,000","34,800,000","28,600,000","-47,000,000","82,600,000","35,200,000","45,700,000","26,600,000","33,500,000","23,600,000","23,500,000","24,000,000","10,800,000","30,800,000","29,400,000","34,300,000","29,400,000","39,600,000","38,800,000","37,200,000","37,800,000","43,700,000","40,100,000","110,800,000",,,,,,,,,,,,,,
NetIncomeCommonStockholders,"897,000,000","211,000,000","147,000,000","210,000,000","329,000,000","-29,000,000","204,000,000","210,000,000","145,000,000","166,000,000","11,000,000","145,000,000","153,000,000","385,000,000","109,000,000","54,000,000","101,000,000","129,000,000","63,000,000","141,000,000","19,000,000","127,000,000","116,000,000","106,000,000","103,000,000","158,000,000","83,000,000","110,000,000","120,000,000","50,000,000","226,000,000","99,000,000","113,000,000","109,000,000","96,000,000","55,000,000","83,000,000","133,000,000","132,000,000","108,000,000","106,000,000","161,000,000","127,200,000","127,300,000","103,800,000","38,600,000","20,900,000","60,300,000","76,000,000","89,900,000","112,700,000","67,000,000","113,600,000","135,490,000","93,550,000","122,850,000","101,510,000","88,510,000","-26,430,000","81,625,000","62,875,000","92,520,000","138,200,000","55,940,000","73,200,000","192,464,000","41,600,000","30,510,000","25,120,000","3,860,000","26,880,000","12,130,000","41,770,000","31,500,000","-55,700,000","6,270,000","13,130,000","-94,910,000","-22,175,000","16,325,000","44,725,000","14,840,000","30,100,000","41,400,000","55,200,000","-38,700,000","56,400,000","40,500,000","66,200,000","-112,083,000","26,700,000","61,100,000","63,200,000","-1,900,000","113,200,000","48,400,000","73,600,000","74,800,000","53,000,000","33,500,000","16,300,000","14,900,000","26,100,000","15,200,000","-55,900,000","41,000,000","82,100,000","75,000,000","33,900,000","135,300,000","14,100,000","11,000,000","6,100,000","-61,200,000","20,800,000","19,900,000","23,100,000","20,000,000","26,700,000","26,100,000","25,000,000","25,300,000","29,200,000","26,900,000","92,700,000","19,300,000","37,800,000","23,800,000","22,500,000","-8,700,000","19,300,000","12,600,000","14,000,000","78,600,000","16,100,000","34,100,000","25,400,000","27,200,000","12,400,000"
	NetIncome,"897,000,000","211,000,000","147,000,000","210,000,000","329,000,000","-29,000,000","204,000,000","210,000,000","145,000,000","166,000,000","11,000,000","145,000,000","153,000,000","385,000,000","109,000,000","54,000,000","101,000,000","129,000,000","63,000,000","141,000,000","19,000,000","127,000,000","116,000,000","106,000,000","103,000,000","158,000,000","83,000,000","110,000,000","120,000,000","50,000,000","226,000,000","99,000,000","113,000,000","109,000,000","96,000,000","55,000,000","83,000,000","133,000,000","132,000,000","108,000,000","106,000,000","161,000,000","127,200,000","127,300,000","103,800,000","38,600,000","20,900,000","60,300,000","76,000,000","89,900,000","112,700,000","67,000,000","113,600,000","135,490,000","93,550,000","122,850,000","101,510,000","88,510,000","-26,430,000","81,625,000","62,875,000","92,520,000","138,200,000","55,940,000","73,200,000","196,585,000","41,600,000","30,510,000","25,120,000","3,860,000","26,880,000","12,130,000","41,770,000","31,500,000","-55,700,000","6,270,000","13,130,000","-94,910,000","-22,175,000","16,325,000","44,725,000","14,840,000","30,100,000","41,400,000","55,200,000","-38,700,000","56,400,000","40,500,000","66,200,000","41,250,000","26,700,000","61,100,000","63,200,000","-1,900,000","113,200,000","48,400,000","73,600,000","74,800,000","53,000,000","33,500,000","16,300,000","14,900,000","26,100,000","15,200,000","-55,900,000","41,000,000","82,100,000","75,000,000","33,900,000","135,300,000","14,100,000","11,000,000","6,100,000","-61,200,000","20,800,000","19,900,000","23,100,000","20,000,000","26,700,000","26,100,000","25,000,000","25,300,000","29,200,000","26,900,000","92,700,000","19,300,000","37,800,000","23,800,000","22,500,000","-8,700,000","19,300,000","12,600,000","14,000,000","78,600,000","16,100,000","34,100,000","25,400,000","27,200,000","12,400,000"
		NetIncomeIncludingNoncontrollingInterests,"869,000,000","191,000,000","143,000,000","209,000,000","326,000,000","-35,000,000","203,000,000","208,000,000","141,000,000","166,000,000","11,000,000","145,000,000","155,000,000","388,000,000","113,000,000","63,000,000","104,000,000","130,000,000","66,000,000","149,000,000","25,000,000","125,000,000","91,000,000","83,000,000","107,000,000","165,000,000","98,000,000","77,000,000","113,000,000","19,000,000","211,000,000","84,000,000","88,000,000","127,000,000","107,000,000","37,000,000","49,000,000","109,000,000","126,000,000","100,000,000","88,000,000","157,800,000","131,100,000","132,100,000","109,700,000","37,400,000","18,500,000","63,000,000","81,100,000","95,200,000","120,500,000","77,100,000","122,100,000","145,378,000","100,218,000","130,021,000","109,288,000","94,486,000","-19,169,000","90,567,000","68,747,000","102,279,000","149,187,000","62,100,000","78,704,000","205,841,000","52,694,000","38,971,000","32,702,000","11,820,000","33,210,000","18,312,000","47,447,000","38,224,000","-46,672,000","14,636,000","23,082,000","-86,243,000","-11,336,000","22,289,000","54,621,000","91,925,000","17,400,000","29,500,000","41,800,000","-50,700,000","39,800,000","27,600,000","51,900,000","88,150,000","9,900,000","61,100,000","63,200,000","-1,900,000","113,200,000","48,400,000","73,600,000","74,800,000","53,000,000","33,500,000","16,300,000","14,900,000","26,100,000","15,200,000","-55,900,000","41,000,000","82,100,000","75,000,000","33,900,000","135,300,000","14,100,000","11,000,000","6,100,000","-61,200,000","20,800,000","19,900,000","23,100,000","20,000,000","26,700,000","26,100,000","25,000,000","25,300,000","29,200,000","26,900,000","92,700,000","19,300,000","37,800,000","23,800,000","22,500,000","-8,700,000","19,300,000","12,600,000","14,000,000","78,600,000","16,100,000","34,100,000","25,400,000","27,200,000","12,400,000"
			NetIncomeContinuousOperations,"869,000,000","191,000,000","143,000,000","209,000,000","326,000,000","-35,000,000","203,000,000","208,000,000","141,000,000","166,000,000","11,000,000","145,000,000","155,000,000","388,000,000","113,000,000","63,000,000","104,000,000","130,000,000","66,000,000","149,000,000","25,000,000","125,000,000","91,000,000","83,000,000","107,000,000","165,000,000","98,000,000","77,000,000","113,000,000","19,000,000","211,000,000","84,000,000","88,000,000","127,000,000","107,000,000","37,000,000","49,000,000","109,000,000","126,000,000","100,000,000","88,000,000","157,800,000","131,100,000","132,100,000","109,700,000","38,600,000","20,900,000","60,300,000","81,100,000","89,800,000","112,700,000","65,300,000","113,600,000","135,536,000","93,550,000","97,186,000","101,510,000","89,765,000","-26,430,000","81,625,000","62,875,000","94,135,000","142,898,000","56,368,000","74,464,000","223,921,000","41,600,000","30,510,000","25,120,000","18,198,000","35,956,000","12,130,000","41,770,000","-7,888,000","-40,277,000","6,270,000","13,130,000","-85,838,000","-22,175,000","16,325,000","44,725,000","14,195,000","28,600,000","45,100,000","59,100,000","-38,730,000","56,400,000","40,500,000","66,900,000","41,383,000","33,700,000","61,100,000","63,200,000","900,000","121,600,000","58,300,000","81,200,000","76,600,000","51,000,000","33,000,000","16,300,000","14,900,000","25,200,000","16,600,000","-55,900,000","50,400,000","86,200,000","75,000,000","31,100,000","20,300,000","14,100,000","14,200,000","14,500,000","-400,000","20,800,000","19,900,000","23,100,000","20,000,000","26,700,000","26,100,000","25,000,000","25,300,000","29,200,000","26,900,000","92,700,000","19,300,000","32,400,000","21,900,000","20,500,000","-8,700,000","17,900,000","12,600,000","14,000,000","78,600,000","16,100,000","34,100,000","25,400,000","27,200,000","12,400,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0",,"100,000","0","1,700,000","0","-46,000","0","25,664,000",,"-1,255,000","0","0","0","-1,615,000","-942,000","-428,000","573,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","900,000","-1,400,000",,"-9,400,000","-4,100,000",,"2,800,000","0",,"-3,200,000","-8,400,000",,,,,,,,,,,,,"0","5,400,000","1,900,000","2,000,000","0","1,400,000",,,,,,,,
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","-3,756,000","0","-1,837,000","6,300,000","0","0","0","-40,360,000","0","0",,"0","0",,,"-9,072,000","0","0","0","-1,655,000",,,"-3,900,000",,,,,,,,,,,,,,,,,,,,,,,,,"115,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetIncomeFromTaxLossCarryforward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,200,000","-2,400,000","2,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"600,000","1,500,000","-3,700,000",,"0",,,"-700,000","-100,000","-7,000,000",,,"-2,800,000","-8,400,000","-9,900,000","-7,600,000","-1,800,000","2,000,000","500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
