name,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011
TotalAssets,"6,650,000,000","4,059,000,000","2,409,600,000","2,566,800,000","2,691,893,000","2,216,973,000","1,289,565,000","674,425,000","399,495,000"
	CurrentAssets,"1,729,000,000","1,262,100,000","1,164,700,000","1,669,800,000","2,017,431,000","1,777,169,000","989,189,000","464,063,000","245,398,000"
		CashCashEquivalentsAndShortTermInvestments,"172,000,000","163,100,000","227,700,000","702,000,000","978,922,000","955,145,000","472,511,000","106,354,000","21,065,000"
			CashAndCashEquivalents,"172,000,000","163,100,000","227,700,000","702,000,000","978,922,000","955,145,000","472,511,000","106,354,000","21,065,000"
		Receivables,"403,000,000","299,900,000","277,800,000","316,800,000","375,708,000","314,055,000","206,454,000","127,226,000","80,081,000"
			AccountsReceivable,"383,000,000","290,500,000","265,800,000","307,900,000","363,419,000","314,055,000","206,454,000","127,226,000","102,654,000"
				GrossAccountsReceivable,"482,000,000","399,100,000","369,700,000","425,000,000","453,443,000","382,296,000","252,609,000","159,266,000",
				AllowanceForDoubtfulAccountsReceivable,"-99,000,000","-108,600,000","-103,900,000","-117,100,000","-90,024,000","-68,241,000","-46,155,000","-32,040,000",
			AccruedInterestReceivable,"11,000,000",,,,,,,,
			OtherReceivables,"9,000,000","9,400,000","12,000,000","8,900,000","12,289,000",,,,"5,315,000"
			ReceivablesAdjustmentsAllowances,,,,,,,,,"-27,888,000"
		Inventory,"953,000,000","660,700,000","549,300,000","546,800,000","519,908,000","426,938,000","266,894,000","187,413,000","117,173,000"
		PrepaidAssets,"149,000,000","101,200,000","78,300,000","85,100,000","72,318,000","50,492,000","34,850,000","31,925,000","19,757,000"
		RestrictedCash,,,"1,900,000",,,,,,
		CurrentDeferredAssets,,,,,"27,739,000","30,539,000","8,480,000","11,145,000","7,322,000"
			CurrentDeferredTaxesAssets,,,,,"27,739,000","30,539,000","8,480,000","11,145,000","7,322,000"
		HedgingAssetsCurrent,,,"4,700,000","100,000","25,004,000",,,,
		OtherCurrentAssets,"52,000,000","37,200,000","25,000,000","19,000,000","17,832,000",,,,
	TotalNonCurrentAssets,"4,921,000,000","2,796,900,000","1,244,900,000","897,000,000","674,462,000","439,804,000","300,376,000","210,362,000","154,097,000"
		NetPPE,"615,000,000","583,200,000","591,500,000","758,200,000","562,934,000","350,678,000","242,113,000","170,755,000","119,323,000"
			GrossPPE,"1,730,000,000","1,584,800,000","1,425,400,000","1,249,100,000","900,689,000","585,059,000","407,453,000","288,242,000","197,017,000"
				Properties,"0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"15,000,000","16,200,000","14,000,000","15,100,000",,,,,
				BuildingsAndImprovements,"47,000,000","51,600,000","40,600,000",,,,,,
				MachineryFurnitureEquipment,"707,000,000","653,900,000","574,700,000","459,700,000","338,159,000","191,086,000","119,041,000","89,160,000","93,169,000"
				OtherProperties,"270,000,000","273,900,000","256,000,000","242,900,000","189,308,000","123,637,000","78,809,000","48,058,000",
				ConstructionInProgress,"52,000,000","38,200,000","32,200,000","116,800,000","78,997,000","53,885,000","41,297,000","13,253,000","8,828,000"
				Leases,"639,000,000","551,000,000","507,900,000","414,600,000","294,225,000","216,451,000","168,306,000","137,771,000","95,020,000"
			AccumulatedDepreciation,"-1,115,000,000","-1,001,600,000","-833,900,000","-490,900,000","-337,755,000","-234,381,000","-165,340,000","-117,487,000","-77,694,000"
		GoodwillAndOtherIntangibleAssets,"3,952,000,000","2,083,400,000","537,800,000","90,600,000","75,546,000","62,039,000","34,985,000","28,151,000","29,801,000"
			Goodwill,"1,659,000,000","847,700,000","119,700,000","23,200,000","14,005,000","14,005,000","14,005,000","14,005,000","14,005,000"
			OtherIntangibleAssets,"2,293,000,000","1,235,700,000","418,100,000","67,400,000","61,541,000","48,034,000","20,980,000","14,146,000","15,796,000"
		NonCurrentDeferredAssets,"112,000,000","56,200,000","73,300,000","24,500,000","2,484,000","3,662,000","4,389,000","3,952,000","1,951,000"
			NonCurrentDeferredTaxesAssets,"112,000,000","56,200,000","73,300,000","24,500,000","2,484,000","3,662,000","4,389,000","3,952,000","1,951,000"
		OtherNonCurrentAssets,"242,000,000","74,100,000","42,300,000","23,700,000","33,498,000","23,425,000","18,889,000","7,504,000","3,022,000"
TotalLiabilitiesNetMinorityInterest,"4,218,000,000","2,037,500,000","814,600,000","567,300,000","450,928,000","410,842,000","242,319,000","218,188,000","274,175,000"
	CurrentLiabilities,"1,542,000,000","960,300,000","565,800,000","435,500,000","330,081,000","308,370,000","164,248,000","165,006,000","127,725,000"
		PayablesAndAccruedExpenses,"899,000,000","728,200,000","414,400,000","386,700,000","320,659,000","308,370,000","157,780,000","132,361,000","88,860,000"
			Payables,"452,000,000","426,000,000","265,800,000","221,200,000","188,527,000","179,338,000","99,686,000","80,161,000","88,860,000"
				AccountsPayable,"371,000,000","294,100,000","176,300,000","131,400,000","142,818,000","131,953,000","82,977,000","67,326,000","52,873,000"
				TotalTaxPayable,"81,000,000","131,900,000","89,500,000","89,800,000","45,709,000","47,385,000","16,709,000","12,835,000","18,701,000"
