name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
TotalRevenue,"2,992,300,000","3,087,100,000","3,347,600,000","3,041,700,000","2,747,000,000","2,745,100,000","3,042,200,000"
	OperatingRevenue,"2,992,300,000","3,087,100,000","3,347,600,000","3,041,700,000","2,747,000,000","2,745,100,000","3,042,200,000"
CostOfRevenue,"1,901,300,000","1,944,600,000","2,017,000,000","1,823,700,000","1,686,200,000","1,709,000,000","2,015,200,000"
GrossProfit,"1,091,000,000","1,142,500,000","1,330,600,000","1,218,000,000","1,060,800,000","1,036,100,000","1,027,000,000"
OperatingExpense,"776,400,000","783,300,000","823,200,000","779,300,000","747,000,000","784,100,000","810,200,000"
	SellingGeneralAndAdministration,"767,900,000","774,200,000","808,900,000","779,600,000","744,100,000","784,500,000","815,700,000"
		GeneralAndAdministrativeExpense,"767,900,000","774,200,000","808,900,000","779,600,000","744,100,000","784,500,000","815,700,000"
			SalariesAndWages,"2,300,000","3,100,000","3,100,000",,,,
			OtherGandA,"770,200,000","777,300,000","805,800,000","779,600,000","744,100,000","784,500,000","815,700,000"
	OtherOperatingExpenses,"8,500,000","9,100,000","14,300,000","-300,000","2,900,000","-400,000","-5,500,000"
OperatingIncome,"314,600,000","359,200,000","507,400,000","438,700,000","313,800,000","252,000,000","216,800,000"
NetNonOperatingInterestIncomeExpense,"-149,800,000","-152,100,000","-172,200,000","-230,000,000","-213,300,000","-210,800,000","-171,100,000"
	InterestIncomeNonOperating,"6,600,000","5,700,000","3,700,000","4,600,000","3,000,000","1,800,000","2,000,000"
	InterestExpenseNonOperating,"139,900,000","141,200,000","150,300,000","234,600,000","216,300,000","212,600,000","173,100,000"
	TotalOtherFinanceCost,"16,500,000","16,600,000","25,600,000",,,,
OtherIncomeExpense,"-7,600,000","-8,300,000","-31,700,000","-99,200,000","-7,600,000","500,000","-170,700,000"
	GainOnSaleOfSecurity,"-400,000","800,000","8,700,000","-57,400,000","7,200,000","67,700,000","63,500,000"
	SpecialIncomeCharges,"-7,300,000","-9,300,000","-40,700,000","-38,300,000","-15,000,000","-67,400,000","-234,300,000"
		RestructuringAndMergernAcquisition,"6,600,000","8,600,000","13,100,000","35,500,000","11,800,000","16,300,000","233,700,000"
		ImpairmentOfCapitalAssets,,"700,000","600,000","2,800,000","3,200,000","51,100,000","600,000"
		OtherSpecialCharges,,,"27,000,000",,,,
	OtherNonOperatingIncomeExpenses,,"200,000","300,000","-3,500,000","200,000","200,000",
PretaxIncome,"157,200,000","198,800,000","303,500,000","109,500,000","92,900,000","41,700,000","-125,000,000"
TaxProvision,"27,700,000","-495,900,000","31,800,000","-72,500,000","21,100,000","-9,200,000","-51,900,000"
EarningsFromEquityInterestNetOfTax,,,,,"100,000",,"500,000"
NetIncomeCommonStockholders,"112,000,000","690,100,000","245,300,000","151,300,000","57,700,000","24,900,000","-142,100,000"
	NetIncome,"112,000,000","690,100,000","245,300,000","151,300,000","57,700,000","24,900,000","-142,100,000"
		NetIncomeIncludingNoncontrollingInterests,"129,200,000","694,100,000","271,100,000","182,700,000","84,300,000","50,900,000","-122,900,000"
			NetIncomeContinuousOperations,"129,500,000","694,700,000","271,700,000","182,000,000","71,900,000","50,900,000","-72,600,000"
			NetIncomeDiscontinuousOperations,"-900,000","-600,000","-600,000","700,000","12,400,000","0","-50,300,000"
		MinorityInterests,"-17,200,000","-4,000,000","-25,800,000","-31,400,000","-26,600,000","-26,000,000","-19,200,000"
DilutedNIAvailtoComStockholders,"112,000,000","690,100,000","245,300,000","151,300,000","57,700,000","24,900,000","-142,100,000"
BasicEPS,,,"0.86","0.533","0.13","0.088",
DilutedEPS,,,"0.84","0.533","0.13","0.088",
BasicAverageShares,,,"285,232,558","283,974,605","283,974,605","283,974,605",
DilutedAverageShares,,,"291,698,273","283,974,605","283,974,605","283,974,605",
