name,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
TotalAssets,"965,076,000,000","717,124,000,000","506,812,000,000","364,450,000,000","255,434,000,000","111,549,000,000","63,786,000,000","47,210,000,000","15,295,468,000","12,705,140,000","9,456,742,000","7,892,930,000","3,196,092,000","413,000"
	CurrentAssets,"270,273,000,000","256,855,000,000","182,516,000,000","134,070,000,000","142,109,000,000","67,833,000,000","43,162,000,000","27,899,000,000","13,241,097,000","11,040,015,000","8,142,894,000","7,120,653,000","1,767,301,000","413,000"
		CashCashEquivalentsAndShortTermInvestments,"203,165,000,000","210,210,000,000","150,801,000,000","115,696,000,000","125,999,000,000","45,074,000,000","33,315,000,000","22,337,000,000","11,651,800,000","10,056,852,000","7,266,445,000","6,612,324,000","1,751,663,000","18,000"
			CashAndCashEquivalents,"189,976,000,000","199,309,000,000","143,736,000,000","106,818,000,000","108,193,000,000","33,045,000,000","30,396,000,000","16,857,000,000","3,433,048,000","3,254,344,000","2,748,690,000","2,688,951,000","1,751,663,000","18,000"
				CashFinancial,,,,,,,,,"2,169,455,000","168,179,000",,,,
				CashEquivalents,,,,,,,,,"1,263,593,000","3,086,165,000",,,,
			OtherShortTermInvestments,"13,189,000,000","10,901,000,000","7,065,000,000","8,878,000,000","17,806,000,000","12,029,000,000","2,919,000,000","5,480,000,000","8,218,752,000","6,802,508,000","4,517,755,000","3,923,373,000",,
		Receivables,"29,920,000,000","25,370,000,000","21,374,000,000","11,738,000,000","11,163,000,000","15,897,000,000","4,761,000,000","1,289,000,000","559,465,000","93,696,000","37,925,000","12,678,000","7,801,000","0"
			AccountsReceivable,"13,771,000,000","7,284,000,000","4,388,000,000","1,209,000,000","1,067,000,000","269,000,000","135,000,000","155,000,000","45,494,000","54,162,000",,,,
			LoansReceivable,"490,000,000","419,000,000","812,000,000","390,000,000","1,236,000,000","13,159,000,000","4,426,000,000","581,000,000","7,488,000",,,,,
			AccruedInterestReceivable,"867,000,000","672,000,000","447,000,000","314,000,000","561,000,000","231,000,000","38,000,000","88,000,000","179,860,000",,,,,
			TaxesReceivable,"7,347,000,000","8,915,000,000","8,810,000,000","6,589,000,000","3,457,000,000","78,000,000","59,000,000","410,000,000","218,244,000",,,,,
			DuefromRelatedPartiesCurrent,"7,445,000,000","8,080,000,000","4,131,000,000","3,236,000,000","4,842,000,000","2,160,000,000","103,000,000","55,000,000","47,156,000",,,,,
			OtherReceivables,,,"2,786,000,000",,,,,,"61,223,000","39,534,000",,,,
		Inventory,"8,534,000,000","4,535,000,000",,,,,,,,,,,,
		PrepaidAssets,"11,738,000,000","5,760,000,000","4,176,000,000","1,677,000,000","662,000,000","437,000,000","186,000,000","139,000,000","51,456,000","293,749,000","309,028,000","186,476,000",,
		RestrictedCash,"8,518,000,000","3,417,000,000","2,655,000,000","1,346,000,000","2,297,000,000","4,921,000,000","3,687,000,000","3,312,000,000","408,410,000",,,,,
