name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
TotalRevenue,"16,258,000,000","16,258,000,000","6,543,000,000","8,727,000,000","4,107,000,000","2,616,000,000","4,100,000,000","1,597,000,000"
	TotalPremiumsEarned,"6,382,000,000","6,382,000,000","3,368,000,000","2,465,000,000","240,000,000","195,000,000","100,000,000","-1,137,000,000"
		NetPremiumsWritten,,,"3,368,000,000","2,465,000,000","240,000,000","195,000,000","100,000,000","-1,137,000,000"
			GrossPremiumsWritten,,,"3,773,000,000","2,660,000,000","468,000,000","469,000,000","415,000,000","294,000,000"
			CededPremiums,,,"-405,000,000","-195,000,000","-228,000,000","-274,000,000","-315,000,000","-1,431,000,000"
	NetInvestmentIncome,"9,024,000,000","9,024,000,000","2,960,000,000","5,671,000,000","3,501,000,000","2,311,000,000","3,339,000,000","2,430,000,000"
	NetRealizedGainLossOnInvestments,"291,000,000","291,000,000","-260,000,000","214,000,000","51,000,000","-163,000,000","423,000,000","223,000,000"
	FeeRevenueAndOtherIncome,"561,000,000","561,000,000","475,000,000","377,000,000","315,000,000","273,000,000","238,000,000","81,000,000"
		OtherIncomeExpense,"561,000,000","561,000,000","475,000,000","377,000,000","315,000,000","273,000,000","238,000,000","81,000,000"
TotalExpenses,"13,956,000,000","13,956,000,000","5,368,000,000","7,192,000,000","3,354,000,000","2,024,000,000","3,568,000,000","608,000,000"
	LossAdjustmentExpense,"12,888,000,000","12,888,000,000","5,102,000,000","6,661,000,000","2,951,000,000","1,739,000,000","3,315,000,000","545,000,000"
		NetPolicyholderBenefitsAndClaims,"12,888,000,000","12,888,000,000","5,102,000,000","6,661,000,000","2,951,000,000","1,739,000,000","3,315,000,000","545,000,000"
			PolicyholderBenefitsGross,"13,221,000,000","13,221,000,000","5,641,000,000","6,885,000,000","3,408,000,000","2,293,000,000","3,805,000,000","2,093,000,000"
			PolicyholderBenefitsCeded,"333,000,000","333,000,000","539,000,000","224,000,000","457,000,000","554,000,000","490,000,000","1,548,000,000"
	PolicyholderDividends,"36,000,000","36,000,000","37,000,000","118,000,000","37,000,000","28,000,000","44,000,000","11,000,000"
	PolicyAcquisitionExpense,"1,032,000,000","1,032,000,000","228,000,000","413,000,000","344,000,000","223,000,000","123,000,000","160,000,000"
	NetNonOperatingInterestIncomeExpense,,,,,"-21,000,000","-32,000,000","-39,000,000","-35,000,000"
		InterestExpenseNonOperating,,,,,"21,000,000","32,000,000","39,000,000","35,000,000"
	SpecialIncomeCharges,,,,,,"0",,"152,000,000"
		ImpairmentOfCapitalAssets,,,,,,"0",,"152,000,000"
	OtherOperatingExpenses,,,"1,000,000",,"1,000,000","2,000,000","47,000,000","9,000,000"
PretaxIncome,"2,302,000,000","2,302,000,000","1,175,000,000","1,535,000,000","753,000,000","592,000,000","532,000,000","989,000,000"
TaxProvision,"117,000,000","117,000,000","122,000,000","87,000,000","-52,000,000","14,000,000","54,000,000","-8,000,000"
NetIncomeCommonStockholders,"2,136,000,000","2,136,000,000","1,053,000,000","1,448,000,000","805,000,000","562,000,000","463,000,000","916,000,000"
	NetIncome,"2,172,000,000","2,172,000,000","1,053,000,000","1,448,000,000","805,000,000","562,000,000","463,000,000","916,000,000"
		NetIncomeIncludingNoncontrollingInterests,"2,185,000,000","2,185,000,000","1,053,000,000","1,448,000,000","805,000,000","578,000,000","478,000,000","997,000,000"
			NetIncomeContinuousOperations,"2,185,000,000","2,185,000,000","1,053,000,000","1,448,000,000","805,000,000","578,000,000","478,000,000","997,000,000"
		MinorityInterests,"-13,000,000","-13,000,000",,"0","0","-16,000,000","-15,000,000","-81,000,000"
	PreferredStockDividends,"36,000,000","36,000,000",,,,,,
AverageDilutionEarnings,,,"0","20,000,000","1,000,000",,,
DilutedNIAvailtoComStockholders,"2,136,000,000","2,136,000,000","1,053,000,000","1,468,000,000","806,000,000","562,000,000","463,000,000","916,000,000"
BasicEPS,,,"5.34","7.41","4.11","2.807","2.312","4.575"
DilutedEPS,,,"5.32","7.37","4.02","2.807","2.312","4.575"
BasicAverageShares,,,"197,100,000","195,300,000","186,751,109","200,240,377","200,240,377","200,240,377"
DilutedAverageShares,,,"197,100,000","196,472,185","192,440,714","200,240,377","200,240,377","200,240,377"
NetIncomeFromContinuingAndDiscontinuedOperation,"2,172,000,000","2,172,000,000","1,053,000,000","1,448,000,000","805,000,000","562,000,000","463,000,000","916,000,000"
NormalizedIncome,"2,172,000,000","2,172,000,000","1,053,000,000","1,448,000,000","805,000,000","562,000,000","463,000,000","817,200,000"
EBIT,,,,,"774,000,000","624,000,000","571,000,000","1,024,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"2,172,000,000","2,172,000,000","1,053,000,000","1,448,000,000","805,000,000","562,000,000","463,000,000","916,000,000"
TotalUnusualItemsExcludingGoodwill,,,,,,"0",,"152,000,000"
TotalUnusualItems,,,,,,"0",,"152,000,000"
TaxRateForCalcs,"0.05","0.05","0.1","0.06","0.4","0.024","0.102","0.35"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","53,200,000"
InterestExpense,,,,,"21,000,000","32,000,000","39,000,000","35,000,000"
