name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004
TotalRevenue,"2,188,301,000","2,161,761,000","1,890,922,000","1,618,693,000","1,487,973,000","1,324,803,000","1,172,875,000","872,423,000","585,979,000","272,277,000","173,781,000","128,449,000","67,514,000","65,303,000","44,856,000","21,442,000",
	OperatingRevenue,"2,188,301,000","2,161,761,000","1,890,922,000","1,618,693,000","1,487,973,000","1,324,803,000","1,172,875,000","872,423,000","585,979,000","272,277,000","173,781,000","128,449,000","67,514,000","65,303,000","44,856,000","21,442,000",
CostOfRevenue,"123,081,000","127,930,000","121,544,000","110,188,000","105,386,000","102,526,000","117,418,000","102,146,000","78,425,000","13,942,000","13,559,000","9,638,000","13,924,000","8,903,000","6,968,000","4,292,000",
GrossProfit,"2,065,220,000","2,033,831,000","1,769,378,000","1,508,505,000","1,382,587,000","1,222,277,000","1,055,457,000","770,277,000","507,554,000","258,335,000","160,222,000","118,811,000","53,590,000","56,400,000","37,888,000","17,150,000",
OperatingExpense,"1,463,899,000","1,391,482,000","1,111,644,000","894,663,000","767,183,000","682,534,000","617,879,000","429,965,000","309,710,000","130,504,000","102,433,000","102,881,000","194,192,000","195,178,000","115,940,000","74,294,000",
	SellingGeneralAndAdministration,"777,395,000","736,942,000","683,530,000","544,156,000","502,892,000","449,119,000","406,114,000","304,303,000","223,882,000","108,936,000","68,996,000","58,652,000","111,401,000","78,540,000","51,384,000","23,551,000",
	ResearchAndDevelopment,"325,728,000","299,726,000","226,616,000","198,442,000","162,297,000","135,253,000","85,181,000","46,620,000","20,477,000","14,120,000","25,612,000","36,561,000","69,963,000","69,792,000","54,956,000","45,783,000",
	DepreciationAmortizationDepletionIncomeStatement,"360,776,000","354,814,000","201,498,000","152,065,000","101,994,000","98,162,000","126,584,000","79,042,000","65,351,000","7,448,000","7,825,000","7,668,000","12,828,000","9,217,000","9,600,000","4,960,000",
		DepreciationAndAmortizationInIncomeStatement,"360,776,000","354,814,000","201,498,000","152,065,000","101,994,000","98,162,000","126,584,000","79,042,000","65,351,000","7,448,000","7,825,000","7,668,000","12,828,000","9,217,000","9,600,000","4,960,000",
			Amortization,"360,776,000","354,814,000","201,498,000","152,065,000","101,994,000","98,162,000","126,584,000","79,042,000","65,351,000","7,448,000","7,825,000","7,668,000","12,828,000","9,217,000","9,600,000","4,960,000",
				AmortizationOfIntangiblesIncomeStatement,"360,776,000","354,814,000","201,498,000","152,065,000","101,994,000","98,162,000","126,584,000","79,042,000","65,351,000","7,448,000","7,825,000","7,668,000","12,828,000","9,217,000","9,600,000","4,960,000",
	ProvisionForDoubtfulAccounts,,,,,,,,,,,,"0","0",,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,"37,629,000",,,
OperatingIncome,"601,321,000","642,349,000","657,734,000","613,842,000","615,404,000","539,743,000","437,578,000","340,312,000","197,844,000","127,831,000","57,789,000","15,930,000","-140,602,000","-138,778,000","-78,052,000","-57,144,000",
NetNonOperatingInterestIncomeExpense,"-72,835,000","-72,261,000","-77,075,000","-77,756,000","-61,942,000","-56,917,000","-52,713,000","-26,916,000","-16,869,000","-1,600,000","-12,722,000","-22,762,000","-17,908,000",,,,
	InterestIncomeNonOperating,,,,,,,,,,"75,000","6,000","34,000","1,834,000",,,,
