name,ttm,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017
TotalRevenue,"13,190,707,000","3,472,325,000","3,229,404,000","3,345,842,000","3,143,136,000","3,416,882,000","3,221,663,000","3,307,105,000","3,061,697,000","3,555,989,000","3,084,245,000","3,167,527,000","2,946,828,000"
	OperatingRevenue,"13,190,707,000","3,472,325,000","3,229,404,000","3,345,842,000","3,143,136,000","3,416,882,000","3,221,663,000","3,307,105,000","3,061,697,000","3,555,989,000","3,084,245,000","3,167,527,000","2,946,828,000"
CostOfRevenue,"10,763,926,000","2,850,106,000","2,611,758,000","2,733,085,000","2,568,977,000","2,787,937,000","2,629,575,000","2,718,602,000","2,510,338,000","2,934,702,000","2,523,297,000","2,614,187,000","2,441,306,000"
GrossProfit,"2,426,781,000","622,219,000","617,646,000","612,757,000","574,159,000","628,945,000","592,088,000","588,503,000","551,359,000","621,287,000","560,948,000","553,340,000","505,522,000"
OperatingExpense,"2,074,582,000","540,375,000","516,714,000","514,016,000","503,477,000","519,063,000","501,761,000","549,829,000","486,789,000","528,552,000","480,408,000","478,559,000","533,306,000"
	SellingGeneralAndAdministration,"2,074,582,000","540,375,000","516,714,000","514,016,000","503,477,000","519,063,000","501,761,000","549,829,000","486,789,000","528,552,000","480,408,000","478,559,000","533,306,000"
		GeneralAndAdministrativeExpense,"15,152,000","4,425,000","6,304,000","2,127,000","2,296,000","2,053,000","2,207,000","641,000","1,217,000","848,000","123,000","1,226,000","807,000"
			OtherGandA,"15,152,000","4,425,000","6,304,000","2,127,000","2,296,000","2,053,000","2,207,000","641,000","1,217,000","848,000","123,000","1,226,000","807,000"
		SellingAndMarketingExpense,"2,059,430,000","535,950,000","510,410,000","511,889,000","501,181,000","517,010,000","499,554,000","549,188,000","485,572,000","527,704,000","480,285,000","477,333,000","532,499,000"
OperatingIncome,"352,199,000","81,844,000","100,932,000","98,741,000","70,682,000","109,882,000","90,327,000","38,674,000","64,570,000","92,735,000","80,540,000","74,781,000","-27,784,000"
