name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015
TotalRevenue,"111,741,000","93,396,000","49,724,000",,"21,743,000","18,565,000"
	OperatingRevenue,"108,845,000","90,602,000","47,400,000",,"21,664,000","18,558,000"
CostOfRevenue,"43,154,000","32,541,000","16,989,000",,"9,103,000","7,446,000"
GrossProfit,"68,587,000","60,855,000","32,735,000",,"12,640,000","11,119,000"
OperatingExpense,"26,090,000","23,814,000","19,804,000",,"6,025,000","5,402,000"
	SellingGeneralAndAdministration,"13,854,000","12,291,000","9,970,000",,"2,883,000","2,262,000"
		GeneralAndAdministrativeExpense,"13,854,000","12,291,000","9,970,000",,"2,883,000","2,262,000"
			SalariesAndWages,"1,630,000","1,583,000","873,000",,,
			OtherGandA,"12,224,000","10,708,000","9,097,000",,"2,883,000","2,262,000"
	DepreciationAmortizationDepletionIncomeStatement,"9,384,000","9,379,000","9,142,000",,"3,142,000","3,140,000"
		DepreciationAndAmortizationInIncomeStatement,"9,384,000","9,379,000","9,142,000",,"3,142,000","3,140,000"
	OtherOperatingExpenses,"2,852,000","2,144,000","692,000",,,
OperatingIncome,"42,497,000","37,041,000","12,931,000",,"6,615,000","5,717,000"
OtherIncomeExpense,"-2,510,000","-3,313,000","-995,000",,,
	EarningsFromEquityInterest,"415,000","-403,000",,,,
	SpecialIncomeCharges,,"-2,011,000","0",,,
		OtherSpecialCharges,,"2,011,000",,,,
		GainOnSaleOfPPE,,,"0",,,
	OtherNonOperatingIncomeExpenses,"-914,000","-899,000","-995,000",,,
PretaxIncome,"39,987,000","33,728,000","11,936,000",,"6,615,000","5,717,000"
NetIncomeCommonStockholders,"38,421,000","27,693,000","11,740,000",,"2,481,000","5,349,000"
	NetIncome,"38,421,000","27,693,000","11,740,000",,"6,615,000","5,349,000"
		NetIncomeIncludingNoncontrollingInterests,"39,987,000","33,728,000","11,936,000",,"6,615,000","5,717,000"
			NetIncomeContinuousOperations,"39,987,000","33,728,000","11,936,000",,"6,615,000","5,717,000"
		MinorityInterests,"-1,566,000","-6,035,000","-196,000",,"0","-368,000"
	OtherunderPreferredStockDividend,,,,,"4,134,000",
DilutedNIAvailtoComStockholders,"33,950,000","27,693,000","11,740,000",,"2,481,000","5,349,000"
BasicEPS,,"0.89","0.64","0","0.136","0.294"
DilutedEPS,,"0.89","0.64","0","0.136","0.294"
BasicAverageShares,,"31,008,000","18,218,000",,"18,190,000","18,190,000"
DilutedAverageShares,,"31,008,000","18,218,000",,"18,190,000","18,190,000"
TotalOperatingIncomeAsReported,"41,583,000","36,142,000","11,936,000",,,"5,717,000"
TotalExpenses,"69,244,000","56,355,000","36,793,000",,"15,128,000","12,848,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"38,421,000","27,693,000","11,740,000",,"6,615,000","5,349,000"
NormalizedIncome,"38,421,000","29,161,030","11,740,000",,"6,615,000","5,349,000"
EBIT,"42,497,000","37,041,000","12,931,000",,"6,615,000","5,717,000"
EBITDA,"54,449,000"
ReconciledCostOfRevenue,"40,586,000","30,032,000","14,471,000",,"9,103,000","7,114,000"
ReconciledDepreciation,"11,952,000","11,888,000","11,660,000",,"3,142,000","3,472,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"38,421,000","27,693,000","11,740,000",,"6,615,000","5,349,000"
TotalUnusualItemsExcludingGoodwill,,"-2,011,000","0",,,
TotalUnusualItems,,"-2,011,000","0",,,
NormalizedEBITDA,"54,449,000","50,940,000","24,591,000",,"9,757,000","9,189,000"
TaxRateForCalcs,"0.4","0.27","0.27",,"0.4","0.4"
TaxEffectOfUnusualItems,"0","-542,970","0",,"0","0"
