name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005
TotalRevenue,"6,364,000,000","6,364,000,000","7,124,000,000","5,988,400,000","4,782,400,000","5,432,500,000","9,109,500,000","8,985,800,000","8,567,327,000","5,029,113,000","4,079,768,000","3,136,329,000","5,016,103,000","2,966,864,453","3,037,567,362","1,454,259,542"
	OperatingRevenue,"6,372,000,000","6,372,000,000","7,131,000,000","5,988,400,000","4,782,400,000","5,432,500,000","9,109,500,000","8,985,800,000","8,567,327,000","5,029,113,000","4,079,768,000","3,136,329,000","5,016,103,000","2,966,864,453","3,037,567,362","1,454,259,542"
CostOfRevenue,"5,662,000,000","5,662,000,000","6,408,000,000","5,685,700,000","4,573,800,000","4,775,100,000","8,581,100,000","8,019,000,000","7,218,987,000","4,277,566,000","3,807,909,000","2,773,738,000","4,461,808,000","2,567,205,841","2,642,354,726","1,253,450,419"
GrossProfit,"702,000,000","702,000,000","716,000,000","302,700,000","208,600,000","657,400,000","528,400,000","966,800,000","1,348,340,000","751,547,000","271,859,000","362,591,000","554,295,000","399,658,612","395,212,636","200,809,123"
OperatingExpense,"126,000,000","126,000,000","123,000,000","124,900,000","117,700,000","263,100,000","264,100,000","256,300,000","313,425,000","184,951,000","178,795,000","153,791,000","405,554,000","195,424,196","113,604,703","42,274,061"
	SellingGeneralAndAdministration,"117,000,000","117,000,000","112,000,000","114,200,000","109,100,000","99,000,000","109,700,000","113,500,000","183,420,000","97,990,000","92,034,000","68,918,000","35,239,000","93,121,755","62,600,121","18,320,030"
	DepreciationAmortizationDepletionIncomeStatement,"9,000,000","9,000,000","11,000,000","10,700,000","8,600,000","164,100,000","154,400,000","142,800,000","130,005,000","90,321,000","86,761,000","84,873,000","82,177,000","60,779,175","51,004,582","23,954,031"
		DepreciationAndAmortizationInIncomeStatement,"9,000,000","9,000,000","11,000,000","10,700,000","8,600,000","164,100,000","154,400,000","142,800,000","130,005,000","90,321,000","86,761,000","84,873,000","82,177,000","60,779,175","51,004,582","23,954,031"
	OtherOperatingExpenses,,,,,,,,,,"-3,360,000","-2,000,000",,"288,138,000","41,523,266",,
OperatingIncome,"576,000,000","576,000,000","593,000,000","177,800,000","90,900,000","394,300,000","264,300,000","710,500,000","1,034,915,000","566,596,000","93,064,000","208,800,000","148,741,000","204,234,416","281,607,933","158,535,062"
NetNonOperatingInterestIncomeExpense,"-102,000,000","-102,000,000","-102,000,000","-109,000,000","-83,200,000","-47,400,000","-39,100,000","-49,300,000","-74,568,000","-55,320,000","-48,057,000","-42,520,000",,,,
	InterestIncomeNonOperating,,,,"1,100,000","700,000","1,000,000","900,000","1,200,000","867,000","489,000","2,211,000","1,717,000",,,,
	InterestExpenseNonOperating,"102,000,000","102,000,000","102,000,000","110,100,000","83,900,000","48,400,000","40,000,000","50,500,000","75,435,000","55,809,000","50,268,000","44,237,000",,,,
	TotalOtherFinanceCost,"102,000,000","102,000,000","102,000,000",,,,,,,,,,,,,
OtherIncomeExpense,"17,000,000","17,000,000","9,000,000","-68,800,000","-18,600,000","35,400,000","181,900,000","44,500,000","-322,172,000","76,846,000","-16,934,000","-67,691,000","-171,415,000","-324,403,317","70,233,004","-316,625,301"
	GainOnSaleOfSecurity,,,,"-69,800,000","-19,400,000","-28,600,000","185,600,000","57,100,000","-285,592,000",,,,,,,
