name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2013
TotalRevenue,"891,107,000","860,969,000","704,589,000","436,152,000","421,582,000","359,059,000","272,890,000"
	OperatingRevenue,"891,107,000","860,969,000","704,589,000","386,462,000","370,621,000","320,101,000","244,270,000"
CostOfRevenue,"635,370,000","615,272,000","489,059,000","261,463,000","249,471,000","202,665,000","148,399,000"
GrossProfit,"255,737,000","245,697,000","215,530,000","174,689,000","172,111,000","156,394,000","124,491,000"
OperatingExpense,"118,865,000","118,434,000","114,482,000","109,831,000","119,621,000","126,519,000","65,628,000"
	SellingGeneralAndAdministration,"99,061,000","95,245,000","75,681,000","63,357,000","61,507,000","56,998,000","35,109,000"
	DepreciationAmortizationDepletionIncomeStatement,"19,804,000","23,189,000","38,801,000","46,474,000","58,114,000","69,521,000","30,519,000"
		DepreciationAndAmortizationInIncomeStatement,"19,804,000","23,189,000","38,801,000","46,474,000","58,114,000","69,521,000","30,519,000"
			DepreciationIncomeStatement,"8,822,000","8,360,000","9,240,000","8,574,000","7,442,000","6,379,000","6,665,000"
			Amortization,"10,982,000","14,829,000","29,561,000","37,900,000","50,672,000","63,142,000","23,854,000"
				AmortizationOfIntangiblesIncomeStatement,"10,982,000","14,829,000","29,561,000","37,900,000","50,672,000","63,142,000","23,854,000"
OperatingIncome,"136,872,000","127,263,000","101,048,000","64,858,000","52,490,000","29,875,000","58,863,000"
NetNonOperatingInterestIncomeExpense,"-256,000","-1,568,000","-8,157,000","-7,559,000","-19,384,000","-27,259,000","-18,000,000"
	InterestExpenseNonOperating,,"1,568,000","8,157,000","7,559,000","19,384,000","27,259,000","18,000,000"
	TotalOtherFinanceCost,,"1,568,000","8,157,000","7,559,000","19,384,000","27,259,000","18,000,000"
OtherIncomeExpense,"36,000","-863,000","1,060,000","-354,000","-11,149,000","-10,446,000","-1,718,000"
	GainOnSaleOfSecurity,,"-581,000","386,000","-1,004,000","-660,000","-1,307,000","-338,000"
	SpecialIncomeCharges,,,"0","0","-10,726,000","-9,313,000","-3,773,000"
		RestructuringAndMergernAcquisition,,,,,"0","0","0"
		ImpairmentOfCapitalAssets,,,,"0","0","9,313,000","0"
		WriteOff,,,,,,"0","2,250,000"
		OtherSpecialCharges,,,,,"10,726,000",,"1,523,000"
	OtherNonOperatingIncomeExpenses,"617,000","-282,000","674,000","650,000","237,000","174,000","2,393,000"
PretaxIncome,"136,652,000","124,832,000","93,951,000","56,945,000","21,957,000","-7,830,000","39,145,000"
TaxProvision,"26,453,000","24,389,000","20,766,000","17,823,000","8,532,000","843,000","14,301,000"
NetIncomeCommonStockholders,"109,900,000","100,164,000","72,894,000","39,032,000","13,392,000","-4,321,000","24,844,000"
	NetIncome,"110,199,000","100,443,000","73,185,000","39,122,000","13,425,000","-8,673,000","24,844,000"
		NetIncomeIncludingNoncontrollingInterests,"110,199,000","100,443,000","73,185,000","39,122,000","13,425,000","-8,673,000","24,844,000"
			NetIncomeContinuousOperations,"110,199,000","100,443,000","73,185,000","39,122,000","13,425,000","-8,673,000","24,844,000"
	OtherunderPreferredStockDividend,"299,000","279,000","291,000","90,000","33,000","-4,352,000",
DilutedNIAvailtoComStockholders,"109,900,000","100,164,000","72,894,000","39,032,000","13,392,000","-4,321,000","24,844,000"
BasicEPS,,"2.79","2.05","1","0.38","-0.11","0.648"
DilutedEPS,,"2.67","1.97","0.98","0.37","-0.11","0.648"
BasicAverageShares,,"35,881,000","35,547,000","39,056,000","35,690,000","38,346,000","38,346,000"
DilutedAverageShares,,"37,576,000","36,912,000","39,839,000","36,329,000","38,346,000","38,346,000"
TotalOperatingIncomeAsReported,"136,872,000","127,263,000","101,048,000","64,858,000","52,490,000","20,562,000","58,863,000"
TotalExpenses,"754,235,000","733,706,000","603,541,000","371,294,000","369,092,000","329,184,000","214,027,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"110,199,000","100,443,000","73,185,000","39,122,000","13,425,000","-8,673,000","24,844,000"
NormalizedIncome,"110,199,000","100,910,705","72,884,306","39,811,748","20,381,846","-2,301,000","27,454,485"
InterestExpense,,"1,568,000","8,157,000","7,559,000","19,384,000","27,259,000","18,000,000"
NetInterestIncome,"-256,000","-1,568,000","-8,157,000","-7,559,000","-19,384,000","-27,259,000","-18,000,000"
EBIT,"136,291,000","126,400,000","102,108,000","64,504,000","41,341,000","19,429,000","57,145,000"
EBITDA,"156,095,000"
ReconciledCostOfRevenue,"635,370,000","615,272,000","489,059,000","261,463,000","249,471,000","202,665,000","148,399,000"
ReconciledDepreciation,"19,804,000","23,189,000","38,801,000","46,474,000","58,114,000","69,521,000","30,519,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"110,199,000","100,443,000","73,185,000","39,122,000","13,425,000","-8,673,000","24,844,000"
TotalUnusualItemsExcludingGoodwill,,"-581,000","386,000","-1,004,000","-11,386,000","-10,620,000","-4,111,000"
TotalUnusualItems,,"-581,000","386,000","-1,004,000","-11,386,000","-10,620,000","-4,111,000"
NormalizedEBITDA,"156,095,000","150,170,000","140,523,000","111,982,000","110,841,000","99,570,000","91,775,000"
TaxRateForCalcs,"0.194","0.195","0.221","0.313","0.389","0.4","0.365"
TaxEffectOfUnusualItems,"0","-113,295","85,306","-314,252","-4,429,154","-4,248,000","-1,500,515"
