name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986
NetIncomeCommonStockholders,"56,400,000","-361,200,000","31,700,000","90,400,000","295,500,000","440,200,000","-712,100,000","284,900,000","295,100,000","171,575,000","153,300,000","-314,200,000","101,800,000","149,200,000","69,500,000","155,800,000","77,100,000","154,500,000","153,500,000","96,500,000","182,500,000","125,200,000","139,000,000","186,300,000","149,000,000","204,900,000","205,200,000","113,200,000","113,700,000","196,300,000","-92,656,000","125,444,000","109,309,000","560,103,000","37,671,000","19,158,000","15,082,000","71,340,000","37,430,000","36,632,000","66,271,000","58,169,000","130,936,000","49,488,000","43,751,000","40,666,000","34,183,000","-8,520,000","16,130,000","94,416,000","59,638,000","67,669,000","58,635,000","102,112,000","61,135,000","49,040,000","72,869,000","59,206,000","52,550,000","-92,489,000","31,402,000","60,871,000","53,913,000","-47,004,000","48,723,000","62,064,000","73,788,000","74,870,000","5,996,000","7,724,000","-1,611,000","21,720,000","8,896,000","25,808,000","-1,043,000","-220,818,000","-9,318,000","455,409,000","-33,723,000","16,604,000","85,494,000","482,000","6,605,000","56,700,000","20,900,000","16,000,000","13,406,000","19,800,000","28,700,000","34,200,000","28,767,000","30,000,000","33,900,000","12,900,000","27,548,000","19,900,000","22,800,000","16,800,000","43,900,000","23,400,000","17,200,000","800,000","59,906,000","22,200,000","35,400,000","19,900,000","22,500,000","20,400,000","21,300,000","33,300,000","22,400,000","17,500,000","20,300,000","12,600,000","28,600,000","21,000,000","11,800,000","2,600,000","16,600,000","14,400,000","26,600,000","11,000,000","15,300,000","15,300,000","17,400,000","7,000,000","13,400,000","14,000,000","14,000,000","4,600,000","12,900,000","31,500,000","6,200,000","10,600,000","37,400,000","14,500,000","20,000,000","7,600,000"
	NetIncome,"56,356,000","-361,218,000","31,683,000","90,432,000","295,459,000","440,227,000","-712,052,000","284,900,000","295,116,000","171,575,000","153,303,000","-314,157,000","101,811,000","149,176,000","69,514,000","155,831,000","77,071,000","154,505,000","156,098,000","96,530,000","182,478,000","125,209,000","139,064,000","186,315,000","148,980,000","204,880,000","205,251,000","113,167,000","113,709,000","196,294,000","-92,612,000","125,444,000","109,309,000","560,103,000","37,671,000","19,158,000","15,082,000","71,340,000","37,430,000","36,632,000","66,271,000","58,169,000","130,936,000","49,488,000","46,001,000","44,574,000","38,486,000","-4,215,000","20,435,000","98,721,000","63,943,000","71,976,000","62,940,000","106,418,000","65,441,000","53,397,000","73,200,000","59,206,000","52,550,000","-92,489,000","31,402,000","60,871,000","53,913,000","-47,004,000","48,723,000","62,064,000","73,788,000","74,870,000","5,996,000","7,724,000","-1,611,000","21,720,000","8,896,000","25,808,000","-1,043,000","-220,818,000","-9,318,000","455,409,000","-33,723,000","16,604,000","85,494,000","482,000","6,605,000","56,700,000","20,900,000","16,000,000","13,406,000","19,800,000","28,700,000","34,200,000","28,767,000","30,000,000","33,900,000","12,900,000","27,548,000","19,900,000","22,800,000","16,800,000","43,900,000","23,400,000","17,200,000","800,000","59,906,000","22,200,000","35,400,000","19,900,000","22,500,000","20,400,000","21,300,000","33,300,000","22,400,000","17,500,000","20,300,000","12,600,000","28,600,000","21,000,000","11,800,000","2,600,000","16,600,000","14,400,000","26,600,000","11,000,000","15,300,000","15,300,000","17,400,000","7,000,000","13,400,000","14,000,000","14,000,000","4,600,000","12,900,000","31,500,000","6,200,000","10,600,000","37,400,000","14,500,000","20,000,000","7,600,000"
		NetIncomeIncludingNoncontrollingInterests,"80,827,000","-361,472,000","36,174,000","101,292,000","304,833,000","447,902,000","-704,391,000","289,459,000","298,404,000","171,182,000","158,420,000","-309,947,000","102,659,000","149,360,000","69,904,000","158,847,000","77,260,000","154,653,000","156,530,000","97,098,000","183,147,000","125,420,000","139,917,000","186,340,000","149,234,000","204,641,000","205,978,000","113,373,000","113,709,000","196,294,000","-92,612,000","125,444,000","109,309,000","560,103,000","37,671,000","19,158,000","15,082,000","71,340,000","37,430,000","36,632,000","66,271,000","58,169,000","130,936,000","49,488,000","46,001,000","44,574,000","38,486,000","-4,215,000","20,435,000","105,403,000","68,776,000","75,842,000","66,486,000","108,775,000","73,987,000","51,595,000","72,052,000","59,206,000","52,550,000","-92,489,000","31,402,000","60,871,000","53,913,000","-47,004,000","48,723,000","62,064,000","73,788,000","74,870,000","5,996,000","7,724,000","-1,611,000","21,720,000","8,896,000","25,808,000","-1,043,000","-220,818,000","-9,318,000","455,409,000","-33,723,000","16,604,000","85,494,000","482,000","6,605,000","56,700,000","20,900,000","16,000,000","13,406,000","19,800,000","28,700,000","34,200,000","28,767,000","30,000,000","33,900,000","12,900,000","27,548,000","19,900,000","22,800,000","16,800,000","43,900,000","23,400,000","17,200,000","800,000","59,906,000","22,200,000","35,400,000","19,900,000","22,500,000","20,400,000","21,300,000","33,300,000","22,400,000","17,500,000","20,300,000","12,600,000","28,600,000","21,000,000","11,800,000","2,600,000","16,600,000","14,400,000","26,600,000","11,000,000","15,300,000","15,300,000","17,400,000","7,000,000","13,400,000","14,000,000","14,000,000","4,600,000","12,900,000","31,500,000","6,200,000","10,600,000","37,400,000","14,500,000","20,000,000","7,600,000"
			NetIncomeContinuousOperations,"80,827,000","-361,472,000","36,174,000","101,292,000","304,833,000","447,902,000","-704,391,000","289,459,000","298,404,000","171,182,000","158,420,000","-309,947,000","102,659,000","149,360,000","69,904,000","158,847,000","77,260,000","154,653,000","156,530,000","97,098,000","183,147,000","125,420,000","139,917,000","186,340,000","149,234,000","204,641,000","205,978,000","113,373,000","113,709,000","196,294,000","-92,612,000","125,444,000","109,309,000","560,103,000","37,671,000","19,158,000","15,082,000","71,340,000","37,430,000","36,632,000","66,271,000","58,169,000","130,936,000","49,488,000","46,001,000","44,574,000","-54,168,000","-8,833,000","13,021,000","94,416,000","76,861,000","67,669,000","58,635,000","102,112,000","65,441,000","53,397,000","73,200,000","59,206,000","52,787,000","-104,960,000","36,927,000","60,871,000","54,165,000","-47,004,000","48,723,000","62,064,000","73,788,000","74,870,000","5,996,000","7,724,000","-1,611,000","21,720,000","8,896,000","25,808,000","-1,373,000","-36,808,000","-9,318,000","460,475,000","-43,601,000","8,283,000","85,494,000","482,000","6,605,000","56,700,000","20,900,000","16,000,000","13,381,000","19,800,000","17,200,000","13,000,000","-25,500,000","30,000,000","33,900,000","12,900,000","27,548,000","19,900,000","22,800,000","16,800,000","43,900,000","23,400,000","17,200,000","800,000","13,872,000","21,200,000","16,300,000","19,900,000","22,500,000","20,400,000","21,300,000","33,300,000","13,300,000","17,500,000","20,300,000","12,600,000","-13,600,000","21,000,000","11,800,000","2,600,000","16,600,000","14,400,000","26,600,000","11,000,000","15,300,000","15,300,000","17,400,000","7,000,000","13,400,000","14,000,000","14,000,000","4,600,000","12,900,000","31,500,000","10,900,000","10,900,000","37,400,000","14,500,000","20,000,000","7,600,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","92,654,000","4,618,000","7,414,000",,,,,,"0","0","0","0","-237,000","12,471,000","-5,525,000","0",,,,,,,,,"0","0","0","0","330,000","-184,010,000","0","-5,066,000","9,878,000","8,321,000",,,,,,,"25,000",,"11,500,000","21,200,000",,,,,,,,,,,,,"-35,000","1,000,000","2,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"-4,700,000","-300,000",,,,
			NetIncomeFromTaxLossCarryforward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46,100,000",,"16,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		MinorityInterests,"-24,471,000","254,000","-4,491,000","-10,860,000","-9,374,000","-7,675,000","-7,661,000","-4,559,000","-3,288,000","393,000","-5,117,000","-4,210,000","-848,000","-184,000","-390,000","-3,016,000","-189,000","-148,000","-432,000","-568,000","-669,000","-211,000","-853,000","-25,000","-254,000","239,000","-727,000","-206,000",,,,,,,,,,,,,,,,,,,,,,"-6,682,000","-4,833,000","-3,866,000","-3,546,000","-2,357,000","-8,546,000","1,802,000","1,148,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	PreferredStockDividends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"2,250,000","3,908,000","4,303,000","4,305,000","4,305,000","4,305,000","4,305,000","4,307,000","4,305,000","4,306,000","4,306,000","4,357,000","331,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherunderPreferredStockDividend,"-44,000","-18,000","-17,000","32,000","-41,000","27,000","48,000",,"16,000",,"3,000","43,000","11,000","-24,000","14,000","31,000","-29,000","5,000","2,598,000","30,000","-22,000","9,000","64,000","15,000","-20,000","-20,000","51,000","-33,000","9,000","-6,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AverageDilutionEarnings,"-3,000,000","-3,000,000",,,,"0",,,"0",,"0","-8,900,000","0","0","0","0","0","-400,000","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"53,400,000","-364,200,000","31,700,000","90,400,000","295,500,000","440,200,000","-712,100,000","284,900,000","295,100,000","171,575,000","153,300,000","-323,100,000","101,800,000","149,200,000","69,500,000","155,800,000","77,100,000","154,100,000","153,500,000","96,500,000","182,500,000","125,200,000","139,000,000","186,300,000","149,000,000","204,900,000","205,200,000","113,200,000","113,700,000","196,300,000","-92,656,000","125,444,000","109,309,000","560,103,000","37,671,000","19,158,000","15,082,000","71,340,000","37,430,000","36,632,000","66,271,000","58,169,000","130,936,000","49,488,000","43,751,000","40,666,000","34,183,000","-8,520,000","16,130,000","94,416,000","59,638,000","67,669,000","58,635,000","102,112,000","61,135,000","49,040,000","72,869,000","59,206,000","52,550,000","-92,489,000","31,402,000","60,871,000","53,913,000","-47,004,000","48,723,000","62,064,000","73,788,000","74,870,000","5,996,000","7,724,000","-1,611,000","21,720,000","8,896,000","25,808,000","-1,043,000","-220,818,000","-9,318,000","455,409,000","-33,723,000","16,604,000","85,494,000","482,000","6,605,000","56,700,000","20,900,000","16,000,000","13,406,000","19,800,000","28,700,000","34,200,000","28,767,000","30,000,000","33,900,000","12,900,000","27,548,000","19,900,000","22,800,000","16,800,000","43,900,000","23,400,000","17,200,000","800,000","59,906,000","22,200,000","35,400,000","19,900,000","22,500,000","20,400,000","21,300,000","33,300,000","22,400,000","17,500,000","20,300,000","12,600,000","28,600,000","21,000,000","11,800,000","2,600,000","16,600,000","14,400,000","26,600,000","11,000,000","15,300,000","15,300,000","17,400,000","7,000,000","13,400,000","14,000,000","14,000,000","4,600,000","12,900,000","31,500,000","6,200,000","10,600,000","37,400,000","14,500,000","20,000,000","7,600,000"
