name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
TotalRevenue,"1,409,423,000","1,431,262,000","1,433,342,000","1,200,936,000","845,112,000","707,839,000","707,215,000"
	OperatingRevenue,"1,409,423,000","1,431,262,000","1,433,342,000","1,200,936,000","845,112,000","707,839,000","707,215,000"
CostOfRevenue,"154,211,000","148,559,000","112,444,000","96,126,000","100,056,000","54,440,000","58,014,000"
GrossProfit,"1,255,212,000","1,282,703,000","1,320,898,000","1,104,810,000","745,056,000","653,399,000","649,201,000"
OperatingExpense,"616,133,000","612,588,000","624,940,000","591,676,000","481,514,000","351,749,000","315,472,000"
	SellingGeneralAndAdministration,"76,905,000","75,867,000","80,033,000","87,609,000","65,618,000","53,435,000","55,659,000"
		GeneralAndAdministrativeExpense,"76,905,000","75,867,000","80,033,000","87,609,000","65,618,000","53,435,000","55,659,000"
			OtherGandA,"76,905,000","75,867,000","80,033,000","87,609,000","65,618,000","53,435,000","55,659,000"
	DepreciationAmortizationDepletionIncomeStatement,"534,217,000","536,131,000","545,138,000","500,720,000","392,592,000","300,470,000","258,489,000"
		DepreciationAndAmortizationInIncomeStatement,"534,217,000","536,131,000","545,138,000","500,720,000","392,592,000","300,470,000","258,489,000"
	ProvisionForDoubtfulAccounts,"5,011,000","590,000","-231,000","3,347,000","23,304,000","-2,156,000","1,324,000"
OperatingIncome,"639,079,000","670,115,000","695,958,000","513,134,000","263,542,000","301,650,000","333,729,000"
NetNonOperatingInterestIncomeExpense,"-301,652,000","-316,170,000","-322,731,000","-282,347,000","-184,014,000","-140,644,000","-137,370,000"
	InterestExpenseNonOperating,"301,652,000","316,170,000","322,731,000","282,347,000","184,014,000","140,644,000","137,370,000"
OtherIncomeExpense,"25,324,000","26,885,000","54,086,000","29,465,000","-85,361,000","-29,289,000","-18,823,000"
	GainOnSaleOfSecurity,"-650,000","-870,000","1,642,000","497,000","967,000","-7,736,000","-13,183,000"
	SpecialIncomeCharges,"20,075,000","24,498,000","50,152,000","26,331,000","-87,404,000","-21,342,000","-6,329,000"
		RestructuringAndMergernAcquisition,,"0","88,000","9,272,000","66,916,000","22,185,000","30,477,000"
		WriteOff,,,,"6,973,000","141,000","1,170,000","7,468,000"
		OtherSpecialCharges,,"2,543,000","6,090,000","-6,764,000",,,
		GainOnSaleOfPPE,"22,649,000","27,041,000","56,330,000","35,812,000","-20,347,000","2,013,000","31,616,000"
	OtherNonOperatingIncomeExpenses,"5,899,000","3,257,000","2,292,000","2,637,000","1,076,000","-211,000","689,000"
PretaxIncome,"362,751,000","380,830,000","427,313,000","260,252,000","-5,833,000","131,717,000","177,536,000"
TaxProvision,"25,247,000","27,551,000","70,641,000","-93,274,000","-48,000","4,048,000","6,232,000"
NetIncomeCommonStockholders,"314,338,000","339,041,000","349,555,000","344,598,000","-13,517,000","111,089,000","149,467,000"
	NetIncome,"337,504,000","352,687,000","349,555,000","344,598,000","-13,517,000","111,089,000","149,467,000"
		NetIncomeIncludingNoncontrollingInterests,"337,504,000","353,279,000","356,672,000","353,526,000","-5,785,000","127,669,000","171,304,000"
			NetIncomeContinuousOperations,"337,504,000","353,279,000","356,672,000","353,526,000","-5,785,000","127,669,000","171,304,000"
		MinorityInterests,"0","-592,000","-7,117,000","-8,928,000","-7,732,000","-16,580,000","-21,837,000"
	PreferredStockDividends,"23,166,000","13,646,000",,,,,
DilutedNIAvailtoComStockholders,"314,338,000","339,041,000","349,555,000","344,598,000","-13,517,000","111,089,000","149,467,000"
BasicEPS,,"4.57","4.38","4.55","-0.24","1.503","2.022"
DilutedEPS,,"4.54","4.35","4.52","-0.24","1.503","2.022"
BasicAverageShares,,"74,190,000","79,782,000","75,679,000","56,032,000","73,912,686","73,912,686"
DilutedAverageShares,,"74,700,000","80,364,000","76,188,000","56,032,000","73,912,686","73,912,686"
TotalOperatingIncomeAsReported,"661,728,000","697,156,000","752,200,000","546,438,000","176,279,000","281,478,000","334,868,000"
TotalExpenses,"770,344,000","761,147,000","737,384,000","687,802,000","581,570,000","406,189,000","373,486,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"337,504,000","352,687,000","349,555,000","344,598,000","-13,517,000","111,089,000","149,467,000"
NormalizedIncome,"319,430,954.853","330,767,304.4","306,322,548.2","327,385,155.2","72,211,216.6","139,274,305.4","168,294,128.8"
