name,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2004,01/31/2003
TotalAssets,"4,863,872,000","3,191,172,000","2,908,687,000","2,551,878,000","2,230,918,000","1,983,170,000","1,602,727,000","1,275,249,000","957,217,000","730,488,000","553,635,000","568,932,000","469,413,000","338,597,000","282,615,000","206,420,000","195,059,000"
	CurrentAssets,"2,055,317,000","1,914,861,000","1,693,743,000","1,536,237,000","1,375,173,000","1,260,355,000","1,002,697,000","789,324,000","580,232,000","404,389,000","262,774,000","276,708,000","228,944,000","172,046,000","145,451,000",,
		CashCashEquivalentsAndShortTermInvestments,"502,325,000","409,251,000","397,445,000","415,010,000","475,840,000","539,358,000","419,476,000","320,475,000","253,738,000","111,185,000","4,017,000","3,638,000","3,789,000","3,645,000","2,839,000","3,178,000","2,628,000"
			CashAndCashEquivalents,"392,325,000","409,251,000","277,445,000","385,010,000","345,840,000","389,149,000","419,476,000","320,475,000","253,738,000","111,185,000","4,017,000","3,638,000","3,789,000","3,645,000","2,839,000","3,178,000","2,628,000"
			OtherShortTermInvestments,"110,000,000","0","120,000,000","30,000,000","130,000,000","150,209,000",,,,,,,,,,,
		Receivables,"139,337,000","136,168,000","99,719,000","88,631,000","64,992,000","52,440,000","47,049,000","41,515,000","26,153,000","22,292,000","13,477,000","18,268,000","20,643,000","18,476,000","15,757,000",,
			AccountsReceivable,"139,337,000","136,168,000","99,719,000","88,631,000","64,992,000","52,440,000","47,049,000","41,515,000","26,153,000",,,,"20,643,000","18,476,000","15,757,000",,
		Inventory,"1,293,701,000","1,214,329,000","1,096,424,000","943,975,000","761,793,000","581,229,000","457,933,000","361,125,000","244,647,000","218,516,000","206,948,000","213,602,000","176,109,000","129,237,000","109,374,000",,
			FinishedGoods,"1,293,701,000","1,214,329,000","1,096,424,000","943,975,000","761,793,000","581,229,000","457,933,000","361,125,000","244,647,000",,,,,,,,
		PrepaidAssets,"119,954,000","155,113,000","100,155,000","88,621,000","72,548,000","66,548,000","55,993,000","50,452,000","43,430,000","43,474,000","30,272,000","32,922,000","19,184,000","15,276,000","14,942,000",,
		CurrentDeferredAssets,,,,,,"20,780,000","22,246,000","15,757,000","12,264,000","8,922,000","8,060,000","8,278,000","9,219,000","5,412,000","2,539,000",,
			CurrentDeferredTaxesAssets,,,,,,"20,780,000","22,246,000","15,757,000","12,264,000","8,922,000","8,060,000","8,278,000","9,219,000","5,412,000","2,539,000",,
	TotalNonCurrentAssets,"2,808,555,000","1,276,311,000","1,214,944,000","1,015,641,000","855,745,000","722,815,000","600,030,000","485,925,000","376,985,000","326,099,000","290,861,000","292,224,000","240,469,000","166,551,000","137,164,000",,
		NetPPE,"2,743,089,000","1,226,029,000","1,189,453,000","1,004,358,000","847,600,000","717,159,000","595,736,000","483,059,000","376,985,000","326,099,000","290,861,000","292,224,000","236,389,000","162,080,000","133,003,000","99,577,000","85,180,000"
			GrossPPE,"4,103,405,000","2,375,136,000","2,148,661,000","1,803,117,000","1,501,955,000","1,243,249,000","1,022,656,000","838,390,000","673,354,000","579,799,000","516,507,000","469,623,000","377,138,000","279,490,000","227,149,000","99,577,000","85,180,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,
				BuildingsAndImprovements,,,,,,,,,,,,,"149,022,000","119,750,000","100,447,000",,
				MachineryFurnitureEquipment,"1,670,087,000","1,539,286,000","1,320,299,000","1,146,016,000","910,439,000","720,719,000","609,629,000","493,066,000","383,269,000","329,471,000","284,922,000","252,535,000","197,800,000","152,734,000","120,490,000",,
				OtherProperties,"1,537,565,000",,,,,,,,,,,,,,,,
				ConstructionInProgress,"92,355,000","50,574,000","122,419,000","49,411,000","75,804,000","90,531,000","36,231,000","37,700,000","33,598,000","16,331,000","12,268,000","18,081,000","30,316,000","7,006,000","6,212,000",,
				Leases,"803,398,000","785,276,000","705,943,000","607,690,000","515,712,000","431,999,000","376,796,000","307,624,000","256,487,000","233,997,000","219,317,000","199,007,000",,,,,
			AccumulatedDepreciation,"-1,360,316,000","-1,149,107,000","-959,208,000","-798,759,000","-654,355,000","-526,090,000","-426,920,000","-355,331,000","-296,369,000","-253,700,000","-225,646,000","-177,399,000","-140,749,000","-117,410,000","-94,146,000",,
		GoodwillAndOtherIntangibleAssets,"14,261,000","15,187,000",,,,,,,,,,,,,,,
			Goodwill,"10,870,000","10,870,000",,,,,,,,,,,,,,,
			OtherIntangibleAssets,"3,391,000","4,317,000",,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"27,849,000","20,511,000","16,827,000","11,283,000","8,145,000","5,656,000","4,294,000","2,866,000",,,,"0","4,080,000","4,125,000","3,962,000",,
			NonCurrentDeferredTaxesAssets,,,,,,,,,,,,"0","4,080,000","4,125,000","3,962,000",,
		OtherNonCurrentAssets,"23,356,000","14,584,000","8,664,000",,,,,,,,,,,"346,000","199,000",,
TotalLiabilitiesNetMinorityInterest,"2,961,778,000","1,370,954,000","1,134,470,000","1,001,660,000","788,032,000","735,661,000","599,633,000","488,307,000","372,513,000","327,955,000","261,027,000","323,964,000","257,910,000","189,837,000","159,600,000","113,642,000","107,700,000"
	CurrentLiabilities,"1,137,261,000","823,736,000","642,166,000","529,343,000","396,227,000","359,594,000","266,811,000","221,067,000","164,855,000","163,357,000","126,357,000","117,013,000","111,905,000","83,941,000","68,978,000",,
		PayablesAndAccruedExpenses,"660,097,000","624,682,000","642,166,000","529,343,000","396,227,000","359,594,000","266,811,000","221,067,000","164,855,000","163,357,000","126,357,000","99,013,000","111,905,000","83,941,000","68,978,000",,
			Payables,"453,060,000","436,101,000","367,475,000","293,372,000","229,362,000","228,006,000","176,419,000","138,931,000","98,063,000","87,093,000","67,168,000","47,811,000","52,122,000","43,071,000","34,435,000",,
				AccountsPayable,"414,009,000","404,016,000","325,758,000","259,518,000","196,174,000","190,778,000","148,282,000","118,886,000","86,442,000","87,093,000","56,387,000","47,811,000","52,122,000","43,071,000","34,435,000",,
				TotalTaxPayable,"39,051,000","32,085,000","41,717,000","33,854,000","33,188,000","37,228,000","28,137,000","20,045,000","11,621,000","0","10,781,000","0",,,,,
					IncomeTaxPayable,,"0","14,101,000","8,971,000","12,702,000","19,404,000","15,349,000","10,054,000","4,002,000","0","10,781,000","0",,,,,
			CurrentAccruedExpenses,"207,037,000","188,581,000","274,691,000","235,971,000","166,865,000","131,588,000","90,392,000","82,136,000","66,792,000","76,264,000","59,189,000","51,202,000","59,783,000","40,870,000","34,543,000",,
		CurrentDebtAndCapitalLeaseObligation,"239,629,000",,,,,,,,,,,"18,000,000",,,,,
			CurrentDebt,,,,,,,,,,,,"18,000,000",,,,,
				CurrentNotesPayable,,,,,,,,,,,"0","18,000,000",,,,,
			CurrentCapitalLeaseObligation,"239,629,000",,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"237,535,000","199,054,000",,,,,,,,,,,,,,,
			CurrentDeferredRevenue,"237,535,000","199,054,000",,,,,,,,,,,,,,,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,824,517,000","547,218,000","492,304,000","472,317,000","391,805,000","376,067,000","332,822,000","267,240,000","207,658,000","164,598,000","134,670,000","206,951,000","146,005,000","105,896,000","90,622,000",,
