name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
TotalRevenue,"2,658,019,000","2,624,121,000","2,384,249,000","1,906,266,000","1,742,850,000","1,616,580,000","1,512,080,000","1,411,524,000","1,207,890,000"
	OperatingRevenue,"2,658,019,000","2,624,121,000","2,384,249,000","1,906,266,000","1,742,850,000","1,616,580,000","1,512,080,000","1,411,524,000","1,207,890,000"
CostOfRevenue,"1,960,491,000","1,942,854,000","1,808,097,000","1,445,157,000","1,342,506,000","1,258,551,000","1,180,410,000","1,108,846,000","974,730,000"
GrossProfit,"697,528,000","681,267,000","576,152,000","461,109,000","400,344,000","358,029,000","331,670,000","302,678,000","233,160,000"
OperatingExpense,"394,634,000","391,744,000","367,199,000","294,245,000","278,740,000","274,498,000","290,950,000","278,575,000","273,090,000"
	SellingGeneralAndAdministration,"394,634,000","391,744,000","367,199,000","294,245,000","278,740,000","274,498,000","290,950,000","278,575,000","273,090,000"
OperatingIncome,"302,894,000","289,523,000","208,953,000","166,864,000","121,604,000","83,531,000","40,720,000","24,103,000","-39,930,000"
NetNonOperatingInterestIncomeExpense,"-36,963,000","-37,823,000","-28,687,000","-8,019,000","-5,608,000","-9,465,000","-12,400,000","-13,366,000","-13,880,000"
	InterestExpenseNonOperating,"36,963,000","37,823,000","28,687,000","8,019,000","5,608,000","9,465,000","12,400,000","13,366,000","13,880,000"
OtherIncomeExpense,"1,984,000","2,078,000","558,000","-30,805,000","277,000","49,000","20,000","37,000","-75,930,000"
	SpecialIncomeCharges,"-233,000","0","0","-31,086,000",,,"0",,"-76,000,000"
		OtherSpecialCharges,,,,"31,086,000",,,,,"76,000,000"
	OtherNonOperatingIncomeExpenses,"2,217,000","2,078,000","558,000","281,000","277,000","49,000","20,000","37,000","70,000"
PretaxIncome,"267,915,000","253,778,000","180,824,000","128,040,000","116,273,000","74,115,000","28,340,000","10,774,000","-129,740,000"
TaxProvision,"64,132,000","62,783,000","46,072,000","-30,093,000","43,667,000","-5,008,000","17,840,000","22,325,000","24,640,000"
NetIncomeCommonStockholders,"203,783,000","190,995,000","134,752,000","158,133,000","72,606,000","78,971,000","9,400,000","-12,738,000","-192,100,000"
	NetIncome,"203,783,000","190,995,000","134,752,000","158,133,000","72,606,000","78,971,000","9,400,000","-12,738,000","-192,100,000"
		NetIncomeIncludingNoncontrollingInterests,"203,783,000","190,995,000","134,752,000","158,133,000","72,606,000","78,971,000","9,400,000","-12,738,000","-192,100,000"
			NetIncomeContinuousOperations,"203,783,000","190,995,000","134,752,000","158,133,000","72,606,000","79,123,000","10,500,000","-11,551,000","-154,380,000"
			NetIncomeDiscontinuousOperations,,,,"0",,"-152,000","-1,100,000","-1,187,000","-37,720,000"
DilutedNIAvailtoComStockholders,"203,783,000","190,995,000","134,752,000","158,133,000","72,606,000","78,971,000","9,400,000","-12,738,000","-192,100,000"
BasicEPS,,,"3.86","4.41","1.93","2.1","0.247","-0.334","-5.042"
DilutedEPS,,,"3.78","4.32","1.92","2.09","0.247","-0.334","-5.042"
BasicAverageShares,,,"34,921,318","35,857,823","37,619,689","37,674,913","38,100,000","38,100,000","38,100,000"
DilutedAverageShares,,,"35,613,319","36,572,146","37,867,212","37,780,875","38,100,000","38,100,000","38,100,000"
TotalOperatingIncomeAsReported,"302,894,000","289,523,000","208,953,000","136,864,000","121,604,000","83,531,000","40,720,000","24,103,000","-115,930,000"
TotalExpenses,"2,355,125,000","2,334,598,000","2,175,296,000","1,739,402,000","1,621,246,000","1,533,049,000","1,471,360,000","1,387,421,000","1,247,820,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"203,783,000","190,995,000","134,752,000","158,133,000","72,606,000","78,971,000","9,400,000","-12,738,000","-192,100,000"
NormalizedIncome,"203,960,225.758","190,995,000","134,752,000","176,784,600","72,606,000","79,123,000","10,500,000","-11,551,000","-104,980,000"
InterestExpense,"36,963,000","37,823,000","28,687,000","8,019,000","5,608,000","9,465,000","12,400,000","13,366,000","13,880,000"
NetInterestIncome,"-36,963,000","-37,823,000","-28,687,000","-8,019,000","-5,608,000","-9,465,000","-12,400,000","-13,366,000","-13,880,000"
EBIT,"304,878,000","291,601,000","209,511,000","136,059,000","121,881,000","83,580,000","40,740,000","24,140,000","-115,860,000"
EBITDA,"359,293,000"
ReconciledCostOfRevenue,"1,960,491,000","1,942,854,000","1,808,097,000","1,445,157,000","1,342,506,000","1,258,551,000","1,180,410,000","1,108,846,000","974,730,000"
ReconciledDepreciation,"54,415,000","52,700,000","39,419,000","16,453,000","12,011,000","12,108,000","26,080,000","27,488,000","29,640,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"203,783,000","190,995,000","134,752,000","158,133,000","72,606,000","79,123,000","10,500,000","-11,551,000","-154,380,000"
TotalUnusualItemsExcludingGoodwill,"-233,000","0","0","-31,086,000",,,"0",,"-76,000,000"
TotalUnusualItems,"-233,000","0","0","-31,086,000",,,"0",,"-76,000,000"
NormalizedEBITDA,"359,526,000","344,301,000","248,930,000","183,598,000","133,892,000","95,688,000","66,820,000","51,628,000","-10,220,000"
TaxRateForCalcs,"0.239","0.247","0.255","0.4","0.376","0.07","0.35","0.35","0.35"
TaxEffectOfUnusualItems,"-55,774.242","0","0","-12,434,400","0","0","0","0","-26,600,000"
