name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003
TotalAssets,"200,169,000,000","203,083,000,000","195,272,000,000","193,227,000,000","185,830,000,000","189,370,000,000","180,640,000,000","169,181,000,000","162,048,477,313","163,227,455,707","154,681,632,783","145,941,586,825","144,413,901,668","135,558,251,264","112,212,800,709","109,968,542,810","118,842,591,960","49,250,974,526","45,741,806,303","31,943,854,079","31,290,917,013","28,267,486,269","23,773,445,204","21,389,664,455","20,818,474,462","14,729,392,817","13,471,475,671","12,403,793,562","11,669,751,008","11,231,964,230","9,975,699,853","9,761,434,778","9,169,913,324","8,759,459,296","8,021,964,364","8,116,204,013","6,995,452,226","6,495,972,354","4,156,759,697","3,772,668,114","3,411,899,400","2,772,098,528","2,560,566,316","2,303,951,242.431","2,307,077,660.329","2,267,267,589.023","2,127,996,869.321","2,091,840,978.648","1,819,031,389.814","1,572,840,610.176","1,450,624,661.53","1,314,505,948.276","1,242,560,174.699","1,127,923,556.505","1,036,324,672.978","915,826,941.838","826,847,838.901","783,625,804.836","740,718,059.014","678,472,811.415","611,612,909.098","576,144,173.767","557,302,682.181"
	CurrentAssets,"67,955,000,000","75,578,000,000","80,165,000,000","79,349,000,000","79,394,000,000","84,464,000,000","74,293,000,000","66,315,000,000","59,226,820,149","63,241,354,944","54,785,951,495","46,617,016,511","45,911,441,840","52,222,056,629","29,145,769,816","30,129,583,154","40,600,868,431","25,750,457,901","26,695,907,511","16,802,161,112","17,076,682,924","16,194,112,928","14,692,164,213","14,686,496,027","14,365,719,868","10,195,191,117","9,317,847,446","8,237,728,492","7,643,219,513","7,436,396,169","6,586,876,311","6,398,542,515","5,877,992,574","5,345,316,920","4,655,069,577","4,570,908,450","3,822,624,962","4,016,873,140","2,306,295,816","2,012,439,413","1,737,893,193","1,796,984,814","1,631,307,004","1,702,196,748.105","1,704,506,596.63","1,659,677,047.095","1,549,864,970.55","1,540,043,372.744","1,290,368,565.941","1,122,484,925.549","1,052,576,337.625","971,382,115.14","966,784,342.35","931,934,389.128","851,662,736.878","773,740,409.615","727,037,033.688","693,059,491.185","670,866,623.685","612,027,412.625","550,039,963.173","518,442,339.126","509,281,638.999"
		CashCashEquivalentsAndShortTermInvestments,"42,981,000,000","44,399,000,000","55,951,000,000","56,411,000,000","58,283,000,000","59,283,000,000","55,219,000,000","51,376,000,000","46,372,929,797","45,386,296,262","40,455,639,058","33,819,444,397","32,547,543,539","36,969,324,982","15,560,865,258","18,452,440,562","27,451,460,190","16,177,629,320","19,324,993,246","11,153,940,376","11,739,742,386","10,195,174,686","9,561,087,945","10,804,768,621","10,773,435,769","5,984,926,599","5,976,481,901","5,427,388,510","4,830,197,297","4,101,007,464","4,942,379,543","4,791,899,980","4,024,702,956","3,904,990,675","3,344,941,299","3,332,213,174","2,577,801,656","3,231,239,468","1,614,802,299","1,359,107,225","1,188,528,597","1,372,513,770","1,246,413,272","1,277,914,869.755","1,279,648,975.862","1,240,558,029.306","1,207,324,422.032","1,202,450,330.944","982,910,885.165","858,721,103.582","843,678,497.728","758,753,606.788","801,608,173.052","787,799,012.007","735,362,467.707","665,193,670.832","642,994,026.41","617,186,529.546","615,875,684.494","558,292,003.888","500,895,583.313","472,623,002.386","472,051,536.857"
			CashAndCashEquivalents,"19,923,000,000","18,330,000,000","23,002,000,000","22,708,000,000","21,530,000,000","21,490,000,000","22,041,000,000","17,253,000,000","18,242,991,687","18,323,479,861","16,196,266,530","18,920,074,163","18,434,681,251","30,772,339,369","10,116,920,988","12,405,654,720","19,215,674,674","8,946,005,987","12,923,666,794","4,311,369,022","5,300,887,799","6,969,956,248","6,548,622,152","6,930,728,084","7,138,344,814","3,074,316,806","2,750,523,923","3,939,763,848","3,421,532,962","2,849,990,911","2,964,876,678","3,503,428,418","2,900,100,504","3,332,218,515","2,049,804,216","2,153,935,111","1,539,479,378","3,093,630,609","1,434,618,382","1,191,983,450","1,075,353,097","1,264,513,770","1,069,827,364","1,116,059,004.327","1,117,573,475.112","995,835,170.991","1,065,947,506.708","1,189,444,778.44","969,925,399.76","858,721,103.582","843,678,497.728","758,753,606.788","801,608,173.052","787,799,012.007","735,362,467.707","665,193,670.832","642,994,026.41","617,186,529.546","615,875,684.494","558,292,003.888","500,895,583.313","472,623,002.386","472,051,536.857"
				CashFinancial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,332,218,515","2,049,804,216",,"1,539,479,378","3,093,630,609",,"1,191,983,450","1,075,353,097","1,264,513,770",,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"23,058,000,000","26,069,000,000","32,949,000,000","33,703,000,000","36,753,000,000","37,793,000,000","33,178,000,000","34,123,000,000","28,129,938,110","27,062,816,401","24,259,372,528","14,899,370,234","14,112,862,288","6,196,985,613","5,443,944,270","6,046,785,842","8,235,785,516","7,231,623,333","6,401,326,452","6,842,571,354","6,438,854,587","3,225,218,438","3,012,465,793","3,874,040,537","3,635,090,955","2,910,609,793","3,225,957,978","1,487,624,662","1,408,664,335","1,251,016,553","1,977,502,865","1,288,471,562","1,124,602,452","572,772,160","1,295,137,083","1,178,278,063","1,038,322,278","137,608,859","180,183,917","167,123,775","113,175,500","108,000,000","176,585,908","161,855,865.428","162,075,500.751","244,722,858.315","141,376,915.324","13,005,552.504","12,985,485.405",,,,,,,,,,,,,,
		Receivables,"13,417,000,000","9,295,000,000","10,325,000,000","6,108,000,000","8,861,000,000","6,797,000,000","6,261,000,000","5,178,000,000","5,592,426,752","5,855,141,594","5,266,699,517","4,815,578,150","5,701,604,831","4,389,989,942","4,416,074,579","2,797,741,510","4,405,340,553","3,179,848,066","2,708,586,983","2,223,519,089","1,942,082,292","2,017,679,173","1,998,512,645","1,578,612,951","1,624,169,365","1,552,182,097","1,545,038,631","1,254,443,621","1,304,823,458","1,050,091,257","832,743,004","794,030,889","859,767,242","793,671,121","690,045,097","624,765,477","647,605,152","501,919,455","422,866,970","419,659,326","392,658,712","332,378,582","277,314,477","337,103,443.789","337,560,886.733","333,496,692.763","273,150,331.412","219,607,028.752","235,689,316.37","198,600,046.063","154,177,924.555","135,135,691.394","110,671,989.983","96,393,770.06","64,068,446.055","65,155,522.049","61,840,967.588","59,434,327.263","35,477,750.237","37,591,608.952","40,952,206.726","38,148,438.711","29,556,513.714"
			AccountsReceivable,"7,661,000,000","9,295,000,000","7,927,000,000","6,108,000,000","5,668,000,000","6,797,000,000","6,261,000,000","5,178,000,000","4,559,052,701","5,855,141,594","5,266,699,517","4,815,578,150","4,624,818,322","4,389,989,942","3,658,078,229","2,797,741,510","3,150,768,364","3,179,848,066","2,708,586,983","2,210,788,815","1,826,765,949","2,017,679,173","1,998,512,645","1,578,612,951","1,518,230,029","1,552,182,097","1,545,038,631","1,254,443,621","983,804,403","1,050,091,257","832,743,004","789,036,329","859,767,242","793,671,121","690,045,097","621,548,849","647,605,152","501,919,455","420,579,005","419,659,326","392,658,712","332,378,582","274,302,454","337,103,443.789","337,560,886.733","333,496,692.763","261,058,290.928","219,607,028.752","235,689,316.37","198,600,046.063","136,572,760.245","135,135,691.394","110,671,989.983","96,393,770.06","63,466,154.881","64,544,552.528","61,133,541.723","59,297,530.835","35,418,495.239","37,591,608.952","40,952,206.726","37,401,327.396","28,944,766.707"
				GrossAccountsReceivable,"7,917,000,000",,,,"5,824,000,000",,,,"4,688,052,701",,,,"4,683,618,322",,,,"3,188,968,364",,,,"1,841,473,133",,,,"1,524,130,029",,,,"988,204,403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-256,000,000",,,,"-156,000,000",,,,"-129,000,000",,,,"-58,800,000",,,,"-38,200,000",,,,"-14,707,184",,,,"-5,900,000",,,,"-4,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
