name,ttm,06/30/2019,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"67,316,000,000",,"15,818,000,000","13,226,000,000","13,357,000,000","15,649,000,000","9,903,000,000","17,907,000,000","14,206,000,000","11,144,000,000","14,004,000,000","813,000,000","1,485,000,000","19,620,000,000","14,188,000,000","9,353,000,000","12,180,000,000","10,614,000,000","13,247,000,000","12,104,000,000","5,708,000,000","17,369,000,000","10,456,000,000","13,437,000,000","6,407,000,000","16,912,000,000","13,732,000,000","812,000,000","8,436,000,000","10,430,000,000","11,976,000,000","35,754,000,000","3,437,000,000","15,464,000,000","10,655,000,000","19,307,000,000","14,597,000,000","1,850,000,000","1,165,000,000","-806,000,000","6,560,000,000","607,000,000","8,656,584,200","12,116,149,960","13,846,228,000","12,879,838,350","15,226,580,920","12,663,875,640","10,701,063,810","9,346,731,740","11,534,058,910","13,692,230,440","7,400,960,000","7,328,916,000","5,990,539,050","8,576,457,800","7,118,735,730","7,116,970,040","7,066,261,400","6,746,805,900","7,391,435,280","7,771,241,600","7,732,046,080","7,177,992,960","7,770,385,440","8,541,929,520","6,088,393,880","8,341,961,820","8,071,139,600","8,169,670,840","7,072,550,480","7,078,217,040","7,642,483,200","7,880,872,870","3,374,678,680","9,931,591,460","4,379,074,880","4,988,944,080","3,237,343,415","4,053,728,835","4,192,642,410","4,801,030,125","3,602,115,993","3,678,984,960","3,416,754,900","3,475,284,960","2,952,297,800","2,826,212,640","2,820,414,240","2,735,612,640","2,476,686,980","2,133,656,558","2,184,214,416","2,758,917,100","2,369,747,220","2,500,084,950","2,142,196,875","2,245,900,530","4,204,893,833","1,908,337,662","1,793,944,930","2,250,666,600","1,858,656,827","1,533,331,944","1,631,481,250","2,013,112,674","1,603,198,765","1,728,561,951","1,403,208,768","1,782,554,400","1,190,322,384","1,459,305,462","1,331,620,880","1,729,574,972","906,783,183","1,473,610,600","1,538,837,469","1,491,423,948","1,120,885,330","939,916,222","912,108,537","1,434,884,695","998,281,118","974,906,900","911,102,686","1,263,522,291","1,049,712,435","1,241,873,715","715,128,951","754,911,615","702,961,810","1,079,586,666"
	OperatingRevenue,"67,316,000,000",,"15,818,000,000","13,226,000,000","13,357,000,000","15,649,000,000","9,903,000,000","17,907,000,000","14,206,000,000","11,144,000,000","14,004,000,000","813,000,000","1,485,000,000","19,620,000,000","14,188,000,000","9,353,000,000","12,180,000,000","10,614,000,000","13,247,000,000","12,104,000,000","5,708,000,000","17,369,000,000","10,456,000,000","13,437,000,000","6,407,000,000","16,912,000,000","13,732,000,000","812,000,000","8,436,000,000","10,430,000,000","11,976,000,000","35,754,000,000","3,437,000,000","15,464,000,000","10,655,000,000","19,307,000,000","14,597,000,000","1,850,000,000","1,165,000,000","-806,000,000","6,560,000,000","607,000,000","8,656,584,200","12,116,149,960","13,846,228,000","12,879,838,350","15,226,580,920","12,663,875,640","10,701,063,810","9,346,731,740","11,534,058,910","13,692,230,440","7,400,960,000","7,328,916,000","5,990,539,050","8,576,457,800","7,118,735,730","7,116,970,040","7,066,261,400","6,746,805,900","7,391,435,280","7,771,241,600","7,732,046,080","7,177,992,960","7,770,385,440","8,541,929,520","6,088,393,880","8,341,961,820","8,071,139,600","8,169,670,840","7,072,550,480","7,078,217,040","7,642,483,200","7,880,872,870","3,374,678,680","9,931,591,460","4,379,074,880","4,988,944,080","3,237,343,415","4,053,728,835","4,192,642,410","4,801,030,125","3,602,115,993","3,678,984,960","3,416,754,900","3,475,284,960","2,952,297,800","2,826,212,640","2,820,414,240","2,735,612,640","2,476,686,980","2,133,656,558","2,184,214,416","2,758,917,100","2,369,747,220","2,500,084,950","2,142,196,875","2,245,900,530","4,204,893,833","1,908,337,662","1,793,944,930","2,250,666,600","1,858,656,827","1,533,331,944","1,631,481,250","2,013,112,674","1,603,198,765","1,728,561,951","1,403,208,768","1,782,554,400","1,190,322,384","1,459,305,462","1,331,620,880","1,729,574,972","906,783,183","1,473,610,600","1,538,837,469","1,491,423,948","1,120,885,330","939,916,222","912,108,537","1,434,884,695","998,281,118","974,906,900","911,102,686","1,263,522,291","1,049,712,435","1,241,873,715","715,128,951","754,911,615","702,961,810","1,079,586,666"
NetNonOperatingInterestIncomeExpense,"-513,000,000",,"-122,000,000","-109,000,000","-111,000,000","-93,000,000","-89,000,000","-89,000,000","-72,000,000","-97,000,000","-104,000,000","-125,000,000","-75,000,000","-108,000,000","-104,000,000","-85,000,000","-65,000,000","-116,000,000","-88,000,000","-81,000,000","-83,000,000","-103,000,000","-94,000,000","-115,000,000","-126,000,000","-132,000,000","-130,000,000","-133,000,000","-117,000,000","-111,000,000","-95,000,000","-319,000,000","-99,000,000","-96,000,000","-93,000,000","-93,000,000","-106,000,000","-120,000,000","-156,000,000","-164,000,000","-111,000,000","-95,000,000","-147,733,760","-118,130,880","-111,066,000","-97,659,900","-28,864,760","-131,833,140","-100,887,030",,,,"-181,720,000",,,,"-161,920,210",,,,"-161,099,850",,,,"-176,185,440",,,,"-210,253,600",,,,"-179,430,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"513,000,000",,"122,000,000","109,000,000","111,000,000","93,000,000","89,000,000","89,000,000","72,000,000","97,000,000","104,000,000","125,000,000","75,000,000","108,000,000","104,000,000","85,000,000","65,000,000","116,000,000","88,000,000","81,000,000","83,000,000","103,000,000","94,000,000","115,000,000","126,000,000","132,000,000","130,000,000","133,000,000","117,000,000","111,000,000","95,000,000","319,000,000","99,000,000","96,000,000","93,000,000","93,000,000","106,000,000","120,000,000","156,000,000","164,000,000","111,000,000","95,000,000","147,733,760","118,130,880","111,066,000","97,659,900","28,864,760","131,833,140","100,887,030",,,,"181,720,000",,,,"161,920,210",,,,"161,099,850",,,,"176,185,440",,,,"210,253,600",,,,"179,430,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"3,863,000,000",,"865,000,000","947,000,000","2,349,000,000","796,000,000","1,050,000,000","1,035,000,000","1,047,000,000","755,000,000","880,000,000","1,120,000,000","828,000,000","723,000,000","924,000,000","649,000,000","786,000,000","738,000,000","686,000,000","1,038,000,000","701,000,000","922,000,000","1,292,000,000","1,108,000,000","1,085,000,000","955,000,000","898,000,000","2,601,000,000","476,000,000","469,000,000","1,877,000,000","1,000,000","460,000,000","481,000,000","3,312,000,000","11,858,000,000","7,022,000,000","-7,251,000,000","-7,627,000,000","-9,352,000,000","-1,892,000,000","336,000,000","-8,403,702,400","5,519,102,840","7,535,457,880","5,503,510,980","-1,683,540,340","6,071,429,220","4,984,132,110",,,,"2,312,800,000",,,,"2,185,511,870",,,,"2,296,325,970",,,,"2,501,023,200",,,,"2,575,016,000",,,,"2,408,748,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-169,000,000",,"-36,000,000","4,000,000","3,000,000","-13,000,000","-41,000,000","6,000,000","-20,000,000","-40,000,000","39,000,000","-10,000,000","6,000,000","-13,000,000","-74,000,000","3,000,000","-8,000,000","-8,000,000","-12,000,000","-208,000,000","-49,000,000","-25,000,000","-50,000,000","-40,000,000","-52,000,000","-64,000,000","-229,000,000","-132,000,000","-99,000,000","-92,000,000","-439,000,000","-1,153,000,000","-222,000,000","-170,000,000","-216,000,000","-310,000,000","-413,000,000","-430,000,000","-534,000,000","-444,000,000","-101,000,000","-34,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,,,,,,,,,,,"39,000,000","52,000,000","46,000,000","176,000,000","137,000,000","106,000,000","64,000,000","317,000,000","1,153,000,000","106,000,000","170,000,000","216,000,000","310,000,000","413,000,000","430,000,000","534,000,000","444,000,000","101,000,000","34,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,"169,000,000",,"36,000,000","4,000,000","3,000,000","13,000,000","41,000,000","6,000,000","20,000,000","40,000,000","5,000,000","10,000,000","6,000,000","13,000,000","74,000,000","3,000,000","8,000,000","8,000,000","12,000,000","208,000,000","49,000,000","25,000,000","69,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,"1,000,000",,"18,000,000","53,000,000","-5,000,000","-7,000,000","28,000,000",,,"116,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"1,457,000,000",,"658,000,000","607,000,000","746,000,000","523,000,000","336,000,000","499,000,000","-362,000,000","138,000,000","649,000,000","-572,000,000","378,000,000","418,000,000","-49,000,000","19,000,000","431,000,000","488,000,000","486,000,000","150,000,000","277,000,000","234,000,000","498,000,000","453,000,000","338,000,000","563,000,000","86,000,000","-16,000,000","473,000,000","373,000,000","352,000,000","-837,000,000","485,000,000","408,000,000","373,000,000","-44,000,000","-338,000,000","-457,000,000","-1,278,000,000","-343,000,000","343,000,000","217,000,000","3,077,000,000","0","0","0","3,390,000,000","0","0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
