name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
TotalRevenue,"8,973,900,000","9,041,400,000","9,352,000,000","8,306,500,000","7,410,500,000","7,467,300,000","9,723,700,000","10,786,900,000","9,962,200,000","8,773,200,000","6,896,600,000","6,630,400,000","8,424,600,000","6,828,100,000","5,435,000,000","5,449,700,000","5,273,300,000","3,495,300,000","2,922,700,000","2,541,500,000","2,336,100,000","2,413,300,000","2,941,400,000","3,224,400,000","2,317,500,000","2,125,000,000","1,359,000,000","595,700,000","314,500,000"
	OperatingRevenue,"8,973,900,000","9,041,400,000","9,352,000,000","8,306,500,000","7,410,500,000","7,467,300,000","9,723,700,000","10,786,900,000","9,962,200,000","8,773,200,000","6,896,600,000","6,630,400,000","8,424,600,000","6,828,100,000","5,435,000,000","5,449,700,000","5,273,300,000","3,495,300,000","2,922,700,000","2,541,500,000","2,336,100,000","2,413,300,000","2,941,400,000","3,224,400,000","2,317,500,000","2,125,000,000","1,359,000,000","595,700,000","314,500,000"
CostOfRevenue,"6,995,800,000","7,057,100,000","7,355,300,000","6,541,200,000","5,895,000,000","5,906,700,000","7,657,400,000","8,396,300,000","7,839,000,000","6,997,100,000","5,637,900,000","5,557,900,000","6,924,900,000","5,637,100,000","4,507,200,000","4,516,100,000","4,320,400,000","2,878,900,000","2,390,900,000","2,106,700,000","1,959,500,000","2,056,900,000","2,404,100,000","2,557,600,000","1,847,200,000","1,592,200,000","1,023,600,000","467,500,000","254,800,000"
GrossProfit,"1,978,100,000","1,984,300,000","1,996,700,000","1,765,300,000","1,515,500,000","1,560,600,000","2,066,300,000","2,390,600,000","2,123,200,000","1,776,100,000","1,258,700,000","1,072,500,000","1,499,700,000","1,191,000,000","927,800,000","933,600,000","952,900,000","616,400,000","531,800,000","434,800,000","376,600,000","356,400,000","537,300,000","666,800,000","470,300,000","532,800,000","335,400,000","128,200,000","59,700,000"
OperatingExpense,"1,430,300,000","1,444,800,000","1,489,300,000","1,350,800,000","1,215,200,000","1,177,200,000","1,373,400,000","1,489,900,000","1,407,600,000","1,166,500,000","930,100,000","840,000,000","934,500,000","798,500,000","857,900,000","658,900,000","629,300,000","405,300,000","385,100,000","325,100,000","310,800,000","298,700,000","366,800,000","329,500,000","243,300,000","263,400,000","168,200,000","80,300,000","45,600,000"
	SellingGeneralAndAdministration,"1,025,700,000","1,040,300,000","1,069,400,000","970,700,000","867,900,000","852,300,000","995,400,000","1,088,700,000","1,041,200,000","869,300,000","692,100,000","630,100,000","720,900,000","625,700,000","541,700,000","642,400,000","613,500,000","403,000,000","383,700,000","306,600,000","273,800,000","274,200,000","326,800,000","329,500,000","243,300,000","227,900,000","148,900,000","77,400,000","43,900,000"
	ResearchAndDevelopment,,,,,,,,,,"275,600,000","219,600,000","191,900,000","194,500,000","154,900,000","127,900,000",,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"60,800,000","61,100,000","64,700,000","57,000,000","51,200,000","42,700,000","41,000,000","47,800,000","49,300,000","21,600,000","18,400,000","18,000,000","19,100,000","17,900,000","16,900,000","16,500,000","15,800,000","1,700,000","1,400,000","18,500,000","15,100,000",,,,,"35,500,000","19,300,000","2,900,000","1,700,000"
		DepreciationAndAmortizationInIncomeStatement,"60,800,000","61,100,000","64,700,000","57,000,000","51,200,000","42,700,000","41,000,000","47,800,000","49,300,000","21,600,000","18,400,000","18,000,000","19,100,000","17,900,000","16,900,000","16,500,000","15,800,000","1,700,000","1,400,000","18,500,000","15,100,000",,,,,"35,500,000","19,300,000","2,900,000","1,700,000"
			Amortization,"60,800,000","61,100,000","64,700,000","57,000,000","51,200,000","42,700,000","41,000,000","47,800,000","49,300,000","21,600,000","18,400,000","18,000,000","19,100,000","17,900,000","16,900,000","16,500,000","15,800,000","1,700,000","1,400,000","18,500,000","15,100,000",,,,,,,,
