name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,12/31/2011
TotalAssets,"8,262,372,000","5,245,686,000","5,339,860,000","5,177,772,000","5,190,404,000","5,264,441,000","4,331,693,000","4,220,821,000","4,083,887,000","4,325,893,000","4,317,328,000","4,258,086,000","4,148,745,000","4,220,926,000","4,269,535,000","4,231,088,000","4,249,992,000","4,137,290,000","4,121,668,000","3,879,384,000","3,869,766,000","4,133,113,000","4,033,140,000","3,913,276,000","3,734,148,000","3,438,558,000","3,401,813,000","3,255,251,000","2,777,703,000","2,756,813,000","2,156,299,000","1,671,067,000"
	CurrentAssets,"7,081,114,000","4,703,867,000","4,797,324,000","4,632,182,000","4,639,264,000","4,738,900,000","3,941,295,000","3,806,481,000","3,662,052,000","3,939,951,000","3,842,023,000","3,791,492,000","3,695,119,000","3,780,410,000","3,807,500,000","3,770,537,000","3,794,301,000","3,706,021,000","3,674,553,000","3,455,632,000","3,470,901,000","3,154,016,000","3,526,691,000","3,430,655,000","3,307,671,000","3,009,485,000","2,998,603,000","2,856,138,000","2,380,631,000","2,367,688,000","2,060,342,000","1,617,458,000"
		CashCashEquivalentsAndShortTermInvestments,"507,761,000","326,437,000","222,049,000","196,529,000","171,982,000","329,645,000","382,054,000","320,102,000","287,970,000","573,925,000","264,862,000","246,477,000","300,839,000","300,179,000","160,519,000","131,879,000","141,124,000","126,188,000","158,279,000","145,546,000","399,537,000","234,217,000","281,528,000","300,821,000","433,000,000","389,181,000","355,415,000","421,147,000","237,963,000","300,567,000","412,779,000","279,322,000"
			CashAndCashEquivalents,"507,761,000","326,437,000","222,049,000","196,529,000","171,982,000","329,645,000","382,054,000","320,102,000","287,970,000","573,925,000","264,862,000","246,477,000","300,839,000","300,179,000","160,519,000","131,879,000","141,124,000","126,188,000","158,279,000","145,546,000","399,537,000","234,217,000","281,528,000","300,821,000","433,000,000","389,181,000","355,415,000","421,147,000","237,963,000","300,567,000","412,779,000","279,322,000"
		Receivables,"115,119,000","70,447,000","80,886,000","68,500,000","92,585,000","86,587,000","98,048,000","94,320,000","91,830,000","94,488,000","98,948,000","101,453,000","100,774,000","115,246,000","129,165,000","126,566,000","126,406,000","120,729,000","128,131,000","115,847,000","99,354,000","85,274,000","154,937,000","141,279,000","113,280,000","94,824,000","172,789,000","128,911,000","203,789,000","205,274,000","261,951,000","231,875,000"
			AccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"85,689,000",
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,"42,125,000","48,028,000","40,800,000","33,395,000","41,507,000","39,185,000","43,997,000","48,685,000","62,946,000","55,895,000"
			TaxesReceivable,,,,,,,,,,,,,,,,,,,,,,,"5,383,000","5,534,000","5,267,000","5,216,000","29,104,000","28,682,000","109,231,000","107,638,000","113,316,000","122,871,000"
			OtherReceivables,"115,119,000","70,447,000","80,886,000","68,500,000","92,585,000","86,587,000","98,048,000","94,320,000","91,830,000","94,488,000","98,948,000","101,453,000","100,774,000","115,246,000","129,165,000","126,566,000","126,406,000","120,729,000","128,131,000","115,847,000","99,354,000","85,274,000","107,429,000","87,717,000","67,213,000","56,213,000","102,178,000","61,044,000","50,561,000","48,951,000",,"53,109,000"
		Inventory,"5,893,220,000","3,986,544,000","4,253,674,000","4,103,587,000","4,116,176,000","3,980,565,000","3,269,111,000","3,195,703,000","3,066,530,000","2,959,236,000","3,243,771,000","3,200,027,000","3,063,698,000","3,017,219,000","3,287,297,000","3,242,920,000","3,296,798,000","3,126,787,000","3,129,193,000","2,946,894,000","2,754,730,000","2,518,321,000","2,843,282,000","2,729,425,000","2,482,991,000","2,262,339,000","2,268,630,000","2,102,604,000","1,737,849,000","1,633,050,000","1,275,763,000","1,003,482,000"
