name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,12/31/2007,06/30/2007,12/31/2006,06/30/2006,12/31/2005,06/30/2005,12/31/2004,06/30/2004,12/31/2003,06/30/2003,12/31/2002,06/30/2002,12/31/2001,06/30/2001,12/31/2000
TotalAssets,"2,727,028,000,000","2,732,910,000,000","2,700,922,000,000","2,637,490,000,000","2,634,160,000,000","2,432,266,000,000","2,483,265,000,000","2,408,038,000,000","2,397,593,000,000","2,404,612,000,000","2,445,812,000,000","2,399,683,000,000","2,389,851,000,000","2,396,651,000,000","2,405,704,000,000","2,418,243,000,000","2,393,227,000,000","2,393,844,000,000","2,372,443,000,000","2,385,332,000,000","2,394,256,000,000","2,405,473,000,000","2,392,099,000,000","2,426,390,000,000","2,382,476,000,000","2,342,110,000,000","2,379,017,000,000","2,341,474,000,000","2,297,181,000,000","2,168,896,000,000","2,109,665,000,000","2,051,494,000,000","2,034,273,000,000","1,917,586,000,000","1,873,069,000,000","1,809,375,000,000","1,770,687,000,000","1,656,487,000,000","1,582,784,000,000","1,564,461,000,000","1,536,951,000,000","1,450,288,000,000","1,424,451,000,000","1,290,589,000,000","1,230,625,000,000","1,194,174,000,000","1,187,802,000,000","1,123,272,940,610","1,060,200,870,560","940,469,311,500","870,489,507,500","843,425,084,480","778,309,620,500","655,712,261,500","609,925,813,850","567,169,169,100","531,738,687,100","509,760,198,850","483,034,246,080","469,521,677,400","447,297,774,720","456,743,441,700","427,523,788,800"
	CurrentAssets,"487,414,000,000","466,913,000,000","520,790,000,000","481,393,000,000","499,138,000,000","433,128,000,000","534,908,000,000","464,504,000,000","449,281,000,000","425,162,000,000","480,409,000,000","430,764,000,000","411,884,000,000","381,665,000,000","415,102,000,000","406,423,000,000","378,027,000,000","349,344,000,000","409,834,000,000","406,321,000,000","405,189,000,000","391,308,000,000","465,807,000,000","509,392,000,000","484,920,000,000","430,953,000,000","595,740,000,000","588,895,000,000","546,577,000,000","414,332,000,000","503,673,000,000","476,417,000,000","491,994,000,000","382,711,000,000","464,526,000,000","431,699,000,000","409,763,000,000","286,392,000,000","330,062,000,000","376,077,000,000","366,179,000,000","294,383,000,000","368,659,000,000","284,039,000,000","260,205,000,000","224,473,000,000","307,069,000,000","270,074,156,520","231,191,171,840","219,763,960,500","161,907,290,000","224,520,512,260","175,945,785,500","159,296,440,450","116,738,471,300","119,942,115,350","86,175,541,500","98,865,945,450","75,148,410,240","93,798,516,600","82,549,013,760","109,170,040,200","79,375,307,400"
		CashCashEquivalentsAndShortTermInvestments,"98,722,000,000","110,665,000,000","147,692,000,000","112,845,000,000","124,081,000,000","95,133,000,000","166,887,000,000","128,549,000,000","126,419,000,000","136,121,000,000","169,469,000,000","121,052,000,000","101,037,000,000","98,617,000,000","120,822,000,000","102,154,000,000","100,450,000,000","73,692,000,000","96,773,000,000","67,444,000,000","81,896,000,000","76,021,000,000","74,274,000,000","92,213,000,000","52,841,000,000","57,250,000,000","160,045,000,000","152,790,000,000","115,390,000,000","46,245,000,000","121,236,000,000","88,819,000,000","99,691,000,000","61,590,000,000","132,945,000,000","117,161,000,000","115,713,000,000","48,722,000,000","107,690,000,000","130,295,000,000","137,555,000,000","86,954,000,000","159,115,000,000","96,395,000,000","90,071,000,000","43,369,000,000","82,558,000,000","69,739,679,010","83,540,894,880","75,054,148,500","51,479,095,000","96,537,184,040","82,624,199,000","71,357,653,000","12,706,960,250","18,609,281,200","13,874,179,400","21,961,931,950","12,582,681,600","15,831,496,500","11,407,194,240","30,859,591,100","23,843,181,600"
			CashAndCashEquivalents,"77,305,000,000","86,409,000,000","111,569,000,000","90,640,000,000","116,014,000,000","85,598,000,000","154,460,000,000","117,477,000,000","125,570,000,000","122,777,000,000","165,151,000,000","114,538,000,000","96,318,000,000","97,931,000,000","119,947,000,000","101,322,000,000","99,610,000,000","72,773,000,000","95,441,000,000","66,113,000,000","81,613,000,000","73,778,000,000","71,764,000,000","89,475,000,000","52,451,000,000","51,407,000,000","156,686,000,000","150,092,000,000","113,456,000,000","43,395,000,000","105,536,000,000","73,351,000,000","99,241,000,000","61,172,000,000","132,349,000,000","116,125,000,000","115,002,000,000","45,709,000,000","104,639,000,000","127,267,000,000","137,524,000,000","86,925,000,000","151,744,000,000","89,232,000,000","79,650,000,000","32,944,000,000","68,897,000,000","58,812,219,230","65,497,347,280","71,655,384,000","48,469,260,000","92,651,390,480","80,928,764,000","69,859,307,850","11,307,952,900","17,806,300,650","11,233,449,550","19,337,758,400","9,975,086,400","13,194,291,600","8,153,908,800","18,608,341,700","18,039,466,800"
				CashFinancial,,"86,409,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"21,417,000,000","24,256,000,000","36,123,000,000","22,205,000,000","8,067,000,000","9,535,000,000","12,427,000,000","11,072,000,000","849,000,000","13,344,000,000","4,318,000,000","6,514,000,000","4,719,000,000","686,000,000","875,000,000","832,000,000","840,000,000","919,000,000","1,332,000,000","1,331,000,000","283,000,000","2,243,000,000","2,510,000,000","2,738,000,000","390,000,000","5,843,000,000","3,359,000,000","2,698,000,000","1,934,000,000","2,850,000,000","15,700,000,000","15,468,000,000","450,000,000","418,000,000","596,000,000","1,036,000,000","711,000,000","3,013,000,000","3,051,000,000","3,028,000,000","31,000,000","29,000,000","7,371,000,000","7,163,000,000","10,421,000,000","10,425,000,000","13,661,000,000","10,927,459,780","18,043,547,600","3,398,764,500","3,009,835,000","3,885,793,560","1,695,435,000","1,498,345,150","1,399,007,350","802,980,550","2,640,729,850","2,624,173,550","2,607,595,200","2,637,204,900","3,253,285,440","12,251,249,400","5,803,714,800"
		Receivables,"85,519,000,000","139,419,000,000","87,247,000,000","82,760,000,000","91,581,000,000","132,444,000,000","87,813,000,000","87,214,000,000","93,299,000,000","125,272,000,000","78,510,000,000","75,904,000,000","75,025,000,000","105,430,000,000","70,604,000,000","71,615,000,000","66,295,000,000","112,787,000,000","77,466,000,000","66,612,000,000","71,143,000,000","120,492,000,000","94,656,000,000","98,911,000,000","92,657,000,000","129,656,000,000","94,821,000,000","104,017,000,000","86,623,000,000","118,139,000,000","83,005,000,000","73,852,000,000","88,355,000,000","66,510,000,000","73,368,000,000","72,982,000,000","69,305,000,000","50,960,000,000","41,878,000,000","47,203,000,000","42,053,000,000","33,053,000,000","28,063,000,000","25,301,000,000","20,073,000,000","21,070,000,000","33,122,000,000","33,536,470,040","58,689,012,720","20,970,453,000","27,774,695,000","14,591,714,500","17,067,379,000","8,716,891,950","40,711,941,700","45,885,785,450","29,900,677,800","29,958,624,850","18,402,171,840","20,609,880,300","20,314,408,320","16,583,000,200","12,682,191,600"
			AccountsReceivable,"80,089,000,000","64,184,000,000","77,689,000,000","73,738,000,000","79,903,000,000","58,507,000,000","69,874,000,000","63,897,000,000","73,286,000,000","53,143,000,000","63,786,000,000","62,529,000,000","62,465,000,000","47,315,000,000","61,933,000,000","62,675,000,000","57,807,000,000","52,262,000,000","68,548,000,000","59,211,000,000","60,393,000,000","53,104,000,000","78,295,000,000","83,371,000,000","78,029,000,000","64,027,000,000","79,172,000,000","89,718,000,000","75,344,000,000","64,450,000,000","72,684,000,000","62,304,000,000","73,330,000,000","53,822,000,000","59,251,000,000","58,033,000,000","57,726,000,000","45,005,000,000","36,125,000,000","41,461,000,000","36,909,000,000","28,785,000,000","23,424,000,000","21,136,000,000","15,510,000,000","16,756,000,000","27,489,000,000","27,709,405,540","18,423,411,760","16,370,335,500","8,468,085,000","10,530,020,820","4,634,189,000","4,884,108,500","2,665,564,300","3,874,174,200","3,261,591,100","5,993,380,600","6,076,110,720","10,044,526,500","6,763,191,360","13,135,786,300","12,682,191,600"
				GrossAccountsReceivable,,"66,615,000,000",,"77,573,000,000",,"62,560,000,000",,"68,665,000,000",,"57,914,000,000",,"64,553,000,000",,"49,338,000,000",,"63,197,000,000",,"52,785,000,000",,"59,722,000,000",,"53,620,000,000",,"83,840,000,000",,"64,523,000,000",,"90,277,000,000",,"65,035,000,000",,"63,138,000,000",,"54,672,000,000",,"59,064,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-2,431,000,000",,"-3,835,000,000",,"-4,053,000,000",,"-4,768,000,000",,"-4,771,000,000",,"-2,024,000,000",,"-2,023,000,000",,"-522,000,000",,"-523,000,000",,"-511,000,000",,"-516,000,000",,"-469,000,000",,"-496,000,000",,"-559,000,000",,"-585,000,000",,"-834,000,000",,"-850,000,000",,"-1,031,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
