name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
TotalAssets,"4,357,378,000","4,087,250,000","4,252,931,000","3,846,113,000","3,715,476,000","4,090,874,000","3,952,764,000","3,479,500,000","3,065,796,000","2,555,997,000","2,092,869,000","1,954,225,000","1,707,251,000","1,255,015,000","916,912,000","702,050,000","591,915,000","421,935,000","300,121,000"
	CurrentAssets,"1,234,443,000","1,064,069,000","1,198,488,000","1,069,391,000","907,585,000","1,011,449,000","1,401,153,000","917,490,000","754,242,000","594,383,000","502,154,000","522,464,000","435,736,000","290,651,000","184,793,000","156,035,000","103,523,000","68,940,000","69,040,000"
		CashCashEquivalentsAndShortTermInvestments,"851,135,000","722,358,000","943,900,000","814,689,000","684,948,000","766,603,000","1,131,689,000","651,103,000","506,146,000","402,603,000","352,068,000","396,826,000","308,358,000","197,380,000","114,490,000","110,943,000",,,
			CashAndCashEquivalents,"158,732,000","156,158,000","238,792,000","331,687,000","204,715,000","221,443,000","139,110,000","76,094,000","243,801,000","207,690,000","262,656,000","220,808,000","285,858,000","169,880,000","94,106,000","95,718,000",,,
				CashFinancial,"365,000","359,000","352,000","311,000","194,000","321,000","696,000","498,000",,,,,,,,,,,
				CashEquivalents,"158,367,000","155,799,000","238,440,000","331,376,000","204,521,000","221,122,000","138,414,000","75,596,000",,,,,,,,,,,
			OtherShortTermInvestments,"692,403,000","566,200,000","705,108,000","483,002,000","480,233,000","545,160,000","992,579,000","575,009,000","262,345,000","194,913,000","89,412,000","176,018,000","22,500,000","27,500,000","20,384,000","15,225,000",,,
		Receivables,"142,619,000","128,588,000","126,084,000","120,884,000","111,044,000","122,150,000","135,056,000","136,336,000","143,001,000","89,387,000","80,791,000","75,201,000","74,169,000","62,137,000","49,492,000","27,706,000","31,019,000",,"30,210,000"
			AccountsReceivable,"129,781,000","116,054,000","115,641,000","114,143,000","90,889,000","117,256,000","122,553,000","124,891,000","143,001,000","89,387,000","80,791,000","75,201,000","74,169,000","62,137,000","49,492,000","27,706,000","31,019,000",,"30,210,000"
			AccruedInterestReceivable,"12,838,000","12,534,000","10,443,000","6,741,000","5,267,000",,,,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,"147,000","223,000","318,000","479,000","642,000","918,000","2,189,000","1,129,000",,,,,,,,,,,
			OtherReceivables,,,,,"17,885,000","8,585,000","14,562,000","13,499,000",,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,,,,,"-2,997,000","-3,691,000","-4,248,000","-3,183,000",,,,,,,,,,,
		Inventory,"69,100,000","86,530,000","81,825,000","74,502,000","62,247,000","59,954,000","56,814,000","50,603,000","42,382,000","45,982,000","23,327,000","18,405,000","14,088,000","8,667,000","4,070,000","2,333,000",,,
		PrepaidAssets,"49,034,000","74,384,000","45,421,000","58,407,000","48,667,000","56,793,000","54,811,000","63,120,000","40,058,000","31,789,000","32,314,000","26,694,000","25,574,000","16,590,000","13,502,000","8,403,000",,,
		RestrictedCash,,"0","0","0","64,228,000",,,,,,,,,,,,,,
		CurrentDeferredAssets,"1,181,000","10,357,000",,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,"1,181,000","10,357,000",,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,"120,006,000","40,330,000",,,,,,,,,,,,,,,,,
