name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
TotalRevenue,"1,271,953,000","1,155,637,000","1,225,061,000","638,677,000","683,293,000","553,656,000","486,624,000","544,272,000","259,051,000","225,352,000","127,521,000","20,638,000",,
	OperatingRevenue,"1,271,953,000","1,155,637,000","1,225,061,000","638,677,000","683,293,000","553,656,000","486,624,000","544,272,000","259,051,000","225,352,000","127,521,000","20,638,000",,
CostOfRevenue,"721,654,000","705,177,000","860,405,000","488,393,000","473,217,000","466,627,000","392,756,000","397,326,000","132,029,000","88,150,000","62,762,000","18,221,000",,
GrossProfit,"550,299,000","450,460,000","364,656,000","150,284,000","210,076,000","87,029,000","93,868,000","146,946,000","127,022,000","137,202,000","64,759,000","2,417,000",,
OperatingExpense,"76,927,000","78,528,000","91,311,000","70,577,000","71,178,000","61,433,000","82,869,000","65,758,000","46,177,000","50,267,000","42,261,000","14,314,000","10,653,154","4,279,292"
	SellingGeneralAndAdministration,"73,047,000","74,924,000","84,686,000","67,252,000","59,620,000","56,294,000","61,611,000","58,276,000","41,084,000","22,825,000","16,465,000","11,318,000","10,564,332","4,232,550"
		GeneralAndAdministrativeExpense,"73,047,000","74,924,000","84,686,000","67,252,000","59,620,000","56,294,000","61,611,000","58,276,000","41,084,000","22,825,000","16,465,000","11,318,000",,
			SalariesAndWages,"16,804,000","17,139,000","21,693,000","18,127,000","13,651,000","15,215,000","16,105,000","18,328,000","16,635,000","6,190,000","1,943,000","3,220,000",,
			OtherGandA,"56,243,000","57,785,000","62,993,000","49,125,000","45,969,000","41,079,000","45,506,000","39,948,000","24,449,000","16,635,000","14,522,000","8,098,000",,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,"26,175,000","14,305,000","2,281,000","88,822","46,743"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,"14,305,000","2,281,000","88,822","46,743"
			Amortization,,,,,,,,,,,,,"88,822","46,743"
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,"88,822","46,743"
	OtherTaxes,,"-57,000",,,,,,,,,,,,
	OtherOperatingExpenses,"3,937,000","3,661,000","6,625,000","3,325,000","11,558,000","5,139,000","21,258,000","7,482,000","5,093,000","1,267,000","11,491,000","715,000",,"-1"
OperatingIncome,"473,372,000","371,932,000","273,345,000","79,707,000","138,898,000","25,596,000","10,999,000","81,188,000","80,845,000","86,935,000","22,498,000","-11,897,000","-10,653,154","-4,279,292"
NetNonOperatingInterestIncomeExpense,"-23,628,000","-26,550,000","-31,754,000","-12,906,000","-10,184,000","-16,104,000","-5,695,000","-12,674,000","-193,000","-611,000","-5,501,000","-477,000",,
	InterestIncomeNonOperating,,,,,,,,,,,,"262,000",,
	InterestExpenseNonOperating,"23,628,000","26,550,000","31,754,000","12,906,000","10,184,000","16,104,000","5,695,000","2,991,000","193,000","611,000","5,501,000","739,000",,
	TotalOtherFinanceCost,,,,,,,,"9,683,000",,,,,,
OtherIncomeExpense,"119,648,000","137,007,000","-48,878,000","2,095,000","-60,184,000","-152,936,000","-756,754,000","18,591,000","-3,382,000","-5,815,000","19,187,000","-16,196,000","-22,036,135","-542,089"
	GainOnSaleOfSecurity,"-20,433,000","3,213,000","4,477,000","5,308,000","5,998,000","-32,023,000","-5,900,000","-12,223,000","-479,000",,,,,
	EarningsFromEquityInterest,"7,514,000","1,114,000",,,,,,,,,,,,
	SpecialIncomeCharges,,"133,329,000","-64,751,000","830,000","-17,810,000","-128,639,000","-763,037,000","8,521,000","-3,068,000","-5,815,000","19,261,000","-18,284,000","-6,445,716","-2,312,486"
		RestructuringAndMergernAcquisition,,,,,,,"0","5,859,000","1,556,000",,,,,
