name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,12/31/2014,12/31/2013
TotalRevenue,"2,123,343,000","554,937,000","527,002,000","521,093,000","520,311,000","477,050,000","436,739,000","435,882,000","434,279,000","402,948,000","389,501,000","343,923,000","344,047,000","307,296,000","278,294,000","271,311,000","265,853,000","235,301,000","222,809,000","161,589,000","116,394,000"
	OperatingRevenue,"2,123,343,000","554,937,000","527,002,000","521,093,000","520,311,000","477,050,000","436,739,000","435,882,000","434,279,000","402,948,000","389,501,000","343,923,000","344,047,000","307,296,000","278,294,000","271,311,000","265,853,000","235,301,000","222,809,000","161,589,000","116,394,000"
CostOfRevenue,"1,225,671,000","318,905,000","296,973,000","307,305,000","302,488,000","275,676,000","255,721,000","257,656,000","256,641,000","237,562,000","227,127,000","201,432,000","201,819,000","181,825,000","163,548,000","160,344,000","156,201,000","141,404,000","132,439,000","99,806,000","72,369,000"
GrossProfit,"897,672,000","236,032,000","230,029,000","213,788,000","217,823,000","201,374,000","181,018,000","178,226,000","177,638,000","165,386,000","162,374,000","142,491,000","142,228,000","125,471,000","114,746,000","110,967,000","109,652,000","93,897,000","90,370,000","61,783,000","44,025,000"
OperatingExpense,"731,579,000","189,358,000","187,905,000","182,388,000","171,928,000","161,612,000","157,705,000","143,989,000","140,393,000","128,880,000","129,973,000","113,895,000","108,126,000","102,799,000","94,776,000","89,898,000","85,024,000","79,935,000","71,399,000","52,708,000","38,717,000"
	SellingGeneralAndAdministration,"705,578,000","183,924,000","181,891,000","174,204,000","165,559,000","157,585,000","149,452,000","135,659,000","133,805,000","125,906,000","127,313,000","107,195,000","105,168,000","98,632,000","92,033,000","84,852,000","82,397,000","76,619,000","70,031,000","50,905,000","37,015,000"
		GeneralAndAdministrativeExpense,"133,042,000","30,858,000","34,022,000","37,246,000","30,916,000","30,202,000","30,332,000","26,477,000","25,179,000","23,339,000","25,090,000","22,172,000","19,518,000","17,881,000","17,212,000","16,633,000","15,610,000","14,570,000","12,940,000","10,078,000","8,659,000"
			OtherGandA,"133,042,000","30,858,000","34,022,000","37,246,000","30,916,000","30,202,000","30,332,000","26,477,000","25,179,000","23,339,000","25,090,000","22,172,000","19,518,000","17,881,000","17,212,000","16,633,000","15,610,000","14,570,000","12,940,000","10,078,000","8,659,000"
		SellingAndMarketingExpense,"572,536,000","153,066,000","147,869,000","136,958,000","134,643,000","127,383,000","119,120,000","109,182,000","108,626,000","102,567,000","102,223,000","85,023,000","85,650,000","80,751,000","74,821,000","68,219,000","66,787,000","62,049,000","57,091,000","40,827,000","28,356,000"
	OtherOperatingExpenses,"26,001,000","5,434,000","6,014,000","8,184,000","6,369,000","4,027,000","8,253,000","8,330,000","6,588,000","2,974,000","2,660,000","6,700,000","2,958,000","4,167,000","2,743,000","5,046,000","2,627,000","3,316,000","1,368,000","1,803,000","1,702,000"
OperatingIncome,"166,093,000","46,674,000","42,124,000","31,400,000","45,895,000","39,762,000","23,313,000","34,237,000","37,245,000","36,506,000","32,401,000","28,596,000","34,102,000","22,672,000","19,970,000","21,069,000","24,628,000","13,962,000","18,971,000","9,075,000","5,308,000"
NetNonOperatingInterestIncomeExpense,"-7,687,000","-1,807,000","-1,679,000","-1,978,000","-2,223,000","-2,921,000","-2,817,000","-2,171,000","-2,145,000","-1,784,000","-2,400,000","-2,610,000","-3,353,000","-5,414,000","-5,441,000","-2,401,000","-2,475,000","-2,486,000","-2,520,000","-2,174,000","-2,186,000"
	InterestExpenseNonOperating,"7,687,000","1,807,000","1,679,000","1,978,000","2,223,000","2,921,000","2,817,000","2,171,000","2,145,000","1,784,000","2,400,000","2,610,000","3,353,000","5,414,000","5,441,000","2,401,000","2,475,000","2,486,000","2,520,000","2,174,000","2,186,000"
OtherIncomeExpense,,,,,,,,,,,"0",,"-5,442,000",,"-1,660,000","3,500,000","-14,153,000",,,"0","0"
	SpecialIncomeCharges,,,,,,,"0","0","0",,"0","0","-5,442,000",,"-1,660,000","3,500,000","-14,153,000",,"-296,000","0","0"
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,,,,"0",
		OtherSpecialCharges,,,,,,,,,,,"0",,"5,442,000",,"1,660,000","-3,500,000","14,153,000",,,,"0"
PretaxIncome,"158,406,000","44,867,000","40,445,000","29,422,000","43,672,000","36,841,000","20,496,000","32,066,000","35,100,000","34,722,000","30,001,000","25,986,000","25,307,000","17,258,000","12,869,000","22,168,000","8,000,000","11,476,000","16,155,000","6,901,000","3,122,000"
TaxProvision,"1,432,000","7,804,000","5,104,000","-11,552,000","76,000","6,121,000","2,594,000","5,498,000","-4,746,000","2,851,000","-17,975,000","2,731,000","4,878,000","6,130,000","-3,838,000","7,949,000","2,988,000","4,375,000","6,188,000","2,995,000","1,078,000"
NetIncomeCommonStockholders,"156,974,000","37,063,000","35,341,000","40,974,000","43,596,000","30,720,000","17,902,000","26,568,000","39,846,000","31,871,000","47,976,000","23,255,000","20,429,000","11,128,000","17,551,000","14,219,000","5,012,000","7,101,000","9,967,000","3,906,000","2,044,000"
	NetIncome,"156,974,000","37,063,000","35,341,000","40,974,000","43,596,000","30,720,000","17,902,000","26,568,000","39,846,000","31,871,000","47,976,000","23,255,000","20,429,000","11,128,000","16,707,000","14,219,000","5,012,000","7,101,000","9,967,000","3,906,000","2,044,000"
		NetIncomeIncludingNoncontrollingInterests,"156,974,000","37,063,000","35,341,000","40,974,000","43,596,000","30,720,000","17,902,000","26,568,000","39,846,000","31,871,000","47,976,000","23,255,000","20,429,000","11,128,000","16,707,000","14,219,000","5,012,000","7,101,000","9,967,000","3,906,000","2,044,000"
			NetIncomeContinuousOperations,"156,974,000","37,063,000","35,341,000","40,974,000","43,596,000","30,720,000","17,902,000","26,568,000","39,846,000","31,871,000","47,976,000","23,255,000","20,429,000","11,128,000","16,707,000","14,219,000","5,012,000","7,101,000","9,967,000","3,906,000","2,044,000"
DilutedNIAvailtoComStockholders,"156,974,000","37,063,000","35,341,000","40,974,000","43,596,000","30,720,000","17,902,000","26,568,000","39,846,000","31,871,000","47,976,000","23,255,000","20,429,000","11,128,000","17,551,000","14,219,000","5,012,000","7,101,000","9,967,000","3,906,000","2,044,000"
BasicEPS,,"0.36","0.35","0.41","0.44","0.31","0.18","0.27","0.41","0.33","0.51","0.25","0.22","0.12",,"0.154","0.054","0.077",,,
DilutedEPS,,"0.35","0.34","0.39","0.42","0.29","0.17","0.25","0.38","0.3","0.46","0.22","0.2","0.12",,"0.146","0.052","0.073",,,
BasicAverageShares,,"101,629,000","101,177,000","100,137,000","98,642,000","97,785,000","97,428,000","97,254,000","96,684,000","95,714,000","94,961,000","94,439,204","90,861,205","92,358,577",,"92,255,657","92,255,657","92,255,657",,,
DilutedAverageShares,,"105,510,000","105,383,000","105,180,000","104,840,000","104,321,000","103,790,000","104,565,000","104,937,000","104,665,000","104,238,000","103,899,602","99,918,949","92,358,577",,"97,254,487","97,254,487","97,254,487",,,
TotalOperatingIncomeAsReported,"166,093,000","46,674,000","42,124,000","31,400,000","45,895,000","39,762,000","23,313,000","34,237,000","37,245,000","36,506,000","32,401,000","28,596,000","34,102,000","22,672,000","19,970,000","24,569,000","10,628,000","13,962,000","18,675,000","9,075,000","5,308,000"
TotalExpenses,"1,957,250,000","508,263,000","484,878,000","489,693,000","474,416,000","437,288,000","413,426,000","401,645,000","397,034,000","366,442,000","357,100,000","315,327,000","309,945,000","284,624,000","258,324,000","250,242,000","241,225,000","221,339,000","203,838,000","152,514,000","111,086,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"156,974,000","37,063,000","35,341,000","40,974,000","43,596,000","30,720,000","17,902,000","26,568,000","39,846,000","31,871,000","47,976,000","23,255,000","20,429,000","11,128,000","16,707,000","14,219,000","5,012,000","7,101,000","9,967,000","3,906,000","2,044,000"
NormalizedIncome,"156,974,000","37,063,000","35,341,000","40,974,000","43,596,000","30,720,000","17,902,000","26,568,000","39,846,000","31,871,000","47,976,000","23,255,000","24,820,694","11,128,000","17,703,000","11,975,500","13,871,778","7,101,000","10,149,620.365","3,906,000","2,044,000"
InterestExpense,"7,687,000","1,807,000","1,679,000","1,978,000","2,223,000","2,921,000","2,817,000","2,171,000","2,145,000","1,784,000","2,400,000","2,610,000","3,353,000","5,414,000","5,441,000","2,401,000","2,475,000","2,486,000","2,520,000","2,174,000","2,186,000"
NetInterestIncome,"-7,687,000","-1,807,000","-1,679,000","-1,978,000","-2,223,000","-2,921,000","-2,817,000","-2,171,000","-2,145,000","-1,784,000","-2,400,000","-2,610,000","-3,353,000","-5,414,000","-5,441,000","-2,401,000","-2,475,000","-2,486,000","-2,520,000","-2,174,000","-2,186,000"
EBIT,"166,093,000","46,674,000","42,124,000","31,400,000","45,895,000","39,762,000","23,313,000","34,237,000","37,245,000","36,506,000","32,401,000","28,596,000","28,660,000","22,672,000","18,310,000","24,569,000","10,475,000","13,962,000","18,675,000","9,075,000","5,308,000"
EBITDA,"244,998,000"
ReconciledCostOfRevenue,"1,225,671,000","318,905,000","296,973,000","307,305,000","302,488,000","275,676,000","255,721,000","257,656,000","256,641,000","237,562,000","227,127,000","201,432,000","201,819,000","181,825,000","163,548,000","160,344,000","156,201,000","141,404,000","132,439,000","99,806,000","72,369,000"
ReconciledDepreciation,"78,905,000","22,088,000","20,704,000","18,387,000","17,726,000","17,184,000","14,949,000","13,411,000","12,098,000","11,534,000","10,425,000","9,579,000","9,125,000","8,933,000","8,251,000","6,657,000","7,571,000","6,125,000","5,330,000","4,085,000","1,816,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"156,974,000","37,063,000","35,341,000","40,974,000","43,596,000","30,720,000","17,902,000","26,568,000","39,846,000","31,871,000","47,976,000","23,255,000","20,429,000","11,128,000","16,707,000","14,219,000","5,012,000","7,101,000","9,967,000","3,906,000","2,044,000"
TotalUnusualItemsExcludingGoodwill,,,,,,,"0","0","0",,"0","0","-5,442,000",,"-1,660,000","3,500,000","-14,153,000",,"-296,000","0","0"
TotalUnusualItems,,,,,,,"0","0","0",,"0","0","-5,442,000",,"-1,660,000","3,500,000","-14,153,000",,"-296,000","0","0"
NormalizedEBITDA,"244,998,000","68,762,000","62,828,000","49,787,000","63,621,000","56,946,000","38,262,000","47,648,000","49,343,000","48,040,000","42,826,000","38,175,000","43,227,000","31,605,000","28,221,000","27,726,000","32,199,000","20,087,000","24,301,000","13,160,000","7,124,000"
TaxRateForCalcs,"0.009","0.174","0.126","0.27","0.002","0.166","0.127","0.171","0.27","0.082","0.4","0.105","0.193","0.355","0.4","0.359","0.374","0.381","0.383","0.35","0.345"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","0","0","0","0","0","-1,050,306","0","-664,000","1,256,500","-5,293,222","0","-113,379.635","0","0"
