name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
TotalRevenue,"1,011,452,000","1,011,452,000","1,043,822,000","1,008,381,000","971,797,000","790,881,000","362,693,000","210,907,000","107,183,000"
	OperatingRevenue,"1,011,452,000","1,011,452,000","1,043,822,000","1,008,381,000","971,797,000","790,881,000","362,693,000","210,907,000","107,183,000"
CostOfRevenue,"116,018,000","116,018,000","156,505,000","146,856,000","160,211,000","47,978,000","31,583,000","21,424,000","5,165,000"
	OtherCostofRevenue,"116,018,000","116,018,000","156,505,000","146,856,000","160,211,000","47,978,000","31,583,000","21,424,000","5,165,000"
GrossProfit,"895,434,000","895,434,000","887,317,000","861,525,000","811,586,000","742,903,000","331,110,000","189,483,000","102,018,000"
OperatingExpense,"394,984,000","394,984,000","438,362,000","403,558,000","409,149,000","398,385,000","157,767,000","77,897,000","34,285,000"
	SellingGeneralAndAdministration,"99,646,000","99,646,000","84,302,000","85,962,000","73,950,000","114,226,000","29,695,000","26,875,000","11,826,000"
		GeneralAndAdministrativeExpense,"99,646,000","99,646,000","84,302,000","85,962,000","73,950,000","114,226,000","29,695,000","26,875,000","11,826,000"
			SalariesAndWages,"32,246,000","32,246,000","15,130,000","18,854,000","14,736,000","5,848,000","1,664,000","2,446,000","1,789,000"
			RentAndLandingFees,"1,850,000","1,850,000","1,716,000","6,641,000","5,309,000","3,865,000","1,827,000","1,850,000","405,000"
			InsuranceAndClaims,"23,971,000","23,971,000","24,227,000","24,289,000","23,390,000",,,,
			OtherGandA,"41,579,000","41,579,000","43,229,000","36,178,000","30,515,000","104,513,000","26,204,000","22,579,000","9,632,000"
	DepreciationAmortizationDepletionIncomeStatement,"310,755,000","310,755,000","362,697,000","310,960,000","332,925,000","261,301,000","125,480,000","46,943,000","20,234,000"
		DepreciationAndAmortizationInIncomeStatement,"310,755,000","310,755,000","362,697,000","310,960,000","332,925,000","261,301,000","125,480,000","46,943,000","20,234,000"
	OtherTaxes,"34,844,000","34,844,000","37,439,000","52,409,000","44,440,000","32,352,000","14,226,000","6,605,000","437,000"
	OtherOperatingExpenses,"-50,261,000","-50,261,000","-46,076,000","-45,773,000","-42,166,000","-9,494,000","-11,634,000","-2,526,000","1,788,000"
OperatingIncome,"500,450,000","500,450,000","448,955,000","457,967,000","402,437,000","344,518,000","173,343,000","111,586,000","67,733,000"
NetNonOperatingInterestIncomeExpense,"-346,160,000","-346,160,000","-328,732,000","-382,846,000","-330,995,000","-286,967,000","-178,821,000","-96,810,000","-57,613,000"
	InterestIncomeNonOperating,"3,665,000","3,665,000","36,296,000","325,000","286,000","933,000","4,075,000","640,000","718,000"
	InterestExpenseNonOperating,"348,672,000","348,672,000","356,793,000","391,222,000","333,914,000","279,782,000","179,557,000","95,757,000","58,158,000"
	TotalOtherFinanceCost,"1,153,000","1,153,000","8,235,000","-8,051,000","-2,633,000","8,118,000","3,339,000","1,693,000","173,000"
OtherIncomeExpense,"-48,731,000","-48,731,000","-22,295,000","-60,171,000","-68,109,000","-231,947,000","-19,374,000","-28,396,000","-5,958,000"
	GainOnSaleOfSecurity,"-56,188,000","-56,188,000","-66,481,000","-65,522,000","-52,679,000","-29,356,000","-18,605,000","-28,409,000","-5,554,000"
	EarningsFromEquityInterest,"7,457,000","7,457,000","5,231,000","5,351,000","6,646,000","7,844,000","-769,000","13,000","-404,000"
	SpecialIncomeCharges,,,"38,955,000","0","-22,076,000","-210,435,000",,,
		WriteOff,,,"0","0","22,076,000","210,435,000",,,
		OtherSpecialCharges,,,"-38,955,000",,,,,,
PretaxIncome,"105,558,000","105,558,000","97,928,000","14,950,000","3,333,000","-174,396,000","-24,852,000","-13,620,000","4,162,000"
TaxProvision,"30,950,000","30,950,000","42,659,000","119,837,000","1,666,000","23,790,000","4,413,000","-11,762,000","4,021,000"
NetIncomeCommonStockholders,"62,135,000","62,135,000","41,596,000","-111,804,000","-4,855,000","-209,005,000","-3,379,000","52,600,000","1,336,000"
	NetIncome,"62,135,000","62,135,000","41,596,000","-111,804,000","-4,855,000","-209,005,000","-31,612,000","-3,417,000","1,336,000"
		NetIncomeIncludingNoncontrollingInterests,"74,608,000","74,608,000","55,269,000","-104,887,000","1,667,000","-198,186,000","-29,265,000","-1,858,000","141,000"
			NetIncomeContinuousOperations,"74,608,000","74,608,000","55,269,000","-104,887,000","1,667,000","-198,186,000","-29,265,000","-1,858,000","141,000"
		MinorityInterests,"-12,473,000","-12,473,000","-13,673,000","-6,917,000","-6,522,000","-10,819,000","-2,347,000","-1,559,000","1,195,000"
	OtherunderPreferredStockDividend,,,,,"0",,"-28,233,000","-56,017,000",
DilutedNIAvailtoComStockholders,"62,135,000","62,135,000","41,596,000","-111,804,000","-4,855,000","-209,005,000","-3,379,000","52,600,000","1,336,000"
BasicEPS,,,"0.42","-1.12","-0.05","-2.25","-0.04","0.67","0.017"
DilutedEPS,,,"0.42","-1.12","-0.05","-2.25","-0.04","0.67","0.017"
BasicAverageShares,,,"100,217,000","100,217,000","100,217,000","92,795,000","80,000,000","79,000,000","79,000,000"
DilutedAverageShares,,,"100,217,000","100,217,000","100,217,000","92,795,000","80,000,000","79,000,000","80,000,000"
TotalOperatingIncomeAsReported,"500,449,000","500,449,000","487,910,000","457,967,000","402,437,000","344,518,000","173,343,000","111,586,000","67,733,000"
RentExpenseSupplemental,"1,850,000","1,850,000","1,716,000","6,641,000","5,309,000","3,865,000","1,827,000","1,850,000","405,000"
TotalExpenses,"511,002,000","511,002,000","594,867,000","550,414,000","569,360,000","446,363,000","189,350,000","99,321,000","39,450,000"
InterestIncome,"3,665,000","3,665,000","36,296,000","325,000","286,000","933,000","4,075,000","640,000","718,000"
InterestExpense,"348,672,000","348,672,000","356,793,000","391,222,000","333,914,000","279,782,000","179,557,000","95,757,000","58,158,000"
NetInterestIncome,"-346,160,000","-346,160,000","-328,732,000","-382,846,000","-330,995,000","-286,967,000","-178,821,000","-96,810,000","-57,613,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"62,135,000","62,135,000","41,596,000","-111,804,000","-4,855,000","-209,005,000","-31,612,000","-3,417,000","1,336,000"
NormalizedIncome,"101,848,468.463","101,848,468.463","63,892,060","-58,731,180","54,949,000","-17,172,200","-17,286,150","18,457,930","5,557,040"
EBIT,"454,230,000","454,230,000","454,721,000","406,172,000","337,247,000","105,386,000","154,705,000","82,137,000","62,320,000"
EBITDA,"764,985,000"
ReconciledCostOfRevenue,"116,018,000","116,018,000","156,505,000","146,856,000","160,211,000","47,978,000","31,583,000","21,424,000","5,165,000"
