name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,06/30/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"273,864,000,000","295,194,000,000","286,263,000,000","293,162,000,000","293,281,000,000","282,176,000,000","282,942,000,000","275,626,000,000","275,287,000,000","276,515,000,000","271,489,000,000","263,115,000,000","264,959,000,000","263,316,000,000","262,216,000,000","263,136,000,000","258,848,000,000","261,832,000,000","273,299,000,000","285,431,000,000","282,411,000,000","284,305,000,000","309,692,000,000","315,455,000,000","310,274,000,000","305,690,000,000","311,389,000,000","307,252,000,000","310,810,000,000","300,193,000,000","302,258,000,000","292,558,000,000","303,544,000,000","293,068,000,000","290,731,000,000","290,995,000,000","286,592,000,000","272,262,000,000","257,113,000,000","248,615,000,000","240,637,000,000","235,968,000,000","235,145,000,000","233,359,000,000","223,203,000,000","228,238,000,000","256,122,000,000","283,813,000,000","252,668,000,000","236,076,000,000","225,611,000,000","221,894,000,000","216,856,000,000","217,601,000,000","213,526,000,000","217,601,000,000","207,094,000,000","206,914,000,000","214,326,000,000","200,722,000,000","191,569,000,000","191,108,000,000","180,098,000,000","96,222,826,000","194,630,000,000","177,572,000,000","170,102,000,000","98,751,667,000","103,101,158,000","159,125,000,000","99,235,024,000","103,482,252,000","106,228,932,000","141,158,000,000","96,597,944,000","102,440,981,000","100,510,655,000","143,938,000,000","97,354,074,000","87,142,478,000","56,482,165,000","89,561,000,000","88,551,000,000","86,652,000,000","84,703,000,000","84,500,000,000","83,376,072,000","32,572,000,000","32,352,000,000","50,483,400,000","31,088,000,000","31,017,000,000","34,790,000,000","31,792,000,000","30,697,000,000","31,615,000,000","29,323,000,000","26,874,000,000","28,654,000,000","30,535,000,000"
	CurrentAssets,"64,304,000,000","82,059,000,000","75,907,000,000","71,543,000,000","72,697,000,000","71,310,000,000","85,652,000,000","76,691,000,000","72,196,000,000","74,968,000,000","70,477,000,000","64,718,000,000","67,006,000,000","67,813,000,000","68,375,000,000","68,185,000,000","66,771,000,000","70,602,000,000","81,542,000,000","90,947,000,000","87,430,000,000","87,262,000,000","102,517,000,000","104,319,000,000","103,588,000,000","96,840,000,000","105,684,000,000","104,796,000,000","108,503,000,000","110,981,000,000","99,786,000,000","94,647,000,000","101,934,000,000","97,584,000,000","100,387,000,000","109,031,000,000","107,334,000,000","96,853,000,000","84,260,000,000","77,249,000,000","69,697,000,000","67,653,000,000","66,679,000,000","67,074,000,000","61,057,000,000","66,384,000,000","85,272,000,000","107,853,000,000","88,516,000,000","78,916,000,000","74,847,000,000","74,204,000,000","72,912,000,000","74,261,000,000","77,188,000,000","75,339,000,000","75,325,000,000","75,290,000,000","85,101,000,000","65,920,000,000","62,497,000,000","63,878,000,000","56,611,000,000","27,947,117,000","61,443,000,000","54,465,000,000","50,606,000,000","29,750,940,000","31,828,304,000","45,066,000,000","27,335,622,000","28,689,234,000","28,958,568,000","36,108,000,000","24,568,279,000","29,423,349,000","28,724,062,000","40,119,000,000","27,134,934,000","22,259,065,000","15,048,580,000","23,477,000,000","22,027,000,000","19,580,000,000","17,704,000,000","17,226,000,000","24,583,984,000","10,752,000,000","9,743,000,000","14,927,800,000","8,897,000,000","8,311,000,000","10,537,000,000","9,948,000,000","10,356,000,000","9,161,000,000","7,086,000,000","8,398,000,000","10,494,000,000","11,985,000,000"
		CashCashEquivalentsAndShortTermInvestments,"18,227,000,000","22,641,000,000","19,806,000,000","20,809,000,000","21,390,000,000","22,690,000,000","26,292,000,000","22,291,000,000","22,356,000,000","25,711,000,000","25,864,000,000","23,347,000,000","23,833,000,000","23,528,000,000","25,566,000,000","23,624,000,000","23,197,000,000","26,608,000,000","31,946,000,000","32,883,000,000","32,743,000,000","30,092,000,000","31,025,000,000","27,882,000,000","27,786,000,000","21,361,000,000","30,035,000,000","29,025,000,000","28,275,000,000","19,867,000,000","16,359,000,000","15,185,000,000","14,395,000,000","14,355,000,000","18,284,000,000","20,162,000,000","20,165,000,000","20,088,000,000","19,190,000,000","13,443,000,000","12,196,000,000","13,306,000,000","15,419,000,000","15,719,000,000","16,113,000,000","8,197,000,000","6,142,000,000","3,593,000,000","4,820,000,000","3,562,000,000","2,410,000,000","2,643,000,000","1,956,000,000","2,590,000,000","3,199,000,000","2,590,000,000","2,939,000,000","2,960,000,000","2,182,000,000","1,360,000,000","1,521,000,000","1,484,000,000","1,821,000,000","942,082,000","1,359,000,000","2,132,000,000","1,495,000,000","1,481,033,000","872,398,000","1,735,000,000","820,298,000","1,029,325,000","1,169,242,000","1,808,000,000","1,230,183,000","1,184,585,000","1,510,164,000","1,831,000,000","1,238,418,000","3,916,375,000","289,601,000","1,551,000,000","883,000,000","771,000,000","575,000,000","405,000,000","420,976,000","153,000,000","395,000,000","551,700,000","188,000,000","210,000,000","250,000,000","717,000,000","621,000,000","419,000,000","340,000,000","1,283,000,000","2,529,000,000","2,205,000,000"
			CashAndCashEquivalents,"18,139,000,000","22,472,000,000","19,692,000,000","20,674,000,000","21,256,000,000","22,468,000,000","26,192,000,000","22,185,000,000","22,242,000,000","25,586,000,000","25,780,000,000","23,270,000,000","23,794,000,000","23,484,000,000","25,520,000,000","23,517,000,000","23,049,000,000","26,389,000,000","31,702,000,000","32,589,000,000","32,434,000,000","29,763,000,000","30,729,000,000","27,506,000,000","27,358,000,000","20,894,000,000","29,499,000,000","28,313,000,000","27,679,000,000","19,548,000,000","16,041,000,000","14,881,000,000","14,092,000,000","14,067,000,000","17,997,000,000","18,749,000,000","18,726,000,000","18,556,000,000","12,803,000,000","7,310,000,000","6,841,000,000","8,339,000,000","9,883,000,000","8,959,000,000","8,360,000,000","8,197,000,000","6,142,000,000","3,593,000,000","4,820,000,000","3,562,000,000","2,410,000,000","2,643,000,000","1,956,000,000","2,590,000,000","3,199,000,000","2,590,000,000","2,939,000,000","2,960,000,000","2,182,000,000","1,360,000,000","1,521,000,000","1,156,000,000","1,576,000,000","846,933,000","1,359,000,000","1,947,000,000","1,091,000,000","1,281,663,000","728,158,000","1,520,000,000","639,069,000","842,354,000","968,399,000","1,358,000,000","923,998,000","784,272,000","835,619,000","1,170,000,000","791,343,000","2,188,388,000","289,601,000","1,331,000,000","536,000,000","467,000,000","270,000,000","405,000,000","286,568,000","95,000,000","294,000,000","551,700,000","137,000,000","126,000,000","179,000,000","215,000,000","469,000,000","268,000,000","183,000,000","682,000,000","1,182,000,000","919,000,000"
				CashFinancial,,"6,462,000,000",,,,,,,,,,,,,,,,,,,,"5,112,000,000",,,,"6,907,000,000",,,,"5,800,000,000",,,,,,,,,,,,,,,,,"6,142,000,000","3,593,000,000","4,820,000,000",,"2,410,000,000","2,643,000,000","1,956,000,000",,"3,199,000,000","2,590,000,000","2,939,000,000",,"2,182,000,000","1,360,000,000","1,521,000,000",,"1,576,000,000","846,933,000","1,359,000,000",,"1,091,000,000","1,281,663,000","728,158,000",,"639,069,000","842,354,000","968,399,000",,"923,998,000","784,272,000","835,619,000",,"791,343,000","2,188,388,000","289,601,000",,,,,,,,,,,,,,,,,,,
				CashEquivalents,,"16,010,000,000",,,,,,,,,,,,,,,,,,,,"22,387,000,000",,,,"13,987,000,000",,,,"13,748,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"88,000,000","169,000,000","114,000,000","135,000,000","134,000,000","222,000,000","100,000,000","106,000,000","114,000,000","125,000,000","84,000,000","77,000,000","39,000,000","44,000,000","46,000,000","107,000,000","148,000,000","219,000,000","244,000,000","294,000,000","309,000,000","329,000,000","296,000,000","376,000,000","428,000,000","467,000,000","536,000,000","712,000,000","596,000,000","319,000,000","318,000,000","304,000,000","303,000,000","288,000,000","287,000,000","1,413,000,000","1,439,000,000","1,532,000,000","6,387,000,000","6,133,000,000","5,355,000,000","4,967,000,000","5,536,000,000","6,760,000,000","7,753,000,000",,,,,,,,,,,,,,,,,"328,000,000","245,000,000","95,149,000",,"185,000,000","404,000,000","199,370,000","144,240,000","215,000,000","181,229,000","186,971,000","200,843,000","450,000,000","306,185,000","400,313,000","674,545,000","661,000,000","447,075,000","1,727,987,000",,"220,000,000","347,000,000","304,000,000","305,000,000",,"134,408,000","58,000,000","101,000,000",,"51,000,000","84,000,000","71,000,000","502,000,000","152,000,000","151,000,000","157,000,000","601,000,000","1,347,000,000","1,286,000,000"
		Inventory,"11,641,000,000","20,880,000,000","19,240,000,000","20,042,000,000","21,426,000,000","17,988,000,000","21,894,000,000","21,004,000,000","20,802,000,000","19,011,000,000","18,078,000,000","16,449,000,000","17,236,000,000","17,655,000,000","15,897,000,000","16,398,000,000","14,277,000,000","14,142,000,000","16,933,000,000","20,034,000,000","18,925,000,000","18,373,000,000","26,581,000,000","29,442,000,000","28,843,000,000","29,231,000,000","29,389,000,000","28,314,000,000","28,628,000,000","27,867,000,000","28,300,000,000","26,434,000,000","30,154,000,000","25,661,000,000","26,601,000,000","27,477,000,000","28,657,000,000","26,218,000,000","21,957,000,000","22,106,000,000","23,221,000,000","22,605,000,000","18,988,000,000","18,650,000,000","15,292,000,000","16,821,000,000","27,277,000,000","35,182,000,000","26,855,000,000","26,554,000,000","21,784,000,000","20,645,000,000","19,812,000,000","18,915,000,000","19,362,000,000","18,915,000,000","18,823,000,000","19,760,000,000","19,507,000,000","18,066,000,000","16,562,000,000","15,698,000,000","15,087,000,000","6,898,269,000","15,645,000,000","11,617,000,000","10,868,000,000","5,913,829,000","6,246,600,000","10,181,000,000","6,306,117,000","6,440,989,000","6,108,146,000","7,631,000,000","5,192,216,000","6,446,246,000","6,090,596,000","9,234,000,000","6,245,519,000","4,379,417,000","3,335,423,000","5,124,000,000","4,827,000,000","4,232,000,000","3,616,000,000","3,642,000,000","6,545,416,000","3,009,000,000","2,814,000,000","4,410,400,000","2,758,000,000","2,668,000,000","3,379,000,000","2,993,000,000","3,476,000,000","3,381,000,000","2,503,000,000","2,716,000,000","2,899,000,000","4,163,000,000"
			RawMaterials,,"7,791,000,000",,,,,,,,,,,,,,,,,,,,"17,925,000,000",,,,"13,160,000,000",,,,"26,867,000,000",,,,"9,937,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"636,536,000","266,000,000","312,000,000",,"295,000,000","302,000,000","353,000,000","337,000,000",,,,,,
			FinishedGoods,,"13,089,000,000",,,,,,,,,,,,,,,,,,,,"9,423,000,000",,,,"16,071,000,000",,,,"16,149,000,000",,,,"15,724,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,908,880,000","2,743,000,000","2,502,000,000",,"2,463,000,000","2,366,000,000","3,026,000,000","2,656,000,000","3,476,000,000","3,381,000,000","2,503,000,000","2,716,000,000","2,899,000,000","4,163,000,000"
