name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011
TotalAssets,"21,709,155,000","21,609,701,000","20,484,348,000","19,178,935,000","18,481,808,000","17,567,303,000","17,255,447,000","15,944,846,000","15,614,164,000","14,901,647,000","14,861,397,000","14,477,040,000","13,975,616,000","13,680,907,000","13,340,170,000","12,783,410,000","12,355,098,000","11,911,694,000","11,666,206,000","11,145,238,000","10,774,784,000","10,545,563,000","10,052,116,000","9,553,305,000","9,332,604,000","8,808,301,000","8,439,671,000","7,955,675,000","7,353,624,000","7,165,478,000","6,808,337,000","6,286,628,000","5,164,593,000","4,247,017,000","3,753,499,000","2,788,658,000"
	CurrentAssets,"1,881,676,000","1,892,731,000","1,958,823,000","2,156,803,000","2,109,387,000","1,802,231,000","1,814,937,000","1,820,181,000","1,854,980,000","1,777,769,000","1,680,159,000","1,487,451,000","1,565,478,000","1,455,548,000","1,305,516,000","1,242,504,000","1,227,710,000","1,203,797,000","1,187,934,000","1,357,793,000","1,427,422,000","1,353,633,000","1,421,165,000","1,436,249,000","1,345,196,000","1,188,354,000","1,095,702,000","994,095,000","794,807,000","551,465,000","501,596,000","915,643,000","377,962,000","354,466,000","513,900,000","292,377,000"
		CashCashEquivalentsAndShortTermInvestments,"317,488,000","291,772,000","264,058,000","285,715,000","300,127,000","228,502,000","259,530,000","252,491,000","292,204,000","226,019,000","239,710,000","155,758,000","274,802,000","226,822,000","172,734,000","162,814,000","156,675,000","119,722,000","162,989,000","210,156,000","282,819,000","210,671,000","244,447,000","256,078,000","270,173,000","221,680,000","234,299,000","217,623,000","230,089,000","439,681,000","388,587,000","803,266,000","281,805,000","279,647,000","445,038,000","230,313,000"
			CashAndCashEquivalents,"317,488,000","291,772,000","264,058,000","285,715,000","300,127,000","228,502,000","259,530,000","252,491,000","292,204,000","226,019,000","239,710,000","155,758,000","274,802,000","226,822,000","172,734,000","162,814,000","156,675,000","119,722,000","162,989,000","210,156,000","282,819,000","210,671,000","244,447,000","256,078,000","270,173,000","221,680,000","234,299,000","217,623,000","230,089,000","439,681,000","388,587,000","803,266,000","281,805,000","279,647,000","445,038,000","230,313,000"
		PrepaidAssets,"1,564,188,000","1,600,959,000","1,694,765,000","1,871,088,000","1,809,260,000","1,573,729,000","1,555,407,000","1,567,690,000","1,562,776,000","1,551,750,000","1,440,449,000","1,331,693,000","1,290,676,000","1,228,726,000","1,132,782,000","1,079,690,000","1,071,035,000","1,084,075,000","1,024,945,000","1,147,637,000","1,144,603,000","1,142,962,000","1,176,718,000","1,180,171,000","1,075,023,000","966,674,000","861,403,000","776,472,000","564,718,000",,,,,,,
		RestrictedCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111,784,000","113,009,000","112,377,000","96,157,000","74,819,000","68,862,000","62,064,000"
	TotalNonCurrentAssets,"19,827,479,000","19,716,970,000","18,525,525,000","17,022,132,000","16,372,421,000","15,765,072,000","15,440,510,000","14,124,665,000","13,759,184,000","13,123,878,000","13,181,238,000","12,989,589,000","12,410,138,000","12,225,359,000","12,034,654,000","11,540,906,000","11,127,388,000","10,707,897,000","10,478,272,000","9,787,445,000","9,347,362,000","9,191,930,000","8,630,951,000","8,117,056,000","7,987,408,000","7,619,947,000","7,343,969,000","6,961,580,000","6,558,817,000","6,614,013,000","6,306,741,000","5,370,985,000","4,786,631,000","3,892,551,000","3,239,599,000","2,496,281,000"
		NetPPE,"18,704,337,000","18,911,267,000","17,752,201,000","16,285,378,000","15,707,110,000","15,148,422,000","14,864,244,000","13,588,944,000","13,280,250,000","12,672,937,000","12,742,665,000","12,623,050,000","12,041,925,000","11,875,116,000","11,697,924,000","11,239,621,000","10,813,475,000","10,419,202,000","10,069,394,000","9,474,116,000","8,953,804,000","8,898,611,000","8,329,341,000","7,746,601,000","7,613,135,000","7,240,088,000","6,983,312,000","6,571,077,000","6,251,863,000","5,872,388,000","5,653,252,000","4,757,380,000","4,237,416,000","3,340,615,000","2,814,926,000","2,141,738,000"
			GrossPPE,"21,286,154,000","21,601,147,000","20,306,921,000","18,668,410,000","17,985,324,000","17,309,576,000","16,962,768,000","15,544,868,000","15,100,040,000","14,397,998,000","14,386,474,000","14,280,318,000","13,597,530,000","13,365,123,000","13,096,222,000","12,550,836,000","12,026,798,000","11,533,922,000","11,082,068,000","10,443,320,000","9,832,421,000","9,727,770,000","9,083,568,000","8,439,676,000","8,234,315,000","7,791,520,000","7,462,993,000","6,981,975,000","6,598,898,000","6,158,762,000","5,881,694,000","4,933,285,000","4,368,985,000","3,433,308,000","2,876,962,000","2,179,130,000"
				MachineryFurnitureEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,158,762,000","5,881,694,000",,"4,368,985,000","3,433,308,000","2,876,962,000","2,179,130,000"
				OtherProperties,"21,286,154,000","21,601,147,000","20,306,921,000","18,668,410,000","17,985,324,000","17,309,576,000","16,962,768,000","15,544,868,000","15,100,040,000","14,397,998,000","14,386,474,000","14,280,318,000","13,597,530,000","13,365,123,000","13,096,222,000","12,550,836,000","12,026,798,000","11,533,922,000","11,082,068,000","10,443,320,000","9,832,421,000","9,727,770,000","9,083,568,000","8,439,676,000","8,234,315,000","7,791,520,000","7,462,993,000","6,981,975,000","6,598,898,000",,,,,,,
			AccumulatedDepreciation,"-2,581,817,000","-2,689,880,000","-2,554,720,000","-2,383,032,000","-2,278,214,000","-2,161,154,000","-2,098,524,000","-1,955,924,000","-1,819,790,000","-1,725,061,000","-1,643,809,000","-1,657,268,000","-1,555,605,000","-1,490,007,000","-1,398,298,000","-1,311,215,000","-1,213,323,000","-1,114,720,000","-1,012,674,000","-969,204,000","-878,617,000","-829,159,000","-754,227,000","-693,075,000","-621,180,000","-551,432,000","-479,681,000","-410,898,000","-347,035,000","-286,374,000","-228,442,000","-175,905,000","-131,569,000","-92,693,000","-62,036,000","-37,392,000"
		NonCurrentAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,066,000",,
		NonCurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,"83,604,000","89,161,000","85,988,000","90,162,000","90,249,000","88,118,000","90,720,000","80,161,000","74,219,000","76,603,000","73,980,000","68,350,000","47,609,000","46,439,000","51,235,000","56,760,000"
			NonCurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","3,261,000","7,127,000"
		NonCurrentPrepaidAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"405,549,000","406,487,000",,"268,728,000"
		OtherNonCurrentAssets,"1,123,142,000","805,703,000","773,324,000","736,754,000","665,311,000","616,650,000","576,266,000","535,721,000","478,934,000","450,941,000","438,573,000","366,539,000","368,213,000","350,243,000","336,730,000","301,285,000","313,913,000","288,695,000","408,878,000","313,329,000","309,954,000","204,158,000","215,622,000","280,293,000","284,024,000","291,741,000","269,937,000","310,342,000","232,735,000","665,022,000","579,509,000","545,255,000","96,057,000","70,944,000","373,438,000","29,055,000"
TotalLiabilitiesNetMinorityInterest,"16,085,611,000","16,147,528,000","15,184,464,000","14,005,118,000","13,674,908,000","13,088,385,000","12,917,605,000","11,718,223,000","11,486,722,000","11,246,064,000","11,303,193,000","11,017,808,000","10,593,429,000","10,392,618,000","10,144,641,000","9,679,007,000","9,335,186,000","8,972,246,000","8,804,345,000","8,360,054,000","8,002,722,000","7,850,473,000","7,420,358,000","6,969,797,000","6,809,170,000","6,347,495,000","6,028,644,000","5,580,557,000","5,021,003,000","4,879,806,000","4,567,487,000","4,075,201,000","2,988,310,000","2,103,729,000","1,627,151,000","1,549,639,000"
	CurrentLiabilities,"516,497,000","420,444,000","453,536,000","366,826,000","382,132,000","310,240,000","329,426,000","281,122,000","309,182,000","232,399,000","274,353,000","223,374,000","256,775,000","235,227,000","227,216,000","192,389,000","215,983,000","168,558,000","362,250,000","250,068,000","190,952,000","160,755,000","170,758,000","146,177,000","131,223,000","123,604,000","112,675,000","104,045,000","90,169,000","95,240,000","81,994,000","52,139,000","54,648,000","44,139,000","28,986,000","23,082,000"
		PayablesAndAccruedExpenses,"516,497,000","420,444,000","453,536,000","366,826,000","382,132,000","310,240,000","329,426,000","281,122,000","309,182,000","232,399,000","274,353,000","223,374,000","256,775,000","235,227,000","227,216,000","192,389,000","215,983,000","168,558,000","362,250,000","250,068,000","190,952,000","160,755,000","170,758,000","146,177,000","131,223,000","123,604,000","112,675,000","104,045,000","90,169,000","95,240,000","81,994,000","52,139,000","54,648,000","44,139,000","28,986,000","23,082,000"
