name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
TotalRevenue,"6,070,000,000","6,297,000,000","7,155,000,000","6,140,000,000","5,389,000,000","5,674,000,000","6,802,000,000","6,510,000,000","6,418,000,000","6,763,000,000","5,918,000,000","5,082,000,000","6,823,000,000","6,444,000,000","6,656,000,000","6,070,000,000","3,826,000,000","4,603,000,000","3,704,000,000","3,837,000,000"
	OperatingRevenue,"6,070,000,000","6,297,000,000","7,155,000,000","6,140,000,000","5,389,000,000","5,674,000,000","6,802,000,000","6,510,000,000","6,418,000,000","6,763,000,000","5,918,000,000","5,082,000,000","6,823,000,000","6,444,000,000","6,656,000,000","6,070,000,000","3,826,000,000","4,603,000,000","3,704,000,000","3,837,000,000"
CostOfRevenue,"4,569,000,000","4,691,000,000","5,183,000,000","4,625,000,000","3,984,000,000","4,356,000,000","5,186,000,000","5,145,000,000","5,226,000,000","5,329,000,000","4,738,000,000","4,079,000,000","5,567,000,000","4,999,000,000","5,214,000,000","4,773,000,000","3,092,000,000","3,883,000,000",,"3,277,000,000"
GrossProfit,"1,501,000,000","1,606,000,000","1,972,000,000","1,515,000,000","1,405,000,000","1,318,000,000","1,616,000,000","1,365,000,000","1,192,000,000","1,434,000,000","1,180,000,000","1,003,000,000","1,256,000,000","1,445,000,000","1,442,000,000","1,297,000,000","734,000,000","720,000,000",,"560,000,000"
OperatingExpense,"589,000,000","574,000,000","642,000,000","548,000,000","503,000,000","636,000,000","864,000,000","428,000,000","660,000,000","742,000,000","677,000,000","713,000,000","816,000,000","692,000,000","680,000,000","629,000,000","564,000,000","602,000,000",,"931,000,000"
	SellingGeneralAndAdministration,"488,000,000","483,000,000","546,000,000","456,000,000","416,000,000","506,000,000","758,000,000","311,000,000","507,000,000","536,000,000","505,000,000","469,000,000","540,000,000","516,000,000","538,000,000","562,000,000","498,000,000","510,000,000",,"481,000,000"
	ResearchAndDevelopment,"68,000,000","67,000,000","72,000,000","72,000,000","78,000,000","119,000,000","86,000,000","85,000,000","102,000,000","96,000,000","70,000,000","75,000,000","80,000,000","73,000,000","70,000,000","91,000,000","67,000,000","89,000,000",,"72,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"23,000,000","24,000,000","24,000,000","20,000,000","9,000,000","11,000,000","20,000,000","32,000,000","51,000,000","62,000,000","61,000,000","77,000,000","76,000,000","105,000,000","66,000,000",,,,,
		DepreciationAndAmortizationInIncomeStatement,"23,000,000","24,000,000","24,000,000","20,000,000","9,000,000","11,000,000","20,000,000","32,000,000","51,000,000","62,000,000","61,000,000","77,000,000","76,000,000","105,000,000","66,000,000",,,,,
			Amortization,"23,000,000","24,000,000","24,000,000","20,000,000","9,000,000","11,000,000","20,000,000","32,000,000","51,000,000","62,000,000","61,000,000","77,000,000","76,000,000","105,000,000","66,000,000",,,,,
				AmortizationOfIntangiblesIncomeStatement,"23,000,000","24,000,000","24,000,000","20,000,000","9,000,000","11,000,000","20,000,000","32,000,000","51,000,000","62,000,000","61,000,000","77,000,000","76,000,000","105,000,000","66,000,000",,,,,
	OtherOperatingExpenses,,"203,000,000","-9,000,000","60,000,000",,,"-15,000,000","158,000,000","14,000,000","48,000,000","41,000,000","92,000,000","120,000,000","-2,000,000","6,000,000","-24,000,000","-1,000,000","3,000,000",,"378,000,000"
OperatingIncome,"912,000,000","1,032,000,000","1,330,000,000","967,000,000","902,000,000","682,000,000","752,000,000","937,000,000","532,000,000","692,000,000","503,000,000","290,000,000","440,000,000","753,000,000","762,000,000","668,000,000","170,000,000","118,000,000","3,704,000,000","-371,000,000"
NetNonOperatingInterestIncomeExpense,"-109,000,000","-113,000,000","-120,000,000","-120,000,000","-124,000,000","-118,000,000","-175,000,000","-172,000,000","-186,000,000","-218,000,000","-197,000,000","-199,000,000",,,,,,,,
