name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,12/31/2009
			GrossPPE,"67,082,000,000","65,812,000,000","65,490,000,000","64,562,000,000","61,213,000,000","43,276,000,000","41,985,000,000","41,176,000,000","40,538,000,000","39,718,000,000","39,002,000,000","38,406,000,000","38,006,000,000","37,526,000,000","36,877,000,000","36,215,000,000","35,604,000,000","26,361,000,000","26,007,000,000","25,621,000,000","25,302,000,000","24,712,000,000","22,277,000,000","21,987,000,000","21,793,000,000","21,375,000,000","21,106,000,000","20,890,000,000","19,409,000,000","19,051,000,000","18,689,000,000","18,309,000,000","18,073,000,000","17,660,000,000","17,366,000,000","16,868,000,000","16,624,000,000","16,158,000,000","16,345,000,000"
				MachineryFurnitureEquipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,051,000,000","18,689,000,000","18,309,000,000","18,073,000,000","17,660,000,000","17,366,000,000","16,868,000,000","16,624,000,000","16,158,000,000","16,345,000,000"
				OtherProperties,"67,082,000,000","65,812,000,000","65,490,000,000","64,562,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-19,008,000,000","-18,256,000,000","-17,567,000,000","-16,791,000,000","-16,155,000,000","-15,559,000,000","-15,054,000,000","-14,558,000,000","-14,095,000,000","-13,682,000,000","-13,216,000,000","-12,737,000,000","-12,241,000,000","-11,829,000,000","-11,365,000,000","-10,896,000,000","-10,440,000,000","-10,067,000,000","-9,724,000,000","-9,380,000,000","-9,041,000,000","-8,713,000,000","-8,427,000,000","-8,133,000,000","-7,872,000,000","-7,580,000,000","-7,307,000,000","-7,040,000,000","-6,766,000,000","-6,519,000,000","-6,275,000,000","-6,063,000,000","-5,845,000,000","-5,634,000,000","-5,431,000,000","-5,160,000,000","-4,900,000,000","-4,526,000,000","-4,448,000,000"
		GoodwillAndOtherIntangibleAssets,"22,968,000,000","21,277,000,000","20,277,000,000","20,229,000,000","23,498,000,000","3,713,000,000","3,586,000,000","3,586,000,000","3,586,000,000","3,586,000,000","3,586,000,000","3,586,000,000","3,587,000,000","3,648,000,000","3,648,000,000","3,649,000,000","4,019,000,000","1,565,000,000","1,566,000,000","1,566,000,000","1,566,000,000","1,537,000,000","937,000,000","938,000,000","938,000,000","938,000,000","938,000,000","930,000,000","930,000,000","930,000,000","925,000,000","842,000,000","842,000,000","842,000,000","842,000,000","834,000,000","837,000,000","840,000,000","872,000,000"
			Goodwill,"20,040,000,000","21,277,000,000","20,277,000,000","20,229,000,000","20,184,000,000","3,713,000,000","3,586,000,000","3,586,000,000","3,586,000,000","3,586,000,000","3,586,000,000","3,586,000,000","3,587,000,000","3,648,000,000","3,648,000,000","3,649,000,000","4,019,000,000","1,565,000,000","1,566,000,000","1,566,000,000","1,566,000,000","1,537,000,000","937,000,000","938,000,000","938,000,000","938,000,000","938,000,000","930,000,000","930,000,000","930,000,000","925,000,000","842,000,000","842,000,000","842,000,000","842,000,000","834,000,000","837,000,000","840,000,000","872,000,000"
			OtherIntangibleAssets,"2,928,000,000",,,,"3,314,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		InvestmentsAndAdvances,"6,898,000,000","6,725,000,000","6,729,000,000","6,558,000,000","5,898,000,000","4,910,000,000","4,838,000,000","4,817,000,000","4,787,000,000","4,769,000,000","4,823,000,000","4,704,000,000","3,827,000,000","3,554,000,000","3,793,000,000","3,807,000,000","3,622,000,000","1,073,000,000","994,000,000","902,000,000","865,000,000","862,000,000","690,000,000","602,000,000","463,000,000","417,000,000","328,000,000","327,000,000","321,000,000","300,000,000","302,000,000","302,000,000","302,000,000","321,000,000","323,000,000","316,000,000","312,000,000","309,000,000","365,000,000"
			LongTermEquityInvestment,"6,898,000,000","6,725,000,000","6,729,000,000","6,558,000,000","5,898,000,000","4,910,000,000","4,838,000,000","4,817,000,000","4,787,000,000","4,769,000,000","4,823,000,000","4,704,000,000","3,827,000,000","3,554,000,000","3,793,000,000","3,807,000,000","3,622,000,000","1,073,000,000","994,000,000","902,000,000","865,000,000","862,000,000","690,000,000","602,000,000","463,000,000","417,000,000","328,000,000","327,000,000","321,000,000","300,000,000","302,000,000","302,000,000","302,000,000","321,000,000","323,000,000",,,,
		OtherNonCurrentAssets,"446,000,000","3,442,000,000","3,571,000,000","3,727,000,000","463,000,000","818,000,000","833,000,000","818,000,000","830,000,000","784,000,000","809,000,000","820,000,000","833,000,000","849,000,000","876,000,000","886,000,000","839,000,000","368,000,000","379,000,000","420,000,000","429,000,000","420,000,000","303,000,000","317,000,000","326,000,000","322,000,000","378,000,000","369,000,000","300,000,000","305,000,000","334,000,000","336,000,000","372,000,000","367,000,000","351,000,000","339,000,000","303,000,000","726,000,000","220,000,000"
TotalLiabilitiesNetMinorityInterest,"56,417,000,000","55,483,000,000","53,835,000,000","53,578,000,000","48,891,000,000","34,000,000,000","32,918,000,000","31,501,000,000","28,219,000,000","27,004,000,000","25,883,000,000","26,024,000,000","24,210,000,000","23,336,000,000","24,198,000,000","22,264,000,000","23,440,000,000","17,236,000,000","18,363,000,000","18,202,000,000","19,070,000,000","20,439,000,000","18,339,000,000","18,401,000,000","17,053,000,000","17,739,000,000","17,498,000,000","18,361,000,000","15,118,000,000","15,116,000,000","14,355,000,000","16,090,000,000","16,240,000,000","15,176,000,000","14,987,000,000","14,741,000,000","14,988,000,000","13,483,000,000","12,082,000,000"
	CurrentLiabilities,"16,147,000,000","15,339,000,000","14,890,000,000","15,147,000,000","13,216,000,000","9,634,000,000","9,715,000,000","8,372,000,000","10,478,000,000","7,647,000,000","6,758,000,000","6,866,000,000","7,146,000,000","6,340,000,000","6,782,000,000","5,595,000,000","6,345,000,000","7,686,000,000","8,725,000,000","8,346,000,000","8,579,000,000","10,372,000,000","11,055,000,000","10,846,000,000","9,824,000,000","10,401,000,000","10,241,000,000","10,728,000,000","8,203,000,000","8,308,000,000","7,568,000,000","9,201,000,000","9,591,000,000","8,612,000,000","8,549,000,000","8,282,000,000","8,620,000,000","10,434,000,000","6,637,000,000"
		PayablesAndAccruedExpenses,"13,935,000,000","13,334,000,000","12,906,000,000","13,055,000,000","11,964,000,000","9,166,000,000","9,258,000,000","8,042,000,000","9,558,000,000","7,350,000,000","6,353,000,000","6,488,000,000","6,740,000,000","5,986,000,000","6,396,000,000","4,989,000,000","5,890,000,000","6,597,000,000","7,580,000,000","7,249,000,000","8,198,000,000","10,022,000,000","10,510,000,000","10,557,000,000","9,526,000,000","10,188,000,000","9,903,000,000","10,554,000,000","8,072,000,000","7,924,000,000","7,120,000,000","8,722,000,000","9,084,000,000","8,206,000,000","7,632,000,000","7,578,000,000","7,346,000,000","6,273,000,000","6,232,000,000"
			Payables,"13,935,000,000","13,334,000,000","12,906,000,000","13,055,000,000","11,964,000,000","9,166,000,000","9,258,000,000","8,042,000,000","9,558,000,000","7,350,000,000","6,353,000,000","6,488,000,000","6,740,000,000","5,986,000,000","6,396,000,000","4,989,000,000","5,890,000,000","6,597,000,000","7,580,000,000","7,249,000,000","8,198,000,000","10,022,000,000","10,510,000,000","10,557,000,000","9,526,000,000","10,188,000,000","9,903,000,000","10,554,000,000","8,072,000,000","7,215,000,000","6,516,000,000","8,140,000,000","8,526,000,000","7,223,000,000","7,632,000,000","7,357,000,000","7,080,000,000","6,056,000,000","5,989,000,000"
				AccountsPayable,"11,623,000,000","11,380,000,000","10,905,000,000","10,568,000,000","9,366,000,000","8,016,000,000","8,113,000,000","7,066,000,000","8,297,000,000","6,159,000,000","5,307,000,000","5,343,000,000","5,593,000,000","5,055,000,000","5,214,000,000","4,083,000,000","4,743,000,000","4,993,000,000","6,225,000,000","5,387,000,000","6,661,000,000","8,726,000,000","8,934,000,000","9,313,000,000","8,234,000,000","8,961,000,000","8,601,000,000","8,872,000,000","6,785,000,000","6,951,000,000","6,155,000,000","7,803,000,000","8,169,000,000","6,974,000,000","7,313,000,000","6,766,000,000","6,453,000,000","5,514,000,000","5,507,000,000"
				TotalTaxPayable,"1,186,000,000","1,015,000,000","1,223,000,000","1,529,000,000","1,446,000,000","657,000,000","713,000,000","639,000,000","670,000,000","732,000,000","651,000,000","617,000,000","617,000,000","492,000,000","816,000,000","604,000,000","644,000,000","1,187,000,000","986,000,000","1,388,000,000","1,110,000,000","951,000,000","1,290,000,000","985,000,000","886,000,000","886,000,000","1,018,000,000","1,366,000,000","923,000,000","264,000,000","361,000,000","337,000,000","337,000,000","235,000,000","303,000,000","296,000,000","286,000,000","236,000,000","292,000,000"
				OtherPayable,"1,126,000,000","939,000,000","778,000,000","958,000,000","1,152,000,000","493,000,000","432,000,000","337,000,000","591,000,000","459,000,000","395,000,000","528,000,000","530,000,000","439,000,000","366,000,000","302,000,000","503,000,000","417,000,000","369,000,000","474,000,000","427,000,000","345,000,000","286,000,000","259,000,000","406,000,000","341,000,000","284,000,000","316,000,000","364,000,000",,,,"20,000,000","14,000,000","16,000,000","295,000,000","341,000,000","306,000,000","190,000,000"
			CurrentAccruedExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"709,000,000","604,000,000","582,000,000","558,000,000","983,000,000",,"221,000,000","266,000,000","217,000,000","243,000,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"287,000,000","225,000,000","261,000,000","312,000,000","267,000,000","222,000,000",,,,
		CurrentDebtAndCapitalLeaseObligation,"1,315,000,000","1,143,000,000","1,169,000,000","1,163,000,000","544,000,000","26,000,000","26,000,000","26,000,000","624,000,000","29,000,000","29,000,000","28,000,000","28,000,000","28,000,000","27,000,000","215,000,000","29,000,000","780,000,000","780,000,000","776,000,000","27,000,000","26,000,000","26,000,000","24,000,000","23,000,000","23,000,000","23,000,000","22,000,000","19,000,000","20,000,000","19,000,000","17,000,000","15,000,000","14,000,000","12,000,000","64,000,000","666,000,000","3,525,000,000","11,000,000"
			CurrentDebt,"711,000,000","557,000,000","554,000,000","550,000,000","544,000,000","26,000,000","26,000,000","26,000,000","624,000,000","29,000,000","29,000,000","28,000,000","28,000,000","28,000,000","27,000,000","215,000,000","29,000,000","780,000,000","780,000,000","776,000,000","27,000,000","26,000,000","26,000,000","24,000,000","23,000,000","23,000,000","23,000,000","22,000,000","19,000,000","20,000,000","19,000,000","17,000,000","15,000,000","14,000,000","12,000,000","64,000,000","666,000,000","3,525,000,000","11,000,000"
				OtherCurrentBorrowings,"711,000,000","557,000,000","554,000,000","550,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"604,000,000","586,000,000","615,000,000","613,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"436,000,000","448,000,000","440,000,000","517,000,000","265,000,000"
			CurrentDeferredTaxesLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"436,000,000","448,000,000","440,000,000","517,000,000","265,000,000"
		OtherCurrentLiabilities,"897,000,000","862,000,000","815,000,000","929,000,000","708,000,000","442,000,000","431,000,000","304,000,000","296,000,000","268,000,000","376,000,000","350,000,000","378,000,000","326,000,000","359,000,000","391,000,000","426,000,000","309,000,000","365,000,000","321,000,000","354,000,000","324,000,000","519,000,000","265,000,000","275,000,000","190,000,000","315,000,000","152,000,000","112,000,000","77,000,000","204,000,000","201,000,000","180,000,000","125,000,000","247,000,000","192,000,000","168,000,000","119,000,000","129,000,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"40,270,000,000","40,144,000,000","38,945,000,000","38,431,000,000","35,675,000,000","24,366,000,000","23,203,000,000","23,129,000,000","17,741,000,000","19,357,000,000","19,125,000,000","19,158,000,000","17,064,000,000","16,996,000,000","17,416,000,000","16,669,000,000","17,095,000,000","9,550,000,000","9,638,000,000","9,856,000,000","10,491,000,000","10,067,000,000","7,284,000,000","7,555,000,000","7,229,000,000","7,338,000,000","7,257,000,000","7,633,000,000","6,915,000,000","6,808,000,000","6,787,000,000","6,889,000,000","6,649,000,000","6,564,000,000","6,438,000,000","6,459,000,000","6,368,000,000","3,049,000,000","5,445,000,000"
		LongTermDebtAndCapitalLeaseObligation,"30,002,000,000","30,244,000,000","29,921,000,000","29,718,000,000","26,980,000,000","18,423,000,000","17,241,000,000","17,232,000,000","12,322,000,000","12,753,000,000","12,577,000,000","12,570,000,000","10,544,000,000","10,538,000,000","11,032,000,000","11,351,000,000","11,896,000,000","5,912,000,000","5,918,000,000","5,967,000,000","6,610,000,000","6,238,000,000","3,612,000,000","3,635,000,000","3,373,000,000","3,380,000,000","3,387,000,000","3,394,000,000","3,342,000,000","3,329,000,000","3,316,000,000","3,304,000,000","3,292,000,000","3,285,000,000","3,262,000,000","3,263,000,000","3,231,000,000","263,000,000","2,601,000,000"
			LongTermDebt,"28,127,000,000","28,282,000,000","27,853,000,000","27,565,000,000","26,980,000,000","18,423,000,000","17,241,000,000","17,232,000,000","12,322,000,000","12,753,000,000","12,577,000,000","12,570,000,000","10,544,000,000","10,538,000,000","11,032,000,000","11,351,000,000","11,896,000,000","5,912,000,000","5,918,000,000","5,967,000,000","6,610,000,000","6,238,000,000","3,612,000,000","3,635,000,000","3,373,000,000","3,380,000,000","3,387,000,000","3,394,000,000","3,342,000,000","3,329,000,000","3,316,000,000","3,304,000,000","3,292,000,000","3,285,000,000","3,262,000,000","3,263,000,000","3,231,000,000","263,000,000","2,601,000,000"
			LongTermCapitalLeaseObligation,"1,875,000,000","1,962,000,000","2,068,000,000","2,153,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"7,657,000,000","7,445,000,000","6,409,000,000","6,142,000,000","6,182,000,000","3,895,000,000","3,803,000,000","3,771,000,000","3,320,000,000","4,575,000,000","4,550,000,000","4,503,000,000","4,465,000,000","4,284,000,000","4,149,000,000","4,102,000,000","4,020,000,000","2,499,000,000","2,577,000,000","2,766,000,000","2,782,000,000","2,892,000,000","2,766,000,000","3,065,000,000","3,085,000,000","3,063,000,000","2,941,000,000","3,025,000,000","2,307,000,000","2,209,000,000","2,123,000,000","1,776,000,000","1,574,000,000","1,757,000,000","1,687,000,000","1,676,000,000","1,644,000,000","1,579,000,000","1,483,000,000"
			NonCurrentDeferredTaxesLiabilities,"6,392,000,000","6,180,000,000","5,235,000,000","5,011,000,000","4,864,000,000","3,206,000,000","3,144,000,000","3,120,000,000","2,654,000,000","3,935,000,000","3,923,000,000","3,888,000,000","3,861,000,000","3,682,000,000","3,520,000,000","3,356,000,000","3,285,000,000","1,942,000,000","2,011,000,000","2,019,000,000","2,014,000,000","2,165,000,000","2,170,000,000","2,290,000,000","2,304,000,000","2,228,000,000","2,187,000,000","2,094,000,000","2,050,000,000","1,954,000,000","1,823,000,000","1,509,000,000","1,310,000,000","1,473,000,000","1,383,000,000","1,355,000,000","1,367,000,000","1,355,000,000","1,251,000,000"
		EmployeeBenefits,"1,643,000,000","1,487,000,000","1,610,000,000","1,567,000,000","1,509,000,000","1,045,000,000","1,156,000,000","1,126,000,000","1,099,000,000","1,029,000,000","998,000,000","1,085,000,000","1,055,000,000","1,174,000,000","1,242,000,000","1,216,000,000","1,179,000,000","1,139,000,000","1,143,000,000","1,123,000,000","1,099,000,000","937,000,000","906,000,000","855,000,000","771,000,000","895,000,000","929,000,000","1,214,000,000","1,266,000,000","1,270,000,000","1,348,000,000","1,809,000,000","1,783,000,000","1,522,000,000","1,489,000,000","1,520,000,000","1,493,000,000","1,207,000,000","1,361,000,000"
			NonCurrentPensionAndOtherPostretirementBenefitPlans,"1,643,000,000","1,487,000,000","1,610,000,000","1,567,000,000","1,509,000,000","1,045,000,000","1,156,000,000","1,126,000,000","1,099,000,000","1,029,000,000","998,000,000","1,085,000,000","1,055,000,000","1,174,000,000","1,242,000,000","1,216,000,000","1,179,000,000","1,139,000,000","1,143,000,000","1,123,000,000","1,099,000,000","937,000,000","906,000,000","855,000,000","771,000,000","895,000,000","929,000,000","1,214,000,000","1,266,000,000","1,270,000,000","1,348,000,000","1,809,000,000","1,783,000,000","1,522,000,000","1,489,000,000","1,520,000,000","1,493,000,000","1,207,000,000","1,361,000,000"
		PreferredSecuritiesOutsideStockEquity,"968,000,000","968,000,000","1,005,000,000","1,004,000,000","1,004,000,000","1,003,000,000","1,003,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","993,000,000",,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentLiabilities,,"27,871,000,000",,"17,961,000,000","17,362,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalEquityGrossMinorityInterest,"42,139,000,000","42,656,000,000","43,061,000,000","42,858,000,000","44,049,000,000","19,031,000,000","18,818,000,000","18,863,000,000","20,828,000,000","19,802,000,000","19,564,000,000","19,797,000,000","20,203,000,000","19,957,000,000","19,935,000,000","19,494,000,000","19,675,000,000","12,925,000,000","12,290,000,000","11,980,000,000","11,390,000,000","11,266,000,000","11,037,000,000","10,758,000,000","11,332,000,000","11,264,000,000","12,197,000,000","12,412,000,000","12,105,000,000","11,467,000,000","10,326,000,000","9,216,000,000","9,505,000,000","10,049,000,000","8,977,000,000","9,036,000,000","8,244,000,000","8,485,000,000","9,172,000,000"
