name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992
TotalRevenue,"8,973,900,000","1,928,300,000","2,513,600,000","2,109,400,000","2,422,600,000","1,995,800,000","2,592,200,000","2,214,700,000","2,537,600,000","2,007,500,000","2,527,400,000","1,986,300,000","2,165,200,000","1,627,600,000","2,094,000,000","1,761,600,000","1,995,600,000","1,559,300,000","1,959,000,000","1,736,400,000","2,069,300,000","1,702,600,000","2,485,200,000","2,154,800,000","2,750,300,000","2,333,400,000","2,859,700,000","2,475,900,000","3,048,200,000","2,403,100,000","2,703,400,000","2,295,000,000","2,690,100,000","2,273,700,000","2,517,800,000","2,099,100,000","2,358,600,000","1,797,700,000","2,168,000,000","1,657,400,000","1,743,000,000","1,328,200,000","1,852,500,000","1,403,700,000","1,795,200,000","1,579,000,000","2,157,200,000","2,085,400,000","2,395,400,000","1,786,600,000","2,171,100,000","1,613,000,000","1,711,400,000","1,332,600,000","1,633,800,000","1,180,900,000","1,450,500,000","1,169,800,000","1,384,900,000","1,233,600,000","1,574,300,000","1,256,900,000","1,534,100,000","1,216,500,000","1,407,000,000","1,115,700,000","1,035,100,000","800,300,000","902,700,000","757,200,000","843,700,000","687,800,000","772,600,000","618,600,000","772,900,000","577,200,000","659,300,000","532,100,000","659,100,000","513,500,000","633,700,000","529,800,000","597,700,000","570,500,000","683,500,000","561,600,000","758,100,000","665,700,000","816,100,000","701,500,000","888,600,000","759,500,000","871,900,000","704,300,000","638,700,000","606,500,000","601,600,000","470,700,000","598,400,000","498,600,000","571,700,000","456,200,000","472,400,000","481,400,000","226,300,000","178,900,000","171,100,000","170,100,000","152,400,000","102,100,000","85,300,000","84,200,000","79,600,000","65,500,000"
	OperatingRevenue,"8,973,900,000","1,928,300,000","2,513,600,000","2,109,400,000","2,422,600,000","1,995,800,000","2,592,200,000","2,214,700,000","2,537,600,000","2,007,500,000","2,527,400,000","1,986,300,000","2,165,200,000","1,627,600,000","2,094,000,000","1,761,600,000","1,995,600,000","1,559,300,000","1,959,000,000","1,736,400,000","2,069,300,000","1,702,600,000","2,485,200,000","2,154,800,000","2,750,300,000","2,333,400,000","2,859,700,000","2,475,900,000","3,048,200,000","2,403,100,000","2,703,400,000","2,295,000,000","2,690,100,000","2,273,700,000","2,517,800,000","2,099,100,000","2,358,600,000","1,797,700,000","2,168,000,000","1,657,400,000","1,743,000,000","1,328,200,000","1,852,500,000","1,403,700,000","1,795,200,000","1,579,000,000","2,157,200,000","2,085,400,000","2,395,400,000","1,786,600,000","2,171,100,000","1,613,000,000","1,711,400,000","1,332,600,000","1,633,800,000","1,180,900,000","1,450,500,000","1,169,800,000","1,384,900,000","1,233,600,000","1,574,300,000","1,256,900,000","1,534,100,000","1,216,500,000","1,407,000,000","1,115,700,000","1,035,100,000","800,300,000","902,700,000","757,200,000","843,700,000","687,800,000","772,600,000","618,600,000","772,900,000","577,200,000","659,300,000","532,100,000","659,100,000","513,500,000","633,700,000","529,800,000","597,700,000","570,500,000","683,500,000","561,600,000","758,100,000","665,700,000","816,100,000","701,500,000","888,600,000","759,500,000","871,900,000","704,300,000","638,700,000","606,500,000","601,600,000","470,700,000","598,400,000","498,600,000","571,700,000","456,200,000","472,400,000","481,400,000","226,300,000","178,900,000","171,100,000","170,100,000","152,400,000","102,100,000","85,300,000","84,200,000","79,600,000","65,500,000"
CostOfRevenue,"6,995,800,000","1,477,800,000","2,000,100,000","1,659,200,000","1,858,700,000","1,539,100,000","2,053,500,000","1,741,000,000","1,981,300,000","1,579,500,000","1,996,400,000","1,557,700,000","1,689,800,000","1,297,300,000","1,673,700,000","1,408,100,000","1,568,600,000","1,244,600,000","1,561,600,000","1,370,700,000","1,619,700,000","1,354,700,000","1,987,200,000","1,732,900,000","2,118,800,000","1,818,500,000","2,268,700,000","1,919,700,000","2,337,900,000","1,870,000,000","2,175,600,000","1,804,000,000","2,078,700,000","1,780,700,000","1,993,700,000","1,691,300,000","1,870,300,000","1,441,800,000","1,758,800,000","1,353,600,000","1,421,900,000","1,103,600,000","1,585,200,000","1,162,300,000","1,503,700,000","1,306,700,000","1,781,000,000","1,705,300,000","1,967,200,000","1,471,400,000","1,804,100,000","1,305,400,000","1,414,400,000","1,113,200,000","1,367,900,000","976,600,000","1,199,200,000","963,500,000","1,161,000,000","1,014,600,000","1,303,100,000","1,037,400,000","1,269,300,000","989,900,000","1,153,200,000","908,000,000","859,200,000","657,800,000","744,700,000","617,200,000","693,100,000","564,200,000","631,200,000","502,400,000","636,900,000","474,600,000","545,600,000","449,600,000","553,800,000","423,700,000","529,300,000","452,700,000","528,500,000","473,400,000","572,400,000","482,600,000","653,000,000","534,500,000","659,600,000","557,000,000","701,500,000","590,000,000","696,200,000","570,000,000","552,800,000","465,300,000","468,900,000","360,100,000","453,800,000","362,100,000","433,500,000","342,800,000","354,600,000","368,500,000","169,200,000","135,600,000","134,600,000","132,700,000","119,400,000","80,800,000","70,200,000","67,600,000","64,800,000","52,200,000"
GrossProfit,"1,978,100,000","450,500,000","513,500,000","450,200,000","563,900,000","456,700,000","538,700,000","473,700,000","556,300,000","428,000,000","531,000,000","428,600,000","475,400,000","330,300,000","420,300,000","353,500,000","427,000,000","314,700,000","397,400,000","365,700,000","449,600,000","347,900,000","498,000,000","421,900,000","631,500,000","514,900,000","591,000,000","556,200,000","710,300,000","533,100,000","527,800,000","491,000,000","611,400,000","493,000,000","524,100,000","407,800,000","488,300,000","355,900,000","409,200,000","303,800,000","321,100,000","224,600,000","267,300,000","241,400,000","291,500,000","272,300,000","376,200,000","380,100,000","428,200,000","315,200,000","367,000,000","307,600,000","297,000,000","219,400,000","265,900,000","204,300,000","251,300,000","206,300,000","223,900,000","219,000,000","271,200,000","219,500,000","264,800,000","226,600,000","253,800,000","207,700,000","175,900,000","142,500,000","158,000,000","140,000,000","150,600,000","123,600,000","141,400,000","116,200,000","136,000,000","102,600,000","113,700,000","82,500,000","105,300,000","89,800,000","104,400,000","77,100,000","69,200,000","97,100,000","111,100,000","79,000,000","105,100,000","131,200,000","156,500,000","144,500,000","187,100,000","169,500,000","175,700,000","134,300,000","85,900,000","141,200,000","132,700,000","110,600,000","144,600,000","136,500,000","138,200,000","113,400,000","117,800,000","112,900,000","57,100,000","43,300,000","36,500,000","37,400,000","33,000,000","21,300,000","15,100,000","16,600,000","14,800,000","13,300,000"
OperatingExpense,"1,430,300,000","347,500,000","377,000,000","342,200,000","363,600,000","362,000,000","376,000,000","359,100,000","383,000,000","371,200,000","386,000,000","328,600,000","326,600,000","309,600,000","322,500,000","293,000,000","306,300,000","293,400,000","304,400,000","286,600,000","295,700,000","290,500,000","339,100,000","310,300,000","364,800,000","359,200,000","393,800,000","357,200,000","383,200,000","355,700,000","386,500,000","351,400,000","346,600,000","323,200,000","338,400,000","293,500,000","287,600,000","247,000,000","265,700,000","226,700,000","224,100,000","213,600,000","209,000,000","206,400,000","210,900,000","213,700,000","236,300,000","166,300,000","239,000,000","220,900,000","238,900,000","199,700,000","186,100,000","173,800,000","355,700,000","171,200,000","168,700,000","162,300,000","170,400,000","160,200,000","162,800,000","165,500,000","176,500,000","153,000,000","149,700,000","150,100,000","112,600,000","101,400,000","96,200,000","95,100,000","111,800,000","85,800,000","83,500,000","104,000,000","90,600,000","81,000,000","81,000,000","72,500,000","89,300,000","72,400,000","78,300,000","70,800,000","94,600,000","66,900,000","67,500,000","69,700,000","121,800,000","98,800,000","83,300,000","76,600,000","90,800,000","82,200,000","81,400,000","75,200,000","61,500,000","66,600,000","58,800,000","56,400,000","73,800,000","64,000,000","65,400,000","60,200,000","59,900,000","59,000,000","24,600,000","20,400,000","20,000,000","17,500,000","14,100,000","28,700,000","10,800,000","11,200,000","12,200,000","11,300,000"
	SellingGeneralAndAdministration,"1,025,700,000","247,600,000","272,400,000","245,000,000","260,700,000","262,200,000","272,500,000","260,500,000","271,800,000","264,600,000","277,100,000","234,300,000","236,100,000","223,200,000","224,800,000","214,100,000","217,800,000","211,200,000","222,200,000","205,800,000","213,100,000","211,200,000","244,400,000","221,700,000","262,300,000","267,000,000","295,200,000","258,100,000","279,700,000","255,700,000","284,500,000","262,800,000","255,100,000","238,900,000","246,900,000","221,200,000","216,500,000","184,700,000","200,000,000","170,300,000","164,800,000","157,000,000","158,800,000","155,500,000","154,200,000","161,600,000","185,800,000","183,500,000","181,000,000","170,600,000","187,500,000","156,600,000","144,400,000","137,200,000","147,600,000","135,000,000","132,500,000","126,600,000","166,300,000","156,100,000","127,300,000","161,300,000","172,400,000","149,100,000","145,900,000","146,100,000","111,600,000","100,900,000","95,800,000","94,700,000","111,400,000","85,500,000","83,100,000","103,700,000","85,700,000","76,100,000","76,200,000","56,700,000","105,500,000","55,500,000","54,400,000","68,900,000","70,100,000","66,900,000","67,500,000","69,700,000","81,800,000","85,100,000","83,300,000","76,600,000","90,800,000","82,200,000","81,400,000","75,200,000","61,500,000","66,600,000","58,800,000","56,400,000","62,800,000","54,700,000","57,700,000","52,700,000","50,700,000","55,600,000","23,200,000","19,400,000","19,400,000","16,900,000","13,100,000","28,000,000","10,300,000","10,600,000","11,900,000","11,000,000"
	ResearchAndDevelopment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76,400,000","79,000,000","72,100,000","84,000,000","67,500,000","66,200,000","57,900,000","61,100,000","51,400,000","55,000,000","52,100,000","45,500,000","46,300,000","52,100,000","48,000,000","46,300,000","49,800,000","53,000,000","45,400,000","46,600,000","38,600,000","37,300,000","32,400,000","32,400,000","31,900,000","32,000,000","31,600,000",,,"31,400,000",,,,,,,,,,,,,,,,,"11,900,000",,"12,400,000","10,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"60,800,000","15,000,000","15,500,000","14,900,000","15,400,000","15,300,000","15,500,000","15,300,000","18,200,000","15,700,000","15,500,000","14,300,000","13,800,000","13,400,000","15,900,000","12,900,000","11,400,000","11,000,000","10,500,000","10,800,000","10,900,000","10,500,000","10,600,000","10,400,000","10,000,000","10,000,000","11,900,000","11,800,000","12,100,000","12,000,000","12,400,000","12,200,000","12,500,000","12,200,000","7,500,000","4,800,000","4,900,000","4,400,000","4,600,000","5,000,000","4,300,000","4,500,000","4,700,000","4,600,000","4,600,000","4,100,000","4,200,000","5,000,000","5,000,000","4,900,000","4,800,000","4,500,000","4,400,000","4,200,000","4,300,000","4,300,000","4,200,000","4,100,000","4,100,000","4,100,000","4,100,000","4,200,000","4,100,000","3,900,000","3,800,000","4,000,000","400,000","500,000","400,000","400,000","400,000","300,000","400,000","300,000","4,900,000","4,900,000","4,800,000","3,900,000",,,,,,,,,,,,,,,,,,,,,"11,000,000","9,300,000","7,700,000","7,500,000","9,200,000","3,400,000","1,400,000","1,000,000","600,000","600,000","1,000,000","700,000","500,000","600,000","300,000","300,000"
		DepreciationAndAmortizationInIncomeStatement,"60,800,000","15,000,000","15,500,000","14,900,000","15,400,000","15,300,000","15,500,000","15,300,000","18,200,000","15,700,000","15,500,000","14,300,000","13,800,000","13,400,000","15,900,000","12,900,000","11,400,000","11,000,000","10,500,000","10,800,000","10,900,000","10,500,000","10,600,000","10,400,000","10,000,000","10,000,000","11,900,000","11,800,000","12,100,000","12,000,000","12,400,000","12,200,000","12,500,000","12,200,000","7,500,000","4,800,000","4,900,000","4,400,000","4,600,000","5,000,000","4,300,000","4,500,000","4,700,000","4,600,000","4,600,000","4,100,000","4,200,000","5,000,000","5,000,000","4,900,000","4,800,000","4,500,000","4,400,000","4,200,000","4,300,000","4,300,000","4,200,000","4,100,000","4,100,000","4,100,000","4,100,000","4,200,000","4,100,000","3,900,000","3,800,000","4,000,000","400,000","500,000","400,000","400,000","400,000","300,000","400,000","300,000","4,900,000","4,900,000","4,800,000","3,900,000",,,,,,,,,,,,,,,,,,,,,"11,000,000","9,300,000","7,700,000","7,500,000","9,200,000","3,400,000","1,400,000","1,000,000","600,000","600,000","1,000,000","700,000","500,000","600,000","300,000","300,000"
			Amortization,"60,800,000","15,000,000","15,500,000","14,900,000","15,400,000","15,300,000","15,500,000","15,300,000","18,200,000","15,700,000","15,500,000","14,300,000","13,800,000","13,400,000","15,900,000","12,900,000","11,400,000","11,000,000","10,500,000","10,800,000","10,900,000","10,500,000","10,600,000","10,400,000","10,000,000","10,000,000","11,900,000","11,800,000","12,100,000","12,000,000","12,400,000","12,200,000","12,500,000","12,200,000","7,500,000","4,800,000","4,900,000","4,400,000","4,600,000","5,000,000","4,300,000","4,500,000","4,700,000","4,600,000","4,600,000","4,100,000","4,200,000","5,000,000","5,000,000","4,900,000","4,800,000","4,500,000","4,400,000","4,200,000","4,300,000","4,300,000","4,200,000","4,100,000","4,100,000","4,100,000","4,100,000","4,200,000","4,100,000","3,900,000","3,800,000","4,000,000","400,000","500,000","400,000","400,000","400,000","300,000","400,000","300,000","4,900,000","4,900,000","4,800,000","3,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
