name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010
TotalRevenue,"2,445,000,000","642,000,000","620,000,000","617,000,000","566,000,000","579,000,000","623,000,000","584,000,000","443,000,000","448,000,000","330,000,000","297,000,000","258,000,000","236,000,000","213,000,000","292,000,000","159,000,000","316,000,000","332,000,000","355,000,000","467,000,000","510,000,000","646,000,000","831,000,000","1,182,000,000","750,000,000","673,000,000","737,000,000","725,000,000","749,000,000","677,000,000","704,000,000","896,000,000","983,000,000","995,000,000","953,000,000","984,000,000","985,000,000","990,000,000","895,000,000","1,164,000,000"
	OperatingRevenue,"2,441,000,000","640,000,000","619,000,000","616,000,000","566,000,000","580,000,000","622,000,000","584,000,000","443,000,000","447,000,000","330,000,000","297,000,000","258,000,000","236,000,000","213,000,000","292,000,000","158,000,000","313,000,000","329,000,000","354,000,000","465,000,000","508,000,000","646,000,000","826,000,000","1,181,000,000","744,000,000","668,000,000","730,000,000","721,000,000","741,000,000","677,000,000","704,000,000","559,000,000","983,000,000","995,000,000","953,000,000","982,000,000","958,000,000","990,000,000","904,000,000","1,155,000,000"
CostOfRevenue,"1,274,000,000","336,000,000","326,000,000","302,000,000","310,000,000","295,000,000","282,000,000","271,000,000","218,000,000","223,000,000","198,000,000","200,000,000","173,000,000","185,000,000","200,000,000","315,000,000","207,000,000","371,000,000","360,000,000","355,000,000","398,000,000","460,000,000","459,000,000","545,000,000","704,000,000","615,000,000","548,000,000","560,000,000","581,000,000","1,138,000,000","392,000,000","381,000,000","587,000,000","291,000,000","559,000,000","526,000,000","519,000,000","107,000,000","633,000,000","662,000,000","622,000,000"
GrossProfit,"1,171,000,000","306,000,000","294,000,000","315,000,000","256,000,000","284,000,000","341,000,000","313,000,000","225,000,000","225,000,000","132,000,000","97,000,000","85,000,000","51,000,000","13,000,000","-23,000,000","-48,000,000","-55,000,000","-28,000,000","0","69,000,000","50,000,000","187,000,000","286,000,000","478,000,000","135,000,000","125,000,000","177,000,000","144,000,000","-389,000,000","285,000,000","323,000,000","309,000,000","692,000,000","436,000,000","427,000,000","465,000,000","878,000,000","357,000,000","233,000,000","542,000,000"
OperatingExpense,"853,000,000","233,000,000","215,000,000","209,000,000","196,000,000","203,000,000","175,000,000","161,000,000","147,000,000","157,000,000","146,000,000","143,000,000","149,000,000","125,000,000","115,000,000","124,000,000","115,000,000","189,000,000","177,000,000","139,000,000","150,000,000","165,000,000","217,000,000","250,000,000","213,000,000","558,000,000","207,000,000","203,000,000","201,000,000","-307,000,000","360,000,000","361,000,000","320,000,000","642,000,000","414,000,000","348,000,000","302,000,000","305,000,000","301,000,000","291,000,000","285,000,000"
	SellingGeneralAndAdministration,"580,000,000","158,000,000","147,000,000","142,000,000","133,000,000","141,000,000","112,000,000","103,000,000","98,000,000","102,000,000","100,000,000","99,000,000","91,000,000","95,000,000","91,000,000","96,000,000","95,000,000","130,000,000","104,000,000","114,000,000","121,000,000","88,000,000","148,000,000","151,000,000","151,000,000","153,000,000","150,000,000","147,000,000","147,000,000","364,000,000","67,000,000","71,000,000","68,000,000","77,000,000","70,000,000","63,000,000","70,000,000","70,000,000","61,000,000","61,000,000","61,000,000"
		GeneralAndAdministrativeExpense,"580,000,000","158,000,000","147,000,000","142,000,000","133,000,000","141,000,000","112,000,000","103,000,000","98,000,000","102,000,000","100,000,000","99,000,000","91,000,000","95,000,000","91,000,000","96,000,000","95,000,000","130,000,000","104,000,000","114,000,000","121,000,000","88,000,000","148,000,000","151,000,000","151,000,000","153,000,000","150,000,000","147,000,000","147,000,000","162,000,000",,,,,,,,,,,
			SalariesAndWages,"34,000,000","9,000,000","9,000,000","8,000,000","8,000,000","7,000,000","8,000,000","10,000,000","7,000,000","7,000,000","7,000,000","9,000,000","7,000,000","8,000,000","10,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			RentAndLandingFees,"374,000,000","98,000,000","96,000,000","94,000,000","86,000,000","90,000,000","68,000,000","59,000,000","55,000,000","59,000,000","58,000,000","53,000,000","48,000,000","40,000,000","40,000,000","41,000,000","42,000,000","62,000,000","50,000,000","51,000,000","57,000,000","36,000,000","73,000,000","77,000,000","79,000,000","78,000,000","82,000,000","73,000,000","75,000,000","81,000,000",,,,,,,,,,,
			OtherGandA,"172,000,000","51,000,000","42,000,000","40,000,000","39,000,000","44,000,000","36,000,000","34,000,000","36,000,000","36,000,000","35,000,000","37,000,000","36,000,000","47,000,000","41,000,000","55,000,000","53,000,000","68,000,000","54,000,000","63,000,000","64,000,000","52,000,000","75,000,000","74,000,000","72,000,000","75,000,000","68,000,000","74,000,000","72,000,000","81,000,000",,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"243,000,000","248,000,000","228,000,000","246,000,000","239,000,000","224,000,000","216,000,000","220,000,000","222,000,000","217,000,000","216,000,000"
