name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
TotalAssets,"5,377,779,000","5,345,258,000","4,944,899,000","5,036,596,000","4,995,054,000","4,889,354,000","4,805,211,000","4,856,916,000","5,085,510,000","4,958,225,000","4,934,522,000","4,829,876,000","4,719,661,000","4,698,017,000","4,816,884,000","4,859,894,000","4,871,816,000","4,789,602,000","4,848,376,000","4,938,800,000","4,957,815,000","5,170,713,000","5,377,856,000","5,554,795,000","5,549,859,000","3,244,133,000","1,713,635,000","1,641,825,000","1,591,793,000","1,552,416,000","1,523,483,000","1,479,208,000","1,402,206,000","1,417,030,000","1,416,526,000","1,403,822,000","1,405,069,000","1,382,258,000","461,297,000","448,383,000","437,047,000","426,171,000","412,004,000","406,011,000","388,279,000","394,375,000","413,274,000","389,262,000","370,543,000","351,338,000","339,466,000","329,503,000","323,608,000","320,806,000","316,604,000","320,791,000","186,472,000","190,772,000","184,797,000","180,381,000","181,641,000","182,809,000","185,789,000","179,557,000","184,186,000","174,649,000","167,464,000","163,113,000","158,554,000","162,912,000","163,453,000","157,660,000","154,456,000","159,079,000","164,678,000","160,005,000","166,981,000","174,505,000","181,091,000","187,790,000","189,311,000","197,800,000","210,000,000","216,600,000","248,700,000","263,200,000","288,200,000","296,100,000","302,500,000","313,000,000","308,300,000","314,700,000","315,300,000","329,600,000","326,100,000","280,400,000","252,800,000","266,100,000","256,400,000","257,000,000","242,700,000","245,500,000","237,200,000","235,400,000","231,600,000"
	CurrentAssets,"930,060,000","917,288,000","853,681,000","867,138,000","871,175,000","897,942,000","878,478,000","918,198,000","971,080,000","956,445,000","962,216,000","924,929,000","927,301,000","893,302,000","963,003,000","1,004,158,000","960,283,000","931,788,000","1,005,623,000","1,036,506,000","1,043,791,000","1,053,613,000","1,143,369,000","1,147,777,000","1,098,438,000","1,127,502,000","224,331,000","322,970,000","312,962,000","290,262,000","275,023,000","248,054,000","193,724,000","219,680,000","222,784,000","212,306,000","218,719,000","185,586,000","165,582,000","153,998,000","159,686,000","146,377,000","155,062,000","144,972,000","122,541,000","138,469,000","157,195,000","151,992,000","135,898,000","115,093,000","102,568,000","89,807,000","80,771,000","74,661,000","71,291,000","71,625,000","81,152,000","83,075,000","80,053,000","78,314,000","80,413,000","80,973,000","85,501,000","78,097,000","83,312,000","72,195,000","63,388,000","58,099,000","51,928,000","56,307,000","55,420,000","43,990,000","37,533,000","41,891,000","47,172,000","39,793,000","43,131,000","45,857,000","39,845,000","38,316,000","35,426,000","37,100,000","39,000,000","37,400,000","43,200,000","49,200,000","48,700,000","48,300,000","47,600,000","57,200,000","56,600,000","59,500,000","55,300,000","69,700,000","68,600,000","62,900,000","52,100,000","64,100,000","53,300,000","59,500,000","51,500,000","54,100,000","47,500,000","44,300,000","38,900,000"
		CashCashEquivalentsAndShortTermInvestments,"76,339,000","72,935,000","69,122,000","87,011,000","95,716,000","107,262,000","81,470,000","104,120,000","122,869,000","106,774,000","110,146,000","124,817,000","138,880,000","114,564,000","148,585,000","157,815,000","147,326,000","156,884,000","148,886,000","126,020,000","112,131,000","108,784,000","193,427,000","143,785,000","143,422,000","870,857,000","8,011,000","133,571,000","121,777,000","103,249,000","87,686,000","72,254,000","27,584,000","38,936,000","28,550,000","12,444,000","38,046,000","19,202,000","77,075,000","66,486,000","76,718,000","68,182,000","70,674,000","57,786,000","38,178,000","50,814,000","43,214,000","44,596,000","38,881,000","16,335,000","5,873,000","6,161,000","5,271,000","5,281,000","6,151,000","5,731,000","37,188,000","36,000,000","36,739,000","32,368,000","38,617,000","39,628,000","41,191,000","36,509,000","38,161,000","25,383,000","15,775,000","15,261,000","10,863,000","15,537,000","9,694,000","2,795,000","2,999,000","3,668,000","3,408,000","3,107,000","2,853,000","3,509,000","5,498,000","1,941,000","1,983,000","1,800,000","2,800,000","1,600,000","1,600,000","12,300,000","3,400,000","3,300,000","3,500,000","3,000,000","1,800,000","6,200,000","3,400,000","13,000,000","12,000,000","9,900,000","5,800,000","11,600,000","7,600,000","10,300,000","3,400,000","5,100,000","3,700,000","5,600,000","1,700,000"
			CashAndCashEquivalents,"76,339,000","72,935,000","69,122,000","87,011,000","95,716,000","107,262,000","81,470,000","104,120,000","122,869,000","106,774,000","110,146,000","124,817,000","138,880,000","114,564,000","148,585,000","157,815,000","147,326,000","156,884,000","148,886,000","126,020,000","112,131,000","108,784,000","193,427,000","143,785,000","143,422,000","870,857,000","8,011,000","133,571,000","121,777,000","103,249,000","87,686,000","72,254,000","27,584,000","38,936,000","28,550,000","12,444,000","38,046,000","19,202,000","77,075,000","66,486,000","76,718,000","68,182,000","70,674,000","57,786,000","38,178,000","50,814,000","43,214,000","44,596,000","38,881,000","16,335,000","5,873,000","6,161,000","5,271,000","5,281,000","6,151,000","5,731,000","37,188,000","36,000,000","36,739,000","32,368,000","38,617,000","39,628,000","41,191,000","36,509,000","38,161,000","25,383,000","15,775,000","15,261,000","10,863,000","15,537,000","9,694,000","2,795,000","2,999,000","3,668,000","3,408,000","3,107,000","2,853,000","3,509,000","5,498,000","1,941,000","1,983,000","1,800,000","2,800,000","1,600,000","1,600,000","12,300,000","3,400,000","3,300,000","3,500,000","3,000,000","1,800,000","6,200,000","3,400,000","13,000,000","12,000,000","9,900,000","5,800,000","11,600,000","7,600,000","10,300,000","3,400,000","5,100,000","3,700,000","5,600,000","1,700,000"
		Receivables,"400,806,000","409,655,000","359,958,000","363,225,000","375,441,000","392,199,000","371,668,000","378,268,000","418,353,000","396,356,000","420,317,000","389,344,000","396,842,000","395,876,000","396,079,000","412,716,000","388,171,000","383,355,000","404,029,000","393,289,000","402,499,000","431,919,000","445,808,000","493,840,000","460,741,000","127,356,000","111,864,000","91,872,000","98,211,000","98,131,000","101,046,000","98,225,000","89,388,000","112,849,000","109,330,000","118,640,000","114,358,000","88,929,000","47,584,000","47,824,000","48,095,000","46,177,000","48,825,000","51,574,000","52,435,000","51,672,000","72,142,000","65,078,000","58,518,000","59,401,000","54,582,000","49,323,000","44,616,000","42,381,000","35,046,000","35,607,000","22,468,000","25,886,000","24,320,000","25,200,000","23,520,000","26,675,000","27,489,000","24,885,000","27,700,000","29,353,000","29,497,000","23,154,000","20,806,000","24,099,000","22,466,000","19,891,000","18,957,000","23,719,000","25,285,000","20,388,000","22,306,000","21,837,000","17,090,000","17,843,000","18,327,000","17,000,000","16,800,000","11,700,000","20,200,000","16,600,000","22,400,000","21,900,000","23,900,000","32,500,000","30,600,000","32,300,000","27,800,000","36,000,000","34,200,000","34,000,000","29,300,000","30,200,000","24,100,000","27,100,000","27,700,000","26,800,000","25,000,000","21,200,000","19,600,000"
			AccountsReceivable,"397,700,000","406,338,000","355,006,000","357,671,000","371,339,000","385,737,000","363,312,000","371,291,000","413,659,000","391,847,000","414,947,000","382,957,000","389,864,000","388,397,000","382,857,000","399,877,000","376,346,000","371,392,000","379,093,000","368,434,000","376,968,000","409,779,000","423,729,000","467,392,000","435,386,000","112,844,000","106,693,000","91,872,000","98,211,000","98,131,000","99,263,000","97,436,000","83,373,000","95,807,000","101,127,000","109,257,000","98,091,000","87,455,000","46,482,000","46,213,000","47,927,000","45,572,000","44,582,000","46,404,000","41,337,000","40,424,000","72,142,000","65,078,000","58,518,000","59,401,000","54,582,000","49,323,000","44,616,000","42,381,000","35,046,000","35,607,000","22,468,000","25,886,000","24,320,000","25,200,000","23,520,000","26,675,000","27,489,000","24,885,000","27,700,000","29,353,000","29,497,000","23,154,000","20,806,000","24,099,000","22,466,000","19,891,000","18,957,000","23,719,000","25,285,000","20,388,000","22,306,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,600,000"
				GrossAccountsReceivable,"407,306,000","415,140,000",,,,"393,567,000",,,,"399,892,000",,,,"396,487,000",,,,"381,124,000",,,,"420,614,000",,,,"115,085,000",,,,"100,302,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-9,606,000","-8,802,000",,,,"-7,830,000",,,,"-8,045,000",,,,"-8,090,000",,,,"-9,732,000",,,,"-10,835,000",,,,"-2,241,000",,,,"-2,171,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"3,106,000","3,317,000","4,952,000","5,554,000","4,102,000","6,462,000","8,356,000","6,977,000","4,694,000","4,509,000","5,370,000","6,387,000","6,978,000","7,479,000","13,222,000","12,839,000","11,825,000","11,963,000","24,936,000","24,855,000","25,531,000","22,140,000","22,079,000","26,448,000","25,355,000","14,512,000","5,171,000",,,"0","1,783,000","789,000","6,015,000","17,042,000","8,203,000","9,383,000","0","1,474,000","1,102,000","1,611,000","168,000","605,000","4,243,000","5,170,000","11,098,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,267,000",,,,,,,,,"11,248,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
