name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005
TotalRevenue,"5,543,923,000","5,453,922,000","5,081,258,000","4,443,603,000","4,286,021,000","3,742,736,000","3,065,017,000","2,975,648,000","2,948,969,000","2,804,507,000","2,390,290,000","2,239,871,000","2,153,362,000","1,991,666,000","1,851,498,000","1,858,442,000"
	OperatingRevenue,"5,543,923,000","5,453,922,000","5,081,258,000","4,443,603,000","4,286,021,000","3,742,736,000","3,065,017,000","2,975,648,000","2,948,969,000","2,804,507,000","2,390,290,000","2,239,871,000","2,153,362,000","1,991,666,000","1,851,498,000","1,858,442,000"
CostOfRevenue,"4,709,281,000","4,641,002,000","4,341,056,000","3,734,176,000","3,664,843,000","3,211,541,000","2,582,340,000","2,495,476,000","2,443,550,000","2,308,570,000","1,982,179,000","1,819,771,000","1,791,841,000","1,660,049,000","1,484,632,000","1,488,682,000"
GrossProfit,"834,642,000","812,920,000","740,202,000","709,427,000","621,178,000","531,195,000","482,677,000","480,172,000","505,419,000","495,937,000","408,111,000","420,100,000","361,521,000","331,617,000","366,866,000","369,760,000"
OperatingExpense,"345,807,000","341,039,000","322,923,000","274,058,000","252,238,000","197,033,000","153,601,000","141,313,000","129,505,000","185,218,000","171,974,000","184,262,000","165,113,000","137,732,000","108,992,000","250,659,000"
	SellingGeneralAndAdministration,"133,617,000","128,463,000","121,268,000","114,047,000","106,927,000","92,052,000","85,247,000","76,921,000","66,194,000","62,354,000","62,121,000","113,281,000","93,327,000","80,435,000","62,324,000","206,804,000"
		GeneralAndAdministrativeExpense,"133,617,000","128,463,000","121,268,000","114,047,000","106,927,000","92,052,000","85,247,000","76,921,000","66,194,000",,,,,,,
			OtherGandA,"133,617,000","128,463,000","121,268,000","114,047,000","106,927,000","92,052,000","85,247,000","76,921,000","66,194,000",,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"212,190,000","212,576,000","201,655,000","160,011,000","145,311,000","104,981,000","68,354,000","64,392,000","63,311,000","71,517,000","68,706,000","70,981,000","71,786,000","57,297,000","46,668,000","43,855,000"
		DepreciationAndAmortizationInIncomeStatement,"212,190,000","212,576,000","201,655,000","160,011,000","145,311,000","104,981,000","68,354,000","64,392,000","63,311,000","71,517,000","68,706,000","70,981,000","71,786,000","57,297,000","46,668,000","43,855,000"
	ProvisionForDoubtfulAccounts,,,,,,,,,,"51,347,000","41,147,000",,,,,
OperatingIncome,"488,835,000","471,881,000","417,279,000","435,369,000","368,940,000","334,162,000","329,076,000","338,859,000","375,914,000","310,719,000","236,137,000","235,838,000","196,408,000","193,885,000","257,874,000","119,101,000"
NetNonOperatingInterestIncomeExpense,"-195,866,000","-200,570,000","-198,493,000","-154,703,000","-170,081,000","-112,816,000","-85,446,000","-87,364,000","-94,950,000","-98,894,000","-112,337,000","-132,377,000","-145,423,000","-138,052,000","-130,538,000","-105,569,000"
