name,ttm,05/31/2019,05/31/2018,05/31/2017,05/31/2016,05/31/2015,05/31/2014,05/31/2013,05/31/2012,05/31/2011,05/31/2010,05/31/2009,05/31/2008,05/31/2007,05/31/2006,05/31/2005,05/31/2004,05/31/2003,05/31/2002,05/31/2001,05/31/2000,05/31/1999,05/31/1998,05/31/1997,05/31/1996,05/31/1995
TotalRevenue,"8,765,900,000","8,510,400,000","8,080,100,000","7,170,200,000","6,933,500,000","6,764,000,000","6,285,600,000","8,551,900,000","7,998,700,000","7,500,200,000","7,113,100,000","7,217,500,000","6,626,500,000","5,567,100,000","5,720,640,000","5,278,110,000","5,003,355,000","4,654,971,000","4,368,701,000","4,021,157,000","3,701,256,000","3,458,100,000","3,287,000,000","3,171,800,000","3,191,800,000","3,163,300,000"
	OperatingRevenue,"8,765,900,000","8,510,400,000","8,080,100,000","7,170,200,000","6,933,500,000","6,764,000,000","6,285,600,000","8,551,900,000","7,998,700,000","7,500,200,000","7,113,100,000","7,217,500,000","6,626,500,000","5,567,100,000","5,720,640,000","5,278,110,000","5,003,355,000","4,654,971,000","4,368,701,000","4,021,157,000","3,701,256,000","3,458,100,000","3,287,000,000","3,171,800,000","3,191,800,000","3,163,300,000"
CostOfRevenue,"6,864,200,000","6,661,400,000","6,334,700,000","5,600,800,000","5,392,400,000","5,341,500,000","4,990,500,000","6,661,000,000","6,163,200,000","5,699,500,000","5,484,000,000","5,636,900,000","5,138,700,000","4,258,800,000","4,427,508,000","4,095,828,000","3,895,717,000","3,634,390,000","3,384,599,000","3,134,726,000","2,895,063,000","2,740,000,000","2,623,700,000","2,572,200,000","2,471,200,000","2,495,800,000"
GrossProfit,"1,901,700,000","1,849,000,000","1,745,400,000","1,569,400,000","1,541,100,000","1,422,500,000","1,295,100,000","1,890,900,000","1,835,500,000","1,800,700,000","1,629,100,000","1,580,600,000","1,487,800,000","1,308,300,000","1,293,132,000","1,182,282,000","1,107,638,000","1,020,581,000","984,102,000","886,431,000","806,193,000","718,100,000","663,300,000","599,600,000","720,600,000","667,500,000"
OperatingExpense,"1,017,100,000","997,500,000","975,200,000","900,300,000","913,100,000","992,800,000","967,900,000","1,242,600,000","1,095,900,000","1,054,800,000","985,400,000","948,700,000","887,400,000","735,000,000","757,835,000","710,697,000","682,113,000","630,594,000","586,776,000","554,549,000","515,829,000","491,100,000","489,500,000","502,000,000","510,400,000","481,400,000"
	SellingGeneralAndAdministration,"667,700,000","660,800,000","662,100,000","627,400,000","622,900,000","673,500,000","663,500,000","847,800,000","746,800,000","738,000,000","684,500,000","665,600,000","641,700,000","534,600,000","536,379,000","497,478,000","472,109,000","439,376,000","420,947,000","407,685,000","379,470,000","360,900,000","358,500,000","361,300,000","373,900,000","345,900,000"
		GeneralAndAdministrativeExpense,"392,700,000","405,500,000","409,800,000","387,700,000","384,900,000","430,200,000","663,500,000","847,800,000","746,800,000",,,,,,,,,,,,,,,,,
			OtherGandA,"392,700,000","405,500,000","409,800,000","387,700,000","384,900,000","430,200,000","663,500,000","847,800,000","746,800,000",,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"275,000,000","255,300,000","252,300,000","239,700,000","238,000,000","243,300,000",,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"349,400,000","336,700,000","313,100,000","272,900,000","290,200,000","319,300,000","304,400,000","394,800,000","349,100,000","316,800,000","300,900,000","283,100,000","245,700,000","200,400,000","221,456,000","213,219,000","210,004,000","191,218,000","165,829,000","146,864,000","136,359,000","130,200,000","131,000,000","140,700,000","136,500,000","135,500,000"
