name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
TotalRevenue,"1,782,200,000","1,782,200,000","1,606,200,000","1,520,500,000","1,513,900,000","1,513,800,000","1,353,800,000","1,294,000,000","1,284,600,000","1,277,100,000","1,214,100,000"
	OperatingRevenue,"1,782,200,000","1,782,200,000","1,606,200,000","1,520,500,000","1,513,900,000","1,513,800,000","1,353,800,000","1,294,000,000","1,284,600,000","1,277,100,000","1,214,100,000"
CostOfRevenue,"958,600,000","958,600,000","859,900,000","835,200,000","818,100,000","833,100,000","726,500,000","686,900,000","700,100,000","689,400,000","687,000,000"
GrossProfit,"823,600,000","823,600,000","746,300,000","685,300,000","695,800,000","680,700,000","627,300,000","607,100,000","584,500,000","587,700,000","527,100,000"
OperatingExpense,"518,000,000","518,000,000","472,000,000","451,500,000","489,000,000","487,400,000","426,500,000","395,600,000","378,600,000","390,300,000","395,600,000"
	SellingGeneralAndAdministration,"323,500,000","323,500,000","287,000,000","261,700,000","264,800,000","258,300,000","224,300,000","199,800,000","181,800,000","178,400,000","181,400,000"
	DepreciationAmortizationDepletionIncomeStatement,"194,500,000","194,500,000","185,000,000","189,800,000","224,200,000","229,100,000","202,200,000","195,800,000","196,800,000","211,900,000","214,200,000"
		DepreciationAndAmortizationInIncomeStatement,"194,500,000","194,500,000","185,000,000","189,800,000","224,200,000","229,100,000","202,200,000","195,800,000","196,800,000","211,900,000","214,200,000"
			DepreciationIncomeStatement,"87,300,000","87,300,000","85,900,000","89,700,000","108,900,000","113,700,000","107,200,000","104,500,000","105,900,000","109,000,000","107,600,000"
			Amortization,"107,200,000","107,200,000","99,100,000","100,100,000","115,300,000","115,400,000","95,000,000","91,300,000","90,900,000","102,900,000","106,600,000"
				AmortizationOfIntangiblesIncomeStatement,"107,200,000","107,200,000","99,100,000","100,100,000","115,300,000","115,400,000","95,000,000","91,300,000","90,900,000","102,900,000","106,600,000"
OperatingIncome,"305,600,000","305,600,000","274,300,000","233,800,000","206,800,000","193,300,000","200,800,000","211,500,000","205,900,000","197,400,000","131,500,000"
NetNonOperatingInterestIncomeExpense,"-134,900,000","-134,900,000","-125,700,000","-116,900,000","-113,800,000","-114,800,000","-84,800,000",,,,
	TotalOtherFinanceCost,"134,900,000","134,900,000","125,700,000","116,900,000","113,800,000","114,800,000","84,800,000",,,,
