name,ttm,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002,06/30/2001,06/30/2000,06/30/1999,06/30/1998
TotalRevenue,"43,165,000,000"
	OperatingRevenue,"43,165,000,000"
CostOfRevenue,"16,412,000,000"
GrossProfit,"26,753,000,000"
OperatingExpense,"11,540,000,000"
	SellingGeneralAndAdministration,"2,257,000,000"
		SellingAndMarketingExpense,"2,257,000,000"
	ResearchAndDevelopment,"45,000,000"
	OtherOperatingExpenses,"6,140,000,000"
OperatingIncome,"15,213,000,000"
NetNonOperatingInterestIncomeExpense,"-634,000,000"
	InterestIncomeNonOperating,"300,000,000"
	InterestExpenseNonOperating,"550,000,000"
	TotalOtherFinanceCost,"84,000,000"
PretaxIncome,"11,119,000,000"
TaxProvision,"4,147,000,000"
NetIncomeCommonStockholders,"8,010,000,000"
	NetIncome,"8,010,000,000"
		NetIncomeIncludingNoncontrollingInterests,"6,972,000,000"
			NetIncomeContinuousOperations,"6,972,000,000"
		MinorityInterests,"1,038,000,000"
	OtherunderPreferredStockDividend,"0"
DilutedNIAvailtoComStockholders,"8,010,000,000"
BasicEPS,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
DilutedEPS,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
TotalOperatingIncomeAsReported,"11,466,000,000"
TotalExpenses,"27,952,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"8,010,000,000"
NormalizedIncome,"10,719,700,000"
InterestIncome,"300,000,000"
InterestExpense,"550,000,000"
NetInterestIncome,"-634,000,000"
EBIT,"11,669,000,000"
EBITDA,"16,053,000,000"
ReconciledCostOfRevenue,"16,412,000,000"
ReconciledDepreciation,"4,384,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"8,010,000,000"
TotalUnusualItemsExcludingGoodwill,"-3,871,000,000"
TotalUnusualItems,"-3,871,000,000"
NormalizedEBITDA,"19,924,000,000"
TaxRateForCalcs,"0.3"
TaxEffectOfUnusualItems,"-1,161,300,000"
