name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
TotalRevenue,"7,436,152,000","7,280,431,000","7,724,771,000","7,034,209,000","6,367,284,000","3,564,425,000","1,604,096,000","1,489,892,000","1,070,676,000","779,093,000","700,343,000","677,886,000","1,034,524,000","1,592,462,000","2,239,454,000","2,337,757,000","2,058,047,000","1,675,093,000","1,500,006,000","1,513,545,000"
	OperatingRevenue,"7,436,152,000","7,280,431,000","7,724,771,000","7,034,209,000","6,367,284,000","3,564,425,000","1,604,096,000","1,489,892,000","1,070,676,000","779,093,000","700,343,000","677,886,000","1,034,524,000","1,592,462,000","2,239,454,000","2,337,757,000","2,058,047,000","1,675,093,000","1,500,006,000","1,513,545,000"
CostOfRevenue,"5,435,885,000","5,303,602,000","5,801,831,000","5,306,818,000","4,770,536,000","2,662,967,000","1,247,099,000","1,169,972,000","856,110,000","621,148,000","568,587,000","535,480,000","811,372,000","1,202,156,000","1,652,899,000","1,745,230,000","1,574,535,000","1,300,410,000","1,155,375,000","1,158,245,000"
GrossProfit,"2,000,267,000","1,976,829,000","1,922,940,000","1,727,391,000","1,596,748,000","901,458,000","356,997,000","319,920,000","214,566,000","157,945,000","131,756,000","142,406,000","223,152,000","390,306,000","586,555,000","592,527,000","483,512,000","374,683,000","344,631,000","355,300,000"
OperatingExpense,"1,618,905,000","1,584,523,000","1,553,972,000","1,442,288,000","1,360,412,000","810,841,000","306,508,000","271,885,000","222,263,000","195,420,000","194,650,000","201,403,000","297,095,000","403,181,000","446,707,000","467,355,000","376,096,000","328,198,000",,"324,430,000"
	SellingGeneralAndAdministration,"1,618,905,000","1,584,523,000","1,553,972,000","1,442,288,000","1,360,412,000","810,841,000","306,508,000","271,885,000","222,263,000","195,420,000","194,650,000","201,403,000","292,286,000","375,621,000","439,944,000","467,355,000","376,096,000","327,027,000",,"324,430,000"
		GeneralAndAdministrativeExpense,,,,,,,,,,"195,420,000",,,,,,,,,,
			SalariesAndWages,,,,,,,,,,"4,559,000",,,,,,,,,,
			OtherGandA,,,,,,,,,,"190,861,000",,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,"4,809,000","27,560,000","6,763,000",,,"1,171,000",,
OperatingIncome,"381,362,000","392,306,000","368,968,000","285,103,000","236,336,000","90,617,000","50,489,000","48,035,000","-7,697,000","-37,475,000","-62,894,000","-58,997,000","-73,943,000","-12,875,000","139,848,000","125,172,000","107,416,000","46,485,000","344,631,000","30,870,000"
NetNonOperatingInterestIncomeExpense,"-136,581,000","-109,551,000","-108,213,000","-193,174,000","-214,667,000","-109,199,000","-30,349,000","-89,638,000","-45,139,000","-24,939,000","-31,672,000","-27,045,000","-25,664,000",,,,,,,
	InterestExpenseNonOperating,"136,581,000","109,551,000","108,213,000","193,174,000","214,667,000","109,199,000","30,349,000","89,638,000","45,139,000","24,939,000","31,672,000","27,045,000","25,664,000",,,,,,,
	TotalOtherFinanceCost,"136,581,000","109,551,000","108,213,000","193,174,000","214,667,000","109,199,000","30,349,000","89,638,000","45,139,000",,,,,,,,,,,
OtherIncomeExpense,,,,,,,"-471,000","7,000","-1,006,000",,"-839,000","-1,670,000","-51,053,000","-27,560,000","-6,763,000",,,"-1,791,000",,"4,067,000"
	SpecialIncomeCharges,,,,,,,"-471,000","7,000","-1,006,000","0","-839,000","-1,670,000","-51,053,000","-27,560,000","-6,763,000",,,"-1,791,000",,"4,067,000"
		RestructuringAndMergernAcquisition,,,,,,,"471,000","-7,000","958,000",,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,,"0","839,000","470,000","51,053,000",,,,,,,
		WriteOff,,,,,,,"0","0","48,000",,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,"1,200,000","4,809,000",,,,,,,
PretaxIncome,"244,781,000","282,755,000","260,755,000","91,929,000","21,669,000","-18,582,000","19,669,000","-41,596,000","-53,842,000","-62,414,000","-95,405,000","-87,712,000","-150,660,000","-40,602,000","111,130,000","77,945,000","82,958,000","34,741,000","21,546,000","6,222,000"
