name,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,11/30/2016,08/31/2016,05/31/2016,02/29/2016,11/30/2015,08/31/2015,05/31/2015,02/28/2015,11/30/2014,08/31/2014,05/31/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,05/31/2011,02/28/2011,11/30/2010,08/31/2010,02/28/2010
TotalAssets,"5,571,246,000","5,938,695,000","4,726,173,000","5,101,410,000","3,735,091,000","3,427,147,000","3,456,139,000","3,811,127,000","3,054,559,080","2,603,533,034","2,214,641,564","2,295,715,163","1,828,905,951","1,757,993,957","1,514,367,815","1,451,287,599","1,061,379,033","1,084,668,249","958,583,557","955,228,973","772,414,637","829,390,020","739,959,373","747,746,837","427,598,767","454,081,370","404,632,479","380,223,488","316,041,879","351,822,591","338,785,939","321,622,157","294,652,905","275,151,701","266,765,589","240,069,887","217,770,044","196,291,560","97,514,762","65,503,662"
	CurrentAssets,"2,495,781,000","3,007,136,000","1,788,436,000","2,146,075,000","1,745,716,000","1,819,165,000","1,850,793,000","2,224,063,000","1,662,006,145","1,446,637,648","1,113,602,051","1,279,880,483","871,121,005","763,870,460","642,587,742","790,143,516","515,859,574","632,966,605","580,543,540","686,881,506","539,432,534","610,403,847","578,186,024","615,161,827","300,376,622","359,335,623","311,758,285","289,748,908","226,438,543","265,573,126","252,934,361","235,969,416","210,235,030","193,642,750","249,343,236","225,792,315","205,449,129","184,905,825","87,696,967","55,904,694"
		CashCashEquivalentsAndShortTermInvestments,"2,219,323,000","2,729,787,000","1,542,292,000","1,912,196,000","1,515,564,000","1,612,323,000","1,646,450,000","1,929,156,000","1,498,909,845","1,310,968,335","946,070,170","1,117,660,055","699,673,401","676,469,495","565,950,251","735,855,114","478,805,103","590,192,688","537,726,609","641,942,065","492,152,804","567,976,341","527,570,091","578,537,693","269,930,571","333,226,907","294,570,072","274,307,397","209,591,344","249,215,737","223,330,946","208,425,788","188,941,570","168,709,995","178,560,944","191,674,766","173,631,370","179,026,213","81,942,875","52,670,637"
			CashAndCashEquivalents,"1,873,866,000","2,357,357,000","1,288,449,000","1,568,429,000","1,247,140,000","1,253,012,000","819,376,000","924,376,000","711,519,091","1,126,642,148","431,397,021","719,460,798","470,217,004","582,286,134","503,784,203","684,631,672","434,042,036","563,188,634","513,165,756","582,229,255","470,157,430","526,416,166","526,056,173","578,217,544","269,930,571","304,009,219","267,184,130","231,723,056","185,080,673","234,434,001","222,993,318","208,061,001","188,579,767","168,315,422","178,132,372","191,259,979","173,165,661","178,561,614","81,494,598","50,752,481"
			OtherShortTermInvestments,"345,457,000","372,430,000","253,843,000","343,767,000","268,424,000","359,311,000","827,074,000","1,004,780,000","787,390,754","184,326,187","514,673,149","398,199,257","229,456,397","94,183,361","62,166,048","51,223,442","44,763,067","27,004,054","24,560,853","59,712,810","21,995,374","41,560,175","1,513,918","320,149","0","29,217,688","27,385,942","42,584,341","24,510,671","14,781,736","337,628","364,787","361,803","394,573","428,572","414,787","465,709","464,599","448,277","1,918,156"
		Receivables,"15,190,000","5,840,000","17,743,000","20,172,000","103,393,000","17,234,000","21,944,000","28,688,000","55,213,072","18,357,389","10,384,731","14,947,072","103,302,198","6,081,791","2,516,874","6,963,922","7,601,234","3,130,723","1,097,867","3,912,216","18,680,156","3,333,680","11,418,623","11,824,849","12,825,220","7,134,021",,,"3,070,650",,,,"1,574,621",,,,"396,180","8,100",,"0"
			AccountsReceivable,,,,,"50,222,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,"943,111",,,,,,,
			LoansReceivable,,,,,"29,877,000",,,,"10,990,834",,,,"4,095,974",,,,"1,617,703",,,,"10,965,787",,,,"1,301,914",,,,,,,,,,,,,,,
			AccruedInterestReceivable,,,,,"5,848,000",,,,"8,655,362",,,,"4,347,655",,,,"1,977,686",,,,"2,876,719",,,,"1,113,313",,,,"1,505,973",,,,"631,510",,,,"396,180",,,
			TaxesReceivable,"11,548,000","28,000","1,110,000","16,816,000","7,204,000","6,930,000","7,058,000","21,971,000","18,720,986","15,109,152","6,921,943","6,940,907","2,244,898","456,338","1,321,015","1,340,651","7,612","0","0","3,266,847","3,490,921","3,333,680","11,418,623","11,824,849","10,129,966","7,134,021",,,"1,235,622",,,,,,,,,,,
			DuefromRelatedPartiesCurrent,"3,642,000","5,812,000","16,633,000","3,356,000","3,341,000","10,304,000","14,886,000","6,717,000","3,228,839","3,248,237","3,462,788","8,006,165","3,424,285","5,625,453","1,195,859","5,623,271","2,594,430","3,130,723","1,097,867","645,369","159,502",,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,"6,901,000",,,,"13,617,051",,,,"89,189,386",,,,"1,403,803",,,,"1,187,227",,,,"280,027",,,,"329,055",,,,,,,,,,,
		Inventory,"25,832,000","21,288,000","12,456,000","10,880,000","7,750,000","6,436,000","8,375,000","4,507,000","5,271,710","5,559,978","5,444,085","2,978,521","2,823,039","1,653,749","1,671,016","1,033,183","600,441","357,622","397,231","286,867","544,085","269,331","230,166","158,525","181,759","169,219","346,363","149,548","410,167","174,988","491,651","213,206","223,611","153,816","147,098","116,787","117,827","192,211","252,268","121,819"
		PrepaidAssets,"207,352,000","244,873,000","213,904,000","199,730,000","104,090,000","178,668,000","172,157,000","259,317,000","89,653,922","109,587,569","150,018,132","142,767,177","56,505,033","76,548,309","70,793,287","44,626,679","24,432,695","37,733,313","39,894,519","40,081,299","21,615,866","33,420,961","32,700,681","21,158,175","12,865,324","14,195,773","12,853,543","12,086,346","7,878,808","12,532,633","10,576,857","9,061,993","7,437,354","11,539,088","35,533,903","7,910,621","4,350,749","4,526,832","3,838,203","2,280,941"
		RestrictedCash,"28,084,000","5,348,000","2,041,000","3,097,000","9,227,000","4,504,000","1,867,000","2,395,000","6,266,671","2,164,377","1,684,933","1,527,658","2,732,559","1,917,883","796,716","866,590","1,083,787","438,476","470,619","290,554","606,169","781,407","2,002,312","240,395","325,688","1,130,294","719,480","717,619","2,270,269","1,382,206","401,694","651,655",,"1,254,607",,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,"0","1,199,233","859,598","798,028","738,406","644,174","486,181","368,505","4,562,034","4,622,127","4,264,151","3,242,190","3,281,063","3,479,409","3,268,827","2,487,998","2,260,446","2,267,562","2,381,212","1,914,243","1,729,758","1,791,564","1,860,989","1,393,447","1,082,932","1,152,469","1,663,621","831,297"
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,"0","1,199,233","859,598","798,028","738,406","644,174","486,181","368,505","4,562,034","4,622,127","4,264,151","3,242,190","3,281,063","3,479,409","3,268,827","2,487,998","2,260,446","2,267,562","2,381,212","1,914,243","1,729,758","1,791,564","1,860,989","1,393,447","1,082,932","1,152,469","1,226,469","831,297"
		AssetsHeldForSaleCurrent,,,,,,,,,,,,,,,,,,"469,609","470,514",,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,"5,692,000",,,,"6,690,925",,,,"6,084,775",,,,"2,597,908",,,,"1,271,420",,,,"966,997",,,,"956,859",,"15,752,001","15,702,531","10,328,116","10,193,680","33,240,302","24,696,694","25,870,071",,,
	TotalNonCurrentAssets,"3,075,465,000","2,931,559,000","2,937,737,000","2,955,335,000","1,989,375,000","1,607,982,000","1,605,346,000","1,587,064,000","1,392,552,935","1,156,895,386","1,101,039,513","1,015,834,680","957,784,946","994,123,497","871,780,073","661,144,083","545,519,459","451,701,644","378,040,017","268,347,467","232,982,103","218,986,173","161,773,349","132,585,010","127,222,145","94,745,747","92,874,194","90,474,580","89,603,336","86,249,465","85,851,578","85,652,741","84,417,875","81,508,951","17,422,353","14,277,572","12,320,915","11,385,735","9,817,795","9,598,968"
		NetPPE,"1,610,348,000","1,453,349,000","1,396,645,000","1,370,541,000","497,742,000","269,425,000","269,858,000","262,465,000","247,265,848","230,020,719","216,265,791","183,359,751","154,306,718","140,326,620","133,824,115","120,981,167","114,629,683","105,855,891","104,071,430","100,556,288","93,575,648","90,631,217","86,326,890","79,274,755","78,625,191","79,329,226","77,875,454","76,791,304","76,115,088","75,362,803","75,072,483","75,185,891","76,726,219","13,088,441","11,620,160","8,416,533","7,515,325","6,595,296","5,550,290","4,991,490"
			GrossPPE,"1,610,348,000","1,453,349,000","1,396,645,000","1,370,541,000","672,648,000",,,,"369,572,627",,,,"223,836,800",,,,"160,653,033",,,,"122,135,399",,,,"98,713,707",,,,"90,859,597",,,,"86,145,625",,,,"12,093,362",,"8,483,718","6,779,466"
				Properties,,"0","0","0","0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,"0","0"
				LandAndImprovements,,"204,721,000","202,209,000","13,281,000","209,865,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,,,,,"62,151,000",,,,"63,127,019",,,,"58,823,576",,,,"60,699,864",,,,"63,707,645",,,,"65,000,502",,,,"64,073,055",,,,"63,416,230",,,,,,,
				MachineryFurnitureEquipment,,,,,"152,734,000",,,,"118,859,708",,,,"68,780,417",,,,"47,861,324",,,,"33,639,318",,,,"20,799,450",,,,"15,990,044",,,,"12,533,173",,,,"6,741,774",,"4,551,797","3,380,216"
				OtherProperties,"1,610,348,000","1,453,349,000","1,396,645,000","1,370,541,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				Leases,,,,,"247,898,000",,,,"187,585,900",,,,"96,232,807",,,,"52,091,845",,,,"24,788,436",,,,"12,913,755",,,,"10,796,498",,,,"10,196,222",,,,"5,351,588",,"3,931,921","3,399,250"
			AccumulatedDepreciation,,,,,"-174,906,000",,,,"-122,306,779",,,,"-69,530,082",,,,"-46,023,350",,,,"-28,559,751",,,,"-20,088,516",,,,"-14,744,509",,,,"-9,419,406",,,,"-4,578,037",,"-2,933,428","-1,787,976"
		GoodwillAndOtherIntangibleAssets,"642,751,000","672,215,000","668,688,000","489,852,000","489,004,000","366,963,000","337,497,000","350,885,000","334,886,909","324,618,898","328,112,079","308,097,771","305,129,493","299,604,157","246,264,233","101,539,363","102,216,938","15,433,982","15,659,330","15,972,262","16,017,581","10,490,064","10,672,287","10,820,169","10,045,417","1,994,287","2,096,693","2,200,680","2,279,638","2,310,754","2,334,636","1,467,981","732,348","753,346","869,042","1,166,342","1,319,368","1,467,475","1,791,248","2,152,962"
			Goodwill,"378,913,000","406,439,000","402,453,000","406,914,000","414,228,000","305,234,000","280,222,000","289,449,000","291,382,129","285,018,179","286,450,694","271,282,336","267,162,685","260,146,536","210,636,982","86,963,504","87,022,517","12,307,410","12,309,743","12,344,542","12,330,326","8,073,960","8,073,949","8,062,485","7,509,824","566,959","564,448","563,096","555,194","554,731","544,079","542,370","548,825","541,681","541,571","672,063","662,583","653,072","765,923","763,802"
			OtherIntangibleAssets,"263,838,000","265,776,000","266,235,000","82,938,000","74,776,000","61,729,000","57,275,000","61,436,000","43,504,780","39,600,719","41,661,385","36,815,435","37,966,808","39,457,621","35,627,251","14,575,859","15,194,421","3,126,572","3,349,587","3,627,720","3,687,255","2,416,104","2,598,338","2,757,684","2,535,593","1,427,328","1,532,245","1,637,584","1,724,444","1,756,023","1,790,557","925,611","183,523","211,665","327,471","494,279","656,785","814,403","1,025,325","1,389,160"
		InvestmentsAndAdvances,"571,601,000","583,158,000","673,549,000","739,652,000","850,695,000","745,720,000","811,619,000","776,003,000","597,605,775","423,450,302","375,237,956","358,849,809","347,732,444","330,966,603","352,434,250","385,099,231","274,356,960","230,846,414","189,729,767","110,085,613","97,359,075","84,654,166","38,442,898","28,079,247","27,137,239","3,080,000","3,080,000","3,080,000","5,491,073","2,409,058","2,362,800","2,355,380",,,"234,771",,,,,
		NonCurrentAccountsReceivable,,"1,422,000","2,398,000","1,724,000","1,747,000","2,438,000",,,,,,,,"701,685","1,107,617","1,155,050","1,342,999","751,374","941,029",,"319,005","325,579","325,574","320,149",,,,,,,,,,,,,,,,
		NonCurrentNoteReceivables,,,,,"38,581,000",,,,"31,897,784",,,,"29,026,063",,,,"4,853,110",,,,,,,,,,,,,,,,,,,,,,,
		DuefromRelatedPartiesNonCurrent,,"1,422,000","2,398,000","1,724,000","1,747,000","2,438,000",,,,,,,"0","701,685","1,107,617","1,155,050","1,342,999","751,374","941,029","0","319,005","325,579","325,574","320,149",,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"79,534,000","75,726,000","57,214,000","34,737,000","29,179,000","27,853,000","25,033,000","15,619,000","17,361,013","20,691,570","20,570,237","17,686,527","16,188,301","13,860,719","11,106,677","6,800,281","6,654,778","5,449,542","4,302,665","3,934,965","1,708,212","1,136,997","465,965","336,919","555,528","723,889","950,582","1,249,966","538,464","514,857","523,728","639,989","490,222","707,330","687,541","1,447,735","668,096","719,695","167,989","283,968"
			NonCurrentDeferredTaxesAssets,"79,534,000","75,726,000","57,214,000","34,737,000","29,179,000","27,853,000","25,033,000","15,619,000","17,361,013","20,691,570","20,570,237","17,686,527","16,188,301","13,860,719","11,106,677","6,800,281","6,654,778","5,449,542","4,302,665","3,934,965","1,708,212","1,136,997","465,965","336,919","555,528","723,889","950,582","1,249,966","538,464","514,857","523,728","639,989","490,222","707,330","687,541","1,447,735","668,096","719,695","167,989","283,968"
		NonCurrentPrepaidAssets,"157,996,000","136,527,000","132,003,000","311,788,000","58,697,000","187,235,000","151,826,000","171,023,000","143,974,523","149,142,892","152,485,768","139,921,757","91,952,568","203,254,426","121,876,560","41,703,187","26,135,732","89,450,922","59,690,412","33,980,413","19,933,131","28,168,278","22,142,347","11,246,841","8,311,892","7,051,281","6,467,499","6,076,303","5,179,073","5,651,993","822,521","1,413,997","1,923,481","62,590,769",,,,,,
		OtherNonCurrentAssets,"13,235,000","9,162,000","7,240,000","7,041,000","23,730,000","8,348,000","9,513,000","11,069,000","19,561,083","8,971,005","8,367,682","7,919,065","13,449,359","5,409,287","5,166,621","3,865,804","15,329,259","3,913,519","3,645,384","3,817,926","4,069,451","3,579,872","3,397,388","2,506,930","2,546,878","2,567,064","2,403,966","1,076,327",,,"4,735,410","4,589,503","4,545,605","4,369,065","4,010,839","3,246,962","2,818,126","2,603,269","2,308,268","2,170,548"
TotalLiabilitiesNetMinorityInterest,"3,027,049,000","3,307,872,000","2,171,588,000","2,518,258,000","1,204,614,000","1,617,871,000","1,581,233,000","1,992,325,000","1,414,095,682","1,618,692,297","1,300,156,368","1,579,661,650","1,148,041,620","1,118,582,300","872,471,228","894,409,248","620,641,546","663,217,888","552,435,632","613,095,699","458,843,821","525,250,588","451,625,854","496,316,583","167,602,366","209,993,912","175,861,948","176,848,750","124,596,600","169,106,543","126,665,270","125,416,607","104,535,614","95,114,184","89,603,622","77,110,403","62,718,820","52,915,717","86,234,015","47,577,591"
	CurrentLiabilities,"1,806,558,000","2,187,891,000","1,338,162,000","1,684,275,000","1,183,718,000","1,606,970,000","1,566,546,000","1,739,649,000","1,133,387,041","1,340,684,275","975,179,536","1,132,348,383","667,140,343","837,800,139","595,989,471","657,158,570","383,163,427","435,385,051","325,113,792","386,270,870","232,555,023","299,433,616","226,200,397","271,375,607","166,756,326","208,651,472","174,386,065","176,714,782","124,497,655","169,042,168","126,473,677","125,242,899","104,379,120","94,970,174","89,467,500","76,983,344","62,601,039","52,791,712","85,587,331","37,901,981"
		PayablesAndAccruedExpenses,"721,431,000","669,184,000","579,157,000","468,705,000","461,622,000","499,886,000","457,057,000","419,226,000","299,141,404","271,540,096","254,996,838","183,099,535","156,946,957","167,620,299","142,941,817","106,107,530","98,298,038","83,661,125","85,967,015","54,905,378","51,732,422","52,422,542","48,186,228","35,519,330","31,604,742","35,392,626","30,700,397","22,553,386","21,823,041","61,727,892","23,123,911","17,028,923","7,169,678","17,530,929","19,322,833","13,704,704","11,923,014","14,784,693","13,486,556","8,493,987"
			Payables,"168,781,000","165,403,000","177,798,000","106,998,000","241,519,000","138,994,000","114,970,000","102,569,000","153,037,563","89,403,293","82,373,826","65,552,651","72,406,703","64,037,663","44,584,012","31,416,712","51,060,006","24,930,274","27,173,927","9,476,811","22,139,592","11,985,232","11,528,097","6,490,432","13,725,764","7,976,072","5,062,558","3,781,080","8,774,720","44,280,309","5,247,960","3,046,186","6,472,451","3,379,330","5,019,092","3,938,827","5,639,814","3,827,169","3,867,689","1,676,171"
				AccountsPayable,"117,770,000","148,393,000","112,246,000","76,759,000","106,493,000","79,414,000","71,370,000","64,014,000","57,605,414","55,557,044","48,943,530","39,138,755","22,637,199","19,670,213","16,877,268","12,481,113","10,404,047","7,366,732","6,484,349","6,423,848","4,705,492","5,274,704","4,345,125","3,552,320","2,349,365","2,104,065","1,980,092","1,504,967","2,009,473","3,614,159","3,203,216","2,755,203","2,863,596","1,979,984","2,081,820","1,032,688","911,254","749,696","712,710","987,742"
				TotalTaxPayable,"46,650,000","7,935,000","12,494,000","5,924,000","71,842,000","31,262,000","29,948,000","25,540,000","36,506,312","28,062,871","27,573,585","20,600,501","34,252,364","19,591,507","24,144,297","15,004,584","26,755,795","13,047,985","16,056,950","3,035,594","12,449,932","6,710,528","7,182,972","2,938,112","8,221,762","5,872,007","3,082,466","2,276,113","5,524,581","1,636,112","2,044,744","290,983","2,999,354","1,317,012","2,854,955","2,825,103","4,648,667","2,966,692","3,054,408","580,225"
					IncomeTaxPayable,"46,650,000","7,935,000","12,494,000","5,924,000","38,743,000","31,262,000","29,948,000","25,540,000","13,637,696","28,062,871","27,573,585","20,600,501","20,483,037","19,591,507","24,144,297","15,004,584","17,187,453","13,047,985","16,056,950","3,035,594","6,136,813","6,710,528","7,182,972","2,938,112","4,519,807","5,872,007","3,082,466","2,276,113","2,778,305","1,636,112","2,044,744","290,983",,"1,317,012","2,854,955","2,825,103","2,877,887","2,966,692","3,054,408","580,225"
				DividendsPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"39,030,038",,,,,,,,,,"0"
				DuetoRelatedPartiesCurrent,"4,361,000","9,075,000","53,058,000","24,315,000","24,375,000","28,318,000","13,652,000","13,015,000","32,886,413","5,783,378","5,856,711","5,813,395","3,042,785","24,775,943","3,562,447","3,931,015","4,277,896","4,515,557","4,632,628","17,369","22,077",,,,,,,,,,,,"0","82,334","82,317","81,036",,,,
				OtherPayable,,,,,"38,809,000",,,,"26,039,424",,,,"12,474,355",,,,"9,622,268",,,,"4,962,091",,,,"3,154,637",,,,"1,240,666",,,,"609,501",,,,"79,893","110,781","100,571","108,204"
			CurrentAccruedExpenses,"552,650,000","503,781,000","401,359,000","361,707,000","220,103,000","360,892,000","342,087,000","316,657,000","146,103,841","182,136,803","172,623,012","117,546,884","84,540,254","103,582,636","98,357,805","74,690,818","47,238,032","58,730,851","58,793,088","45,428,567","29,592,830","40,437,310","36,658,131","29,028,898","17,878,978","27,416,554","25,637,839","18,772,306","13,048,321","17,447,583","17,875,951","13,982,737","697,227","14,151,599","14,303,741","9,765,877","6,283,200","10,957,524","9,618,867","6,817,816"
				InterestPayable,,,,,"1,698,000",,,,"1,451,264",,,,"2,999,801",,,,"1,677,083",,,,"1,693,056",,,,,,,,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,,,,,,"9,969,633",,,,"5,956,144",,,,"3,740,558",,,,"2,996,505",,,,"2,540,148",,,,,,,,"10,500,187",,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"304,960,000","278,389,000","262,717,000","248,918,000","215,302,000","244,651,000","244,916,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDebt,,,,,"215,302,000","244,651,000","244,916,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherCurrentBorrowings,,,,,"215,302,000","244,651,000","244,916,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"304,960,000","278,389,000","262,717,000","248,918,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"780,167,000","1,240,318,000","496,288,000","966,652,000","433,610,000","862,433,000","864,573,000","1,320,423,000","824,276,004","1,069,144,179","720,182,698","949,248,848","504,147,032","670,179,840","453,047,654","551,051,040","281,026,480","351,723,926","239,146,777","331,365,492","177,702,039","247,011,074","178,014,169","235,856,277","132,463,162","173,258,846","143,685,668","154,161,396","102,513,876","107,314,276","103,349,766","108,213,976","85,594,032","77,439,245","70,144,667","63,278,640","50,678,025","38,007,019","42,100,775","29,407,994"
			CurrentDeferredTaxesLiabilities,,,,,,,,,,,,,"0","170,812","75,900","77,997","91,730","13,800","136,620","99,360","62,100","24,840","136,620","99,360","62,100","294,654",,,,,,,,,,,,,,
			CurrentDeferredRevenue,"780,167,000","1,240,318,000","496,288,000","966,652,000","433,610,000","862,433,000","864,573,000","1,320,423,000","824,276,004","1,069,144,179","720,182,698","949,248,848","504,147,032","670,009,028","452,971,754","550,973,043","280,934,750","351,710,126","239,010,157","331,266,132","177,639,939","246,986,234","177,877,549","235,756,917","132,401,062","172,964,192","143,685,668","154,161,396","102,513,876","107,314,276","103,349,766","108,213,976","85,594,032","77,439,245","70,144,667","63,278,640","50,678,025","38,007,019","42,100,775","29,407,994"
		OtherCurrentLiabilities,,,,,"73,184,000",,,,,,,,"90,210",,,,"98,351",,,,"124,057",,,,"148,274",,,,"160,738",,,,"1,115,223",,,,,,"30,000,000",
	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,220,491,000","1,119,981,000","833,426,000","833,983,000","20,896,000","10,901,000","14,687,000","252,676,000","280,708,641","278,008,022","324,976,832","447,313,267","480,901,277","280,782,161","276,481,757","237,250,678","237,478,119","227,832,837","227,321,840","226,824,829","226,288,798","225,816,972","225,425,457","224,940,976","846,040","1,342,440","1,475,883","133,968","98,945","64,375","191,593","173,708","156,494","144,010","136,122","127,059","117,781","124,005","646,684","9,675,610"
		LongTermDebtAndCapitalLeaseObligation,"1,211,869,000","1,111,292,000","823,477,000","820,242,000",,,,"235,375,000","236,075,000","249,508,000","297,008,000","420,120,000","450,148,918","259,195,172","253,740,608","228,277,775","227,827,301","227,378,071","226,934,953","226,493,058","226,062,006","225,627,368","225,299,691","224,809,469",,,,,,,,,,,,,,,,
			LongTermDebt,"261,950,000","260,900,000",,,,,,"235,375,000","236,075,000","249,508,000","297,008,000","420,120,000","450,148,918","259,195,172","253,740,608","228,277,775","227,827,301","227,378,071","226,934,953","226,493,058","226,062,006","225,627,368","225,299,691","224,809,469",,,,,,,,,,,,,,,,
			LongTermCapitalLeaseObligation,"949,919,000","850,392,000","823,477,000","820,242,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"8,622,000","8,684,000","9,478,000","13,175,000","20,235,000","10,184,000","12,673,000","15,392,000","38,019,419","20,882,158","25,128,832","24,353,267","27,912,359","21,586,989","22,741,149","8,972,903","9,650,818","454,766","386,887","331,771","226,792","189,604","125,766","131,507","32,344","29,285","168,544","133,968","98,945","64,375","191,593","173,708","156,494","144,010","136,122","127,059","117,781","124,005","146,684","175,610"
			NonCurrentDeferredTaxesLiabilities,"7,789,000","7,766,000","8,145,000","11,446,000","17,738,000","6,318,000","7,400,000","7,359,000","20,039,040","15,166,254","16,480,428","14,218,173","13,185,886","11,718,403","12,349,396","1,236,470","1,304,361","454,766","386,887","331,771","226,792","189,604","125,766","131,507","32,344","29,285","168,544","133,968","98,945","64,375","191,593","173,708","156,494","144,010",,"127,059","117,781","124,005","146,684","175,610"
			NonCurrentDeferredRevenue,"833,000","918,000","1,333,000","1,729,000","2,497,000","3,866,000","5,273,000","8,033,000","17,980,379","5,715,904","8,648,404","10,135,094","14,726,473","9,868,586","10,391,753","7,736,433","8,346,457",,,,,,,,,,,,,,,,,,,,,,,
		TradeandOtherPayablesNonCurrent,,"0","0","0","0","447,000","1,683,000","1,683,000","6,343,565","4,462,097","0","0","0",,,,,,,,"0","0","0","0","813,696","1,313,155","1,307,339",,,,,,,,,,,,,
		DuetoRelatedPartiesNonCurrent,,"5,000","36,000","115,000","196,000","270,000","331,000","226,000","270,657","3,155,767","2,840,000","2,840,000","2,840,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		PreferredSecuritiesOutsideStockEquity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"0","9,000,000"
		OtherNonCurrentLiabilities,,,"435,000","451,000","465,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"500,000","500,000"
