name,ttm,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006
TotalRevenue,"1,641,850,000","1,584,335,000","1,371,925,000","1,420,490,000","976,747,000","773,587,000","677,854,000","641,542,000","564,732,000","743,570,000","505,712,000","441,099,000","511,098,000","496,143,000","375,659,000"
	OperatingRevenue,"1,641,850,000","1,584,335,000","1,371,925,000","1,420,490,000","976,747,000","773,587,000","677,854,000","641,542,000","564,732,000","743,570,000","505,712,000","441,099,000","511,098,000","487,028,000","370,443,000"
CostOfRevenue,"1,455,743,000","1,405,111,000","1,218,513,000","1,249,030,000","857,224,000","685,814,000","603,621,000","572,124,000","502,818,000","648,823,000","441,370,000","383,058,000","442,784,000","423,858,000","339,682,000"
GrossProfit,"186,107,000","179,224,000","153,412,000","171,460,000","119,523,000","87,773,000","74,233,000","69,418,000","61,914,000","94,747,000","64,342,000","58,041,000","68,314,000","72,285,000","35,977,000"
OperatingExpense,"63,960,000","55,067,000","57,812,000","65,626,000","49,753,000","39,460,000","27,664,000","23,787,000","23,466,000","24,806,000","16,192,000","21,960,000","21,741,000","18,036,000","10,935,000"
	SellingGeneralAndAdministration,"63,960,000","55,067,000","57,812,000","65,626,000","49,753,000","39,460,000","27,664,000","23,787,000","23,466,000","24,806,000","16,192,000","21,960,000","21,741,000","18,036,000","10,935,000"
OperatingIncome,"122,147,000","124,157,000","95,600,000","105,834,000","69,770,000","48,313,000","46,569,000","45,631,000","38,448,000","69,941,000","48,150,000","36,081,000","46,573,000","54,249,000","25,042,000"
NetNonOperatingInterestIncomeExpense,"3,489,000","1,318,000","319,000","-1,344,000","-34,000","637,000","1,080,000","73,000","417,000","137,000","-173,000","-510,000","-183,000","-1,472,000","-2,331,000"
	InterestIncomeNonOperating,"8,009,000","6,699,000","3,925,000","1,977,000","1,535,000","1,253,000","1,793,000","1,083,000","844,000","494,000","327,000","756,000","1,364,000","1,370,000","1,015,000"
	InterestExpenseNonOperating,"4,520,000","5,381,000","3,606,000","3,321,000","1,569,000","616,000","713,000","1,010,000","427,000","357,000","500,000","1,266,000","1,547,000","2,842,000","3,346,000"
OtherIncomeExpense,"-893,000","758,000","-7,890,000","-633,000","-1,504,000","-1,324,000","45,521,000","26,205,000","-97,300,000","-1,214,000","113,000","-2,029,000","-599,000","-336,000","-181,000"
	GainOnSaleOfSecurity,"-1,135,000","1,406,000","-6,587,000","-1,142,000","-1,916,000","-19,000","-24,000","354,000","1,569,000","-1,430,000",,,,,
	SpecialIncomeCharges,"-805,000","-1,516,000","-1,776,000","0","36,000","-1,153,000","44,748,000","25,159,000","-99,264,000","216,000","113,000","-2,029,000","-599,000","-336,000","-181,000"
		RestructuringAndMergernAcquisition,"805,000","1,516,000","1,776,000","0","0","1,153,000","0","2,052,000","1,978,000","0","0","2,389,000","0",,
		OtherSpecialCharges,,"1,516,000","1,776,000",,"-36,000","1,153,000","-44,748,000","-27,211,000","97,286,000","-216,000","-113,000","-360,000","599,000",,
	OtherNonOperatingIncomeExpenses,"1,047,000","868,000","473,000","509,000","376,000","-152,000","797,000","692,000","395,000",,,,,,
PretaxIncome,"124,743,000","126,233,000","88,029,000","103,857,000","68,232,000","47,626,000","93,170,000","71,909,000","-58,435,000","68,864,000","48,090,000","33,542,000","45,791,000","52,441,000","22,530,000"
TaxProvision,"6,331,000","5,278,000","3,862,000","6,742,000","6,335,000","3,984,000","1,439,000","2,940,000","-1,968,000","4,535,000","3,767,000","2,238,000","3,962,000","2,702,000","1,076,000"
NetIncomeCommonStockholders,"118,412,000","120,955,000","84,167,000","97,115,000","61,897,000","43,642,000","91,731,000","68,969,000","-56,467,000","64,329,000","44,323,000","31,304,000","41,829,000","49,739,000","21,454,000"
	NetIncome,"118,412,000","120,955,000","84,167,000","97,115,000","61,897,000","43,642,000","91,731,000","68,969,000","-56,467,000","64,329,000","44,323,000","31,304,000","41,829,000","49,739,000","21,454,000"
		NetIncomeIncludingNoncontrollingInterests,"118,412,000","120,955,000","84,167,000","97,115,000","61,897,000","43,642,000","91,731,000","68,969,000","-56,467,000","64,329,000","44,323,000","31,304,000","41,829,000","49,739,000","21,454,000"
			NetIncomeContinuousOperations,"118,412,000","120,955,000","84,167,000","97,115,000","61,897,000","43,642,000","91,731,000","68,969,000","-56,467,000","64,329,000","44,323,000","31,304,000","41,829,000","49,739,000","21,454,000"
