name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
TotalAssets,"180,644,000,000","178,869,000,000","167,148,000,000","163,728,000,000","158,581,000,000","151,828,000,000","151,167,000,000","182,347,000,000","184,059,000,000","172,008,000,000"
	CashCashEquivalentsAndFederalFundsSold,"4,380,000,000","5,626,000,000","5,269,000,000","7,923,000,000","8,762,000,000","8,222,000,000","9,802,000,000","11,827,000,000","13,035,000,000","11,670,000,000"
		CashAndCashEquivalents,"3,555,000,000","4,537,000,000","4,363,000,000","6,118,000,000","6,632,000,000","5,879,000,000","5,933,000,000","7,955,000,000","13,035,000,000","11,670,000,000"
			CashEquivalents,"3,555,000,000","4,537,000,000","4,252,000,000","5,934,000,000","6,380,000,000","5,576,000,000","5,531,000,000","7,513,000,000","2,475,000,000","1,714,000,000"
			CashAndDueFromBanks,"3,555,000,000",,,,,,,,"10,560,000,000","9,956,000,000"
			InterestBearingDepositsAssets,,,"111,000,000","184,000,000","252,000,000","303,000,000","402,000,000","442,000,000",,
		RestrictedCashAndInvestments,"825,000,000","1,089,000,000","906,000,000","1,805,000,000","2,130,000,000","2,343,000,000","3,869,000,000","3,872,000,000",,
			RestrictedCashAndCashEquivalents,"825,000,000","1,089,000,000","906,000,000","1,805,000,000","2,130,000,000","2,343,000,000","3,869,000,000","3,872,000,000",,
	FederalHomeLoanBankStock,"1,232,000,000","1,410,000,000","1,233,000,000","1,046,000,000","418,000,000","271,000,000","337,000,000","303,000,000",,
	OtherRealEstateOwned,,,,,,,,"98,000,000",,
	SecuritiesAndInvestments,"33,298,000,000","29,087,000,000","24,720,000,000","19,765,000,000","17,157,000,000","16,137,000,000","17,083,000,000","14,332,000,000","25,032,000,000","24,214,000,000"
		TradingSecurities,,,,,,,,"0","622,000,000","240,000,000"
		AvailableForSaleSecurities,"1,446,000,000","1,422,000,000","24,720,000,000","19,765,000,000","17,157,000,000","16,137,000,000","17,083,000,000","14,332,000,000","24,410,000,000","23,974,000,000"
		HeldToMaturitySecurities,"1,568,000,000","2,362,000,000","1,899,000,000","839,000,000",,,,,,
		OtherShortTermInvestments,"30,284,000,000","25,303,000,000","22,821,000,000","18,926,000,000",,,,,,
	LongTermEquityInvestment,"358,000,000","262,000,000",,,,,,,,
	DerivativeAssets,"64,000,000","41,000,000","39,000,000","95,000,000","233,000,000","263,000,000","362,000,000","2,298,000,000",,
	NetLoan,"127,126,000,000","128,998,000,000","121,725,000,000","117,800,000,000","110,651,000,000","100,974,000,000","99,155,000,000","100,461,000,000","121,809,000,000","111,951,000,000"
		GrossLoan,"128,389,000,000","130,240,000,000","123,001,000,000","118,944,000,000","111,705,000,000","101,951,000,000","100,363,000,000","101,631,000,000","123,312,000,000","113,824,000,000"
