name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
TotalRevenue,"2,016,904,000","2,016,904,000","1,679,702,000","1,516,380,000","1,419,055,000","1,222,840,000","1,050,493,000","858,675,000","645,853,000","332,719,000"
	OperatingRevenue,"2,016,904,000","2,016,904,000","1,679,702,000","1,516,380,000","1,419,055,000","1,222,840,000","1,050,493,000","858,675,000","645,853,000","332,719,000"
CostOfRevenue,"702,810,000","702,810,000","581,985,000","508,352,000","452,682,000","397,760,000","336,657,000","280,037,000","216,219,000","0"
GrossProfit,"1,314,094,000","1,314,094,000","1,097,717,000","1,008,028,000","966,373,000","825,080,000","713,836,000","578,638,000","429,634,000","332,719,000"
OperatingExpense,"144,398,000","144,398,000","114,847,000","111,127,000","99,934,000","93,983,000","98,470,000","92,826,000","88,141,000","196,208,000"
	SellingGeneralAndAdministration,"144,398,000","144,398,000","114,847,000","111,127,000","99,934,000","93,983,000","98,470,000","92,826,000","88,141,000","83,901,000"
		GeneralAndAdministrativeExpense,"144,398,000","144,398,000","114,847,000","111,127,000","99,934,000","93,983,000","98,470,000","92,826,000","88,141,000","83,901,000"
			SalariesAndWages,"20,745,000","20,745,000","17,478,000","19,804,000","16,941,000","17,022,000","16,048,000","21,614,000","31,688,000","39,342,000"
			OtherGandA,"123,653,000","123,653,000","97,369,000","91,323,000","82,993,000","76,961,000","82,422,000","71,212,000","56,453,000","44,559,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,"112,307,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,"112,307,000"
			DepreciationIncomeStatement,,,,,,,,,,"112,307,000"
OperatingIncome,"1,169,696,000","1,169,696,000","982,870,000","896,901,000","866,439,000","731,097,000","615,366,000","485,812,000","341,493,000","136,511,000"
NetNonOperatingInterestIncomeExpense,"-434,011,000","-434,011,000","-342,732,000","-287,371,000","-286,201,000","-266,144,000","-220,590,000","-192,370,000","-137,520,000","-53,670,000"
	InterestIncomeNonOperating,,,,,,,,,"9,893,000","4,022,000"
	InterestExpenseNonOperating,"397,320,000","397,320,000","310,026,000","257,917,000","255,259,000","235,637,000","192,818,000","168,743,000","130,419,000","57,692,000"
	TotalOtherFinanceCost,"36,691,000","36,691,000","32,706,000","29,454,000","30,942,000","30,507,000","27,772,000","23,627,000","16,994,000",
OtherIncomeExpense,,,,,,"-72,000,000",,,,
	SpecialIncomeCharges,,,,"0","0","-72,000,000",,"0","0",
		OtherSpecialCharges,,,,,,"72,000,000",,,,
PretaxIncome,"735,685,000","735,685,000","640,138,000","609,530,000","580,238,000","392,953,000","394,776,000","293,442,000","203,973,000","82,841,000"
TaxProvision,"148,564,000","148,564,000","129,303,000","-146,622,000","205,313,000","139,562,000","138,778,000","103,031,000","72,054,000","29,609,000"
NetIncomeCommonStockholders,"575,163,000","575,163,000","510,835,000","756,152,000","374,925,000","253,391,000","255,998,000","190,411,000","131,919,000","53,232,000"
	NetIncome,"587,121,000","587,121,000","510,835,000","756,152,000","374,925,000","253,391,000","255,998,000","190,411,000","131,919,000","53,232,000"
		NetIncomeIncludingNoncontrollingInterests,"587,121,000","587,121,000","510,835,000","756,152,000","374,925,000","253,391,000","255,998,000","190,411,000","131,919,000","53,232,000"
			NetIncomeContinuousOperations,"587,121,000","587,121,000","510,835,000","756,152,000","374,925,000","253,391,000","255,998,000","190,411,000","131,919,000","53,232,000"
	PreferredStockDividends,"11,958,000","11,958,000",,,,,,,,
DilutedNIAvailtoComStockholders,"575,163,000","575,163,000","510,835,000","756,152,000","374,925,000","253,391,000","255,998,000","190,411,000","131,919,000","53,232,000"
BasicEPS,,,"4.88","7.33","3.65","2.47","2.51","1.88","1.31","0.59"
DilutedEPS,,,"4.6","6.82","3.44","2.34","2.38","1.8","1.28","0.59"
BasicAverageShares,,,"104,716,301","103,189,175","102,801,161","102,587,449","102,142,828","101,529,137","100,991,871","89,592,945"
DilutedAverageShares,,,"112,363,331","111,657,564","110,798,727","110,628,865","110,192,771","108,963,550","107,656,463","90,416,346"
TotalExpenses,"847,208,000","847,208,000","696,832,000","619,479,000","552,616,000","491,743,000","435,127,000","372,863,000","304,360,000","196,208,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"587,121,000","587,121,000","510,835,000","756,152,000","374,925,000","253,391,000","255,998,000","190,411,000","131,919,000","53,232,000"
NormalizedIncome,"587,121,000","587,121,000","510,835,000","756,152,000","374,925,000","299,831,000","255,998,000","190,411,000","131,919,000","53,232,000"
InterestIncome,,,,,,,,,"9,893,000","4,022,000"
InterestExpense,"397,320,000","397,320,000","310,026,000","257,917,000","255,259,000","235,637,000","192,818,000","168,743,000","130,419,000","57,692,000"
NetInterestIncome,"-434,011,000","-434,011,000","-342,732,000","-287,371,000","-286,201,000","-266,144,000","-220,590,000","-192,370,000","-137,520,000","-53,670,000"
EBIT,"1,133,005,000","1,133,005,000","950,164,000","867,447,000","835,497,000","628,590,000","587,594,000","462,185,000","334,392,000","140,533,000"
EBITDA,"1,835,815,000"
ReconciledCostOfRevenue,"702,810,000","702,810,000","581,985,000","508,352,000","452,682,000","397,760,000","336,657,000","280,037,000","216,219,000","0"
ReconciledDepreciation,"702,810,000","702,810,000","581,985,000","508,352,000","452,682,000","397,760,000","336,657,000","280,037,000","216,219,000","112,307,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"587,121,000","587,121,000","510,835,000","756,152,000","374,925,000","253,391,000","255,998,000","190,411,000","131,919,000","53,232,000"
