name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,06/30/2002,12/31/2001,06/30/2001,12/31/2000,06/30/2000,12/31/1999,06/30/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
TotalAssets,"263,184,000,000","273,294,000,000","267,441,000,000","267,500,000,000","264,863,000,000","256,762,000,000","264,302,000,000","252,005,000,000","257,016,000,000","242,631,000,000","236,508,000,000","233,905,000,000","231,009,000,000","230,978,000,000","229,505,000,000","225,346,000,000","224,159,000,000","224,484,000,000","229,125,000,000","234,476,000,000","227,921,000,000","229,798,000,000","246,576,000,000","248,770,000,000","243,392,000,000","239,568,891,712.005","230,190,130,486.999","221,004,631,557.036","225,466,140,764.266","227,244,954,638.03","223,013,315,185.989","216,003,494,157.414","223,690,353,907.928","212,622,642,732.163","213,211,006,682.24","217,906,623,235.613","211,634,145,652.726","191,139,779,225.961","196,984,109,678.65","178,475,166,934.737","182,481,977,204.688","183,037,709,897.415","179,551,910,967.931","174,977,552,051.181","162,776,782,752.902","164,699,167,525.127","179,189,000,000","190,239,000,000","179,001,563,511.742","165,804,000,000","165,493,000,000","154,093,966,999.201","150,491,000,000","138,873,000,000","141,050,000,000","143,257,000,000","142,671,000,000","125,621,000,000","133,301,000,000","126,475,000,000","128,029,000,000","114,004,000,000","114,842,000,000","109,945,000,000","116,491,000,000","100,529,000,000","100,741,000,000","98,821,000,000","99,886,000,000","89,621,000,000","84,789,000,000","78,969,000,000","80,829,000,000","82,655,000,000","79,951,000,000","81,727,000,000","38,264,000,000","27,138,800,000","25,184,000,000","30,513,300,000","28,334,100,000","25,250,800,000","22,738,400,000","20,928,200,000"
	CurrentAssets,"78,085,000,000","85,265,000,000","81,372,000,000","82,976,000,000","81,752,000,000","79,799,000,000","87,324,000,000","79,858,000,000","81,985,000,000","84,948,000,000","74,610,000,000","73,989,000,000","73,085,000,000","72,517,000,000","68,664,000,000","67,732,000,000","66,667,000,000","70,236,000,000","75,221,000,000","79,375,000,000","76,199,000,000","77,977,000,000","88,021,000,000","89,187,000,000","87,118,000,000","84,712,364,329.31","85,148,501,491.087","81,087,375,104.08","87,826,554,656.285","89,291,665,564.578","86,713,062,235.975","81,068,250,009.495","89,169,323,532.943","82,513,122,934.353","88,949,856,033.031","85,703,944,987.333","96,443,396,492.813","75,722,835,483.442","81,592,575,431.328","70,730,369,937.125","72,285,840,862.409","71,289,185,626.683","70,940,108,361.4","71,193,669,678.433","63,088,557,213.93","65,509,368,822.563","81,777,000,000","88,447,000,000","78,271,924,698.748","70,442,000,000","73,948,000,000","67,583,957,117.912","66,527,000,000","56,470,000,000","62,374,000,000","65,627,000,000","65,788,000,000","51,782,000,000","62,464,000,000","57,840,000,000","58,127,000,000","42,843,000,000","50,017,000,000","46,140,000,000","52,492,000,000","37,104,000,000","40,092,000,000","39,669,000,000","42,193,000,000","32,894,000,000","31,280,000,000","28,486,000,000","32,267,000,000","31,930,000,000","29,532,000,000","29,897,000,000","14,612,800,000","10,325,800,000","10,150,200,000","15,339,200,000","14,087,200,000","11,840,200,000","10,350,300,000","9,739,400,000"
		CashCashEquivalentsAndShortTermInvestments,"28,650,000,000","31,199,000,000","31,235,000,000","30,259,000,000","28,805,000,000","31,516,000,000","28,805,000,000","30,084,000,000","32,381,000,000","36,406,000,000","31,162,000,000","32,338,000,000","31,497,000,000","29,104,000,000","26,556,000,000","24,671,000,000","24,009,000,000","29,239,000,000","29,306,000,000","29,761,000,000","27,515,000,000","26,014,000,000","25,512,000,000","23,169,000,000","23,659,000,000","20,496,285,453.893","20,551,364,918.294","15,700,457,951.707","17,978,434,586.62","21,954,928,981.406","23,829,945,686.368","21,168,770,335.11","19,744,407,240.906","19,084,958,849.07","28,676,590,427.555","23,900,108,577.633","27,324,711,264.225","20,872,456,443.676","27,164,817,792.799","20,026,075,937.028","18,690,007,920.633","17,154,278,182.131","20,653,097,085.957","20,365,901,565.744","17,869,320,066.335","17,412,367,402.623","18,633,000,000","11,412,000,000","13,809,441,084.035","8,744,000,000","19,818,000,000","18,599,834,860.647","3,956,000,000","8,448,000,000","16,945,000,000","18,672,000,000","17,950,000,000","5,110,000,000","18,014,000,000","16,405,000,000","16,260,000,000","7,027,000,000","17,256,000,000","15,449,000,000","21,617,000,000","7,845,000,000","12,917,000,000","12,857,000,000","15,914,000,000","6,800,000,000","5,103,000,000","4,081,000,000","5,967,000,000","4,936,000,000","3,337,000,000","4,620,000,000","3,125,200,000","2,514,500,000","2,100,200,000","6,172,800,000","5,824,000,000","4,475,200,000","4,075,200,000","2,762,900,000"
			CashAndCashEquivalents,"21,634,000,000","27,352,000,000","27,454,000,000","26,723,000,000","25,432,000,000","27,907,000,000","25,252,000,000","26,475,000,000","30,092,000,000","33,185,000,000","28,583,000,000","28,720,000,000","27,526,000,000","24,597,000,000","24,801,000,000","22,653,000,000","20,570,000,000","23,269,000,000","25,858,000,000","27,322,000,000","25,051,000,000","25,181,000,000","24,307,000,000","22,166,000,000","22,787,000,000","20,225,634,510.757","20,093,918,253.336","15,036,948,376.353","17,179,336,133.593","20,457,851,720.581","21,613,744,045.403","18,987,453,949.284","17,782,105,838.881","18,177,694,251.831","27,084,804,693.866","19,380,383,640.97","24,464,179,820.97","19,269,849,714.058","24,867,126,386.655","18,072,817,663.401","17,390,487,186.027","16,708,693,907.96","20,171,328,159.321","20,061,451,259.891","17,670,315,091.211","17,152,044,992.622","18,633,000,000","11,412,000,000","13,172,981,253.652","8,744,000,000","4,014,000,000","3,868,592,390.054","3,956,000,000","3,290,000,000","16,945,000,000","18,672,000,000","17,950,000,000","5,110,000,000","18,014,000,000","16,405,000,000","16,260,000,000","5,198,000,000","15,570,000,000","13,781,000,000","19,903,000,000","6,080,000,000","11,271,000,000","10,947,000,000","14,292,000,000","5,216,000,000","3,831,000,000","3,186,000,000","5,211,000,000","4,332,000,000","2,758,000,000","3,977,000,000","2,370,500,000","1,782,800,000","2,100,200,000","6,172,800,000","5,824,000,000","4,475,200,000","4,075,200,000","2,762,900,000"
				CashFinancial,,"16,456,000,000",,,,"15,186,000,000",,,,"13,427,000,000",,,,"12,129,000,000",,,,"12,291,000,000",,,,"13,874,000,000",,,,"12,912,535,557.458",,,,"8,202,184,780.596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,"10,896,000,000",,,,"12,721,000,000",,,,"19,758,000,000",,,,"12,468,000,000",,,,"10,978,000,000",,,,"11,307,000,000",,,,"7,313,098,953.299",,,,"12,255,666,939.985",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"7,016,000,000","3,847,000,000","3,781,000,000","3,536,000,000","3,373,000,000","3,609,000,000","3,553,000,000","3,609,000,000","2,289,000,000","3,221,000,000","2,579,000,000","3,618,000,000","3,971,000,000","4,507,000,000","1,755,000,000","2,018,000,000","3,439,000,000","5,970,000,000","3,448,000,000","2,439,000,000","2,464,000,000","833,000,000","1,205,000,000","1,003,000,000","872,000,000","270,650,943.136","457,446,664.957","663,509,575.354","799,098,453.027","1,497,077,260.825","2,216,201,640.965","2,181,316,385.826","1,962,301,402.025","907,264,597.239","1,591,785,733.688","4,519,724,936.663","2,860,531,443.255","1,602,606,729.618","2,297,691,406.144","1,953,258,273.627","1,299,520,734.605","445,584,274.17","481,768,926.636","304,450,305.853","199,004,975.124","260,322,410.001",,,"636,459,830.383",,"15,804,000,000","14,731,242,470.593",,"5,158,000,000",,,,,,,,"1,829,000,000","1,686,000,000","1,668,000,000","1,714,000,000","1,765,000,000","1,646,000,000","1,910,000,000","1,622,000,000","1,584,000,000","1,272,000,000","895,000,000","756,000,000","604,000,000","579,000,000","643,000,000","754,700,000","731,700,000",,,,,,
		Receivables,"18,029,000,000","34,253,000,000","18,568,000,000","20,349,000,000","19,321,000,000","31,093,000,000","20,010,000,000","16,974,000,000","17,774,000,000","28,258,000,000","13,738,000,000","12,923,000,000","12,235,000,000","25,611,000,000","11,501,000,000","11,933,000,000","12,220,000,000","24,866,000,000","12,306,000,000","14,415,000,000","15,458,000,000","29,738,000,000","20,511,000,000","21,698,000,000","23,359,000,000","36,809,909,138.612","24,864,047,930.695","25,451,446,711.074","28,166,939,862.719","37,241,780,622.636","26,105,211,797.486","25,026,269,480.561","30,429,678,641.463","38,771,304,516.882","25,514,749,823.437","26,445,168,295.331","27,896,535,170.7","32,973,799,707.408","35,115,429,692.823","22,168,201,978.847","24,058,585,831.465","32,981,832,769.786","20,790,745,350.71","21,362,029,294.573","19,820,895,522.388","21,281,008,992.956","28,142,000,000","34,425,000,000","29,476,144,601.147","38,397,000,000","25,979,000,000","23,043,707,784.561","24,215,000,000","28,203,000,000","21,529,000,000","22,652,000,000","23,796,000,000","25,026,000,000","21,320,000,000","20,843,000,000","21,501,000,000","20,827,000,000","18,209,000,000","17,320,000,000","17,569,000,000","18,903,000,000","14,107,000,000","14,261,000,000","14,707,000,000","13,745,000,000","13,964,000,000","12,030,000,000","14,099,000,000","13,474,000,000","14,017,000,000","13,453,000,000","5,509,100,000","3,658,600,000","3,879,600,000","4,606,100,000","4,406,700,000","3,683,800,000","3,010,900,000","3,228,500,000"
			AccountsReceivable,"18,029,000,000","18,488,000,000","18,568,000,000","20,349,000,000","19,321,000,000","17,270,000,000","20,010,000,000","16,974,000,000","17,774,000,000","14,893,000,000","13,738,000,000","12,923,000,000","12,235,000,000","12,213,000,000","11,501,000,000","11,933,000,000","12,220,000,000","10,629,000,000","12,306,000,000","14,415,000,000","15,458,000,000","15,704,000,000","20,511,000,000","21,698,000,000","23,359,000,000","23,452,732,746.002","24,864,047,930.695","25,451,446,711.074","28,166,939,862.719","25,400,058,190.282","26,105,211,797.486","25,026,269,480.561","30,429,678,641.463","25,985,354,157.216","25,514,749,823.437","26,445,168,295.331","27,896,535,170.7","24,150,817,927.916","23,760,527,678.596","22,168,201,978.847","24,058,585,831.465","22,521,347,928.248","20,790,745,350.71","21,362,029,294.573","19,820,895,522.388","21,281,008,992.956","28,142,000,000","34,425,000,000","29,476,144,601.147","27,934,000,000","25,979,000,000","23,043,707,784.561","24,215,000,000","22,955,000,000","21,529,000,000","22,652,000,000","23,796,000,000","23,211,000,000","21,320,000,000","20,843,000,000","21,501,000,000","18,998,000,000","18,209,000,000","17,320,000,000","17,569,000,000","15,535,000,000","14,107,000,000","14,261,000,000","14,707,000,000","13,745,000,000","13,964,000,000","12,030,000,000","14,099,000,000","13,474,000,000",,,,,,,,,,
				GrossAccountsReceivable,,"19,162,000,000",,,,"17,894,000,000",,,,"15,469,000,000",,,,"12,809,000,000",,,,"11,173,000,000",,,,"16,306,000,000",,,,"24,197,022,839.626",,,,,,,,"26,611,366,729.311",,,,"24,783,880,835.217",,,,"23,191,873,459.797",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-674,000,000",,,,"-624,000,000",,,,"-576,000,000",,,,"-596,000,000",,,,"-544,000,000",,,,"-602,000,000",,,,"-744,290,093.623",,,,,,,,"-626,012,572.095",,,,"-633,062,907.302",,,,"-670,525,531.549",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,"4,114,000,000",,,,"4,090,000,000",,,,"4,029,000,000",,,,"3,180,000,000",,,,"3,328,000,000",,,,"3,242,000,000",,,,"3,427,324,698.279",,,,"3,697,727,933.98",,,,"3,108,029,291.686",,,,"2,961,830,030.589",,,,"3,089,002,235.085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,"11,651,000,000",,,,"10,306,000,000",,,,"9,336,000,000",,,,"10,218,000,000",,,,"10,909,000,000",,,,"10,792,000,000",,,,"9,929,851,694.33",,,,"8,143,994,498.373",,,,"9,677,921,067.98",,,,"6,042,026,865.275","11,354,902,014.228",,,"7,470,342,139.951",,,,,,,,"10,463,000,000",,,,"5,248,000,000",,,,"1,815,000,000",,,,"1,829,000,000",,,,"3,368,000,000",,,,,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,,,,,,"-573,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-180,875,116.372",,,,"-98,859,533.498",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
