name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992
OtherIncomeExpense,"-1,800,000","-1,800,000",,,,,,,,,,,,,,,,,,,,"0",,,"-21,800,000",,,,,,,,,,,,,,,,,,"3,000","3,000","3,000","-10,000","-2,000",,,,,,,,,,,"793,000","-8,000","382,000","645,000",,,,"151,000","-1,730,000","-1,066,000","-10,493,000",,,"-25,000",,,,"-6,000","-39,000","7,000",,,,,,"100,000","14,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	GainOnSaleOfSecurity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,000","3,000","3,000","-10,000","-2,000",,,,,,,,,,,"793,000","-8,000","382,000","645,000",,,,"151,000","-1,730,000","-1,066,000",,,,,,,,,,"7,000",,,,,,"100,000","14,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-1,800,000","-1,800,000",,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","-21,800,000",,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,"-10,493,000",,,"-25,000",,,,"-6,000","-39,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,"1,800,000","1,800,000",,,,,,,,,,,,,,,,,,,,"0",,,"21,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"855,900,000","215,200,000","219,100,000","215,300,000","206,300,000","201,000,000","198,400,000","198,000,000","157,700,000","122,400,000","160,100,000","157,100,000","144,200,000","141,600,000","136,500,000","134,700,000","118,400,000","125,900,000","117,900,000","117,400,000","113,300,000","116,400,000","115,300,000","109,200,000","80,000,000","103,500,000","102,200,000","97,400,000","95,100,000","91,278,000","83,862,000","89,133,000","78,827,000","79,858,000","78,666,000","70,633,000","67,261,000","69,208,000","65,196,000","66,636,000","52,457,000","63,706,000","62,303,000","57,074,000","45,955,000","29,893,000","32,937,000","16,470,000","27,712,000","18,445,000","21,386,000","20,431,000","22,686,000","12,235,000","24,209,000","27,063,000","27,133,000","32,179,000","24,102,000","27,050,000","25,025,000","45,780,000","19,898,000","19,796,000","2,408,000","14,900,000","13,573,000","2,057,000","13,335,000","6,627,000","14,356,000","13,357,000","14,240,000","15,073,000","11,582,000","11,742,000","9,980,000","8,618,000","9,222,000","9,443,000","8,706,000","5,773,000","-51,700,000","22,000,000","8,300,000","7,525,000","8,200,000","11,300,000","10,500,000","7,803,000","-42,700,000","17,900,000","18,300,000","17,635,000","16,200,000","15,500,000","14,200,000","13,600,000","11,700,000","10,800,000","9,400,000","9,100,000","8,600,000","7,600,000","6,200,000","5,500,000","5,000,000","4,700,000","3,900,000","3,400,000","3,200,000","2,500,000","2,000,000"
TaxProvision,"199,800,000","53,300,000","53,700,000","50,900,000","41,900,000","49,100,000","47,400,000","47,000,000","37,600,000","-54,700,000","59,400,000","58,000,000","50,900,000","54,000,000","50,600,000","49,800,000","44,000,000","45,900,000","43,900,000","43,200,000","41,800,000","43,400,000","41,300,000","39,800,000","30,200,000","37,600,000","37,100,000","35,900,000","34,500,000","31,417,000","30,874,000","32,620,000","28,489,000","29,809,000","28,706,000","25,789,000","24,070,000","22,228,000","23,149,000","17,571,000","20,442,000","23,634,000","21,491,000","20,924,000","16,943,000","11,116,000","12,606,000","6,091,000","10,131,000","6,180,000","7,917,000","7,938,000","7,299,000","3,726,000","8,775,000","9,364,000","9,928,000","11,343,000","9,508,000","9,997,000","9,311,000","15,333,000","7,156,000","7,190,000","878,000","5,138,000","4,755,000","1,049,000","4,498,000","1,221,000","4,925,000","4,807,000","7,926,000","7,833,000","3,937,000","4,013,000","3,391,000","2,951,000","3,118,000","3,290,000","2,980,000","1,959,000","-18,100,000","8,200,000","2,900,000","2,459,000","2,600,000","3,900,000","3,600,000","2,666,000","-15,000,000","5,800,000","6,300,000","6,126,000","5,600,000","5,400,000","5,000,000","4,800,000","4,100,000","3,800,000","3,200,000","3,100,000","3,000,000","2,700,000","2,200,000","1,900,000","1,900,000","1,600,000","1,300,000","1,100,000","1,100,000","300,000","700,000"
NetIncomeCommonStockholders,"656,100,000","161,900,000","165,400,000","164,400,000","164,400,000","151,900,000","151,000,000","151,000,000","120,100,000","177,100,000","100,700,000","99,100,000","93,300,000","87,600,000","85,900,000","84,900,000","74,400,000","80,000,000","74,000,000","74,200,000","71,500,000","73,000,000","74,000,000","69,400,000","49,800,000","65,900,000","65,100,000","61,500,000","60,600,000","59,861,000","52,988,000","56,513,000","50,338,000","50,049,000","49,960,000","44,844,000","43,191,000","46,980,000","42,047,000","49,040,000","32,010,000","40,335,000","40,734,000","36,185,000","29,001,000","18,556,000","20,657,000","10,344,000","17,620,000","12,484,000","14,742,000","12,330,000","15,360,000","8,495,000","15,342,000","17,606,000","17,197,000","25,240,000","14,594,000","17,053,000","15,714,000","30,447,000","12,742,000","12,606,000","1,530,000","9,762,000","8,818,000","1,008,000","8,837,000","5,406,000","9,431,000","8,550,000","6,314,000","7,240,000","7,645,000","7,729,000","6,589,000","5,667,000","6,104,000","6,153,000","5,726,000","3,814,000","-33,600,000","13,800,000","5,400,000","5,066,000","5,600,000","7,400,000","6,900,000","5,137,000","-27,700,000","12,100,000","12,000,000","11,509,000","10,600,000","10,100,000","9,200,000","8,800,000","7,600,000","7,000,000","6,200,000","6,000,000","5,600,000","4,900,000","4,000,000","3,600,000","3,100,000","3,100,000","2,600,000","2,300,000","2,100,000","2,200,000","1,300,000"
	NetIncome,"656,100,000","161,900,000","165,400,000","164,400,000","164,400,000","151,900,000","151,000,000","151,000,000","120,100,000","177,100,000","100,700,000","99,100,000","93,300,000","87,600,000","85,900,000","84,900,000","74,400,000","80,000,000","74,000,000","74,200,000","71,500,000","73,000,000","74,000,000","69,400,000","49,800,000","65,900,000","65,100,000","61,500,000","60,600,000","59,861,000","52,988,000","56,513,000","50,338,000","50,049,000","49,960,000","44,844,000","43,191,000","46,980,000","42,047,000","49,040,000","32,010,000","40,335,000","40,734,000","36,185,000","29,001,000","18,556,000","20,657,000","10,344,000","17,620,000","12,484,000","14,742,000","12,330,000","15,360,000","8,495,000","15,342,000","17,606,000","17,197,000","25,240,000","14,594,000","17,053,000","15,714,000","30,447,000","12,742,000","12,606,000","1,530,000","9,762,000","8,818,000","1,008,000","8,837,000","5,406,000","9,431,000","8,550,000","6,314,000","7,240,000","7,645,000","7,729,000","6,589,000","5,667,000","6,104,000","6,153,000","5,726,000","3,814,000","-33,600,000","13,800,000","5,400,000","5,066,000","5,600,000","7,400,000","6,900,000","5,137,000","-27,700,000","12,100,000","12,000,000","11,509,000","10,600,000","10,100,000","9,200,000","8,800,000","7,600,000","7,000,000","6,200,000","6,000,000","5,600,000","4,900,000","4,000,000","3,600,000","3,100,000","3,100,000","2,600,000","2,300,000","2,100,000","2,200,000","1,300,000"
		NetIncomeIncludingNoncontrollingInterests,"656,100,000","161,900,000","165,400,000","164,400,000","164,400,000","151,900,000","151,000,000","151,000,000","120,100,000","177,100,000","100,700,000","99,100,000","93,300,000","87,600,000","85,900,000","84,900,000","74,400,000","80,000,000","74,000,000","74,200,000","71,500,000","73,000,000","74,000,000","69,400,000","49,800,000","65,900,000","65,100,000","61,500,000","60,600,000","59,861,000","52,988,000","56,513,000","50,338,000","50,049,000","49,960,000","44,844,000","43,191,000","46,980,000","42,047,000","49,040,000","32,010,000","40,335,000","40,734,000","36,185,000","29,001,000","18,556,000","20,657,000","10,344,000","17,620,000","12,484,000","14,742,000","12,330,000","15,360,000","8,495,000","15,342,000","17,606,000","17,197,000","25,240,000","14,594,000","17,053,000","15,714,000","30,447,000","12,742,000","12,606,000","1,530,000","9,762,000","8,818,000","1,008,000","8,837,000","5,406,000","9,431,000","8,550,000","6,314,000","7,240,000","7,645,000","7,729,000","6,589,000","5,667,000","6,104,000","6,153,000","5,726,000","3,814,000","-33,600,000","13,800,000","5,400,000","5,066,000","5,600,000","7,400,000","6,900,000","5,137,000","-27,700,000","12,100,000","12,000,000","11,509,000","10,600,000","10,100,000","9,200,000","8,800,000","7,600,000","7,000,000","6,200,000","6,000,000","5,600,000","4,900,000","4,000,000","3,600,000","3,100,000","3,100,000","2,600,000","2,300,000","2,100,000","2,200,000","1,300,000"
			NetIncomeContinuousOperations,"656,100,000","161,900,000","165,400,000","164,400,000","164,400,000","151,900,000","151,000,000","151,000,000","120,100,000","177,100,000","100,700,000","99,100,000","93,300,000","87,600,000","85,900,000","84,900,000","74,400,000","80,000,000","74,000,000","74,200,000","71,500,000","73,000,000","74,000,000","69,400,000","49,800,000","65,900,000","65,100,000","61,500,000","60,600,000","59,861,000","52,988,000","56,513,000","50,338,000","50,049,000","49,960,000","44,844,000","43,191,000","46,980,000","42,047,000","49,065,000","32,015,000","40,072,000","40,812,000","36,150,000","29,012,000","18,777,000","20,331,000","10,379,000","17,581,000","12,265,000","13,469,000","12,493,000","15,387,000","8,509,000","15,434,000","17,699,000","17,205,000","20,836,000","14,594,000","17,053,000","15,714,000","30,447,000","12,742,000","12,606,000","1,530,000","9,762,000","8,818,000","1,008,000","8,837,000","5,406,000","9,431,000","8,550,000","6,314,000","7,240,000","7,645,000","7,729,000","6,589,000","5,667,000","6,104,000","6,153,000","5,726,000","3,814,000","-33,600,000","13,800,000","5,400,000","5,066,000","5,600,000","7,400,000","6,900,000","5,137,000","-27,700,000","12,100,000","12,000,000","11,509,000","10,600,000","10,100,000","9,200,000","8,800,000","7,600,000","7,000,000","6,200,000","6,000,000","5,600,000","4,900,000","4,000,000","3,600,000","3,100,000","3,100,000","2,600,000","2,300,000","2,100,000","2,200,000","1,300,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","-25,000","-5,000","263,000","-78,000","35,000","-11,000","-221,000","326,000","-35,000","39,000","2,945,000","-1,291,000","-163,000","-27,000","-14,000","-92,000","-93,000","-8,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"656,100,000","161,900,000","165,400,000","164,400,000","164,400,000","151,900,000","151,000,000","151,000,000","120,100,000","177,100,000","100,700,000","99,100,000","93,300,000","87,600,000","85,900,000","84,900,000","74,400,000","80,000,000","74,000,000","74,200,000","71,500,000","73,000,000","74,000,000","69,400,000","49,800,000","65,900,000","65,100,000","61,500,000","60,600,000","59,861,000","52,988,000","56,513,000","50,338,000","50,049,000","49,960,000","44,844,000","43,191,000","46,980,000","42,047,000","49,040,000","32,010,000","40,335,000","40,734,000","36,185,000","29,001,000","18,556,000","20,657,000","10,344,000","17,620,000","12,484,000","14,742,000","12,330,000","15,360,000","8,495,000","15,342,000","17,606,000","17,197,000","25,240,000","14,594,000","17,053,000","15,714,000","30,447,000","12,742,000","12,606,000","1,530,000","9,762,000","8,818,000","1,008,000","8,837,000","5,406,000","9,431,000","8,550,000","6,314,000","7,240,000","7,645,000","7,729,000","6,589,000","5,667,000","6,104,000","6,153,000","5,726,000","3,814,000","-33,600,000","13,800,000","5,400,000","5,066,000","5,600,000","7,400,000","6,900,000","5,137,000","-27,700,000","12,100,000","12,000,000","11,509,000","10,600,000","10,100,000","9,200,000","8,800,000","7,600,000","7,000,000","6,200,000","6,000,000","5,600,000","4,900,000","4,000,000","3,600,000","3,100,000","3,100,000","2,600,000","2,300,000","2,100,000","2,200,000","1,300,000"
BasicEPS,,"8.63","8.73","8.68","8.67","7.82","7.76","7.76","6.18","9.13","5.19","5.09","4.73","4.35","4.22","4.17","3.64","3.86","3.53","3.54","3.42","3.46","3.38","3.06","2.12","2.81","2.75","2.57","2.49","2.42","2.13","2.18","1.92",,"1.92","1.73","1.59",,"1.5","1.57","1.03",,"1.33","1.18","0.95",,"0.68","0.34","0.59",,"0.49","0.41","0.51",,"0.46","0.53","0.48",,"0.39","0.46","0.43",,"0.33","0.32","0.04",,"0.21","0.02","0.21",,"0.22","0.2","0.15",,"0.18","0.18","0.16",,"0.14","0.14","0.13",,"-0.73","0.3","0.12",,"0.12","0.16","0.15",,"-0.6","0.26","0.26",,"0.23","0.22","0.2",,"0.18","0.17","0.15",,"0.14","0.12","0.1",,"0.08","0.08","0.06",,"0.05","0.07","0.05"
DilutedEPS,,"8.6","8.73","8.68","8.65","7.79","7.75","7.75","6.17","9.1","5.19","5.09","4.72","4.33","4.21","4.17","3.63","3.84","3.53","3.54","3.41","3.45","3.38","3.06","2.12","2.8","2.75","2.56","2.48","2.4","2.12","2.18","1.92",,"1.91","1.72","1.57",,"1.48","1.55","1.01",,"1.29","1.15","0.93",,"0.67","0.33","0.57",,"0.47","0.39","0.49",,"0.44","0.5","0.45",,"0.38","0.44","0.4",,"0.31","0.3","0.04",,"0.2","0.02","0.21",,"0.22","0.2","0.15",,"0.18","0.18","0.15",,"0.14","0.14","0.13",,"-0.73","0.3","0.12",,"0.12","0.16","0.15",,"-0.6","0.26","0.26",,"0.23","0.22","0.2",,"0.18","0.17","0.15",,"0.14","0.12","0.1",,"0.08","0.08","0.06",,"0.05","0.07","0.05"
BasicAverageShares,,"18,758,168","18,944,672","18,944,672","18,955,191","19,415,436","19,465,563","19,465,563","19,437,735","19,407,344","19,407,344","19,458,155","19,722,491","20,134,406","20,379,557","20,379,557","20,435,201","20,751,778","20,946,827","20,946,827","20,922,620","21,109,349","21,888,591","22,653,393","23,463,380","23,438,153","23,672,635","23,974,099","24,330,027","24,756,286","24,908,000","25,926,000","26,158,000",,"26,033,000","25,975,000","27,196,000",,"28,063,104","31,172,229","31,042,495",,"30,658,969","30,600,531","30,479,665",,"30,310,053","30,252,873","30,106,881",,"30,015,048","30,140,590","30,054,349",,"33,093,592","32,979,572","36,146,994",,"37,020,020","37,016,038","36,900,449",,"38,679,011","39,240,321","39,791,700",,"42,315,027","42,321,170","42,328,841",,"42,363,895","42,535,312","42,437,481",,"41,997,434","42,020,176","42,442,064",,"43,013,682","44,532,373","45,363,107",,"46,027,397","46,000,000","45,000,000",,"46,666,667","46,250,000","46,000,000",,"46,166,667","46,538,462","46,153,846",,"46,086,957","45,909,091","46,000,000",,"42,222,222","41,176,471","41,333,333",,"40,000,000","40,833,333","40,000,000",,"38,750,000","38,750,000","43,333,333",,"42,000,000","31,428,571","41,158,000"
DilutedAverageShares,,"18,827,222","18,950,866","18,949,962","19,004,498","19,500,601","19,473,978","19,472,164","19,473,563","19,471,638","19,415,545","19,463,521","19,772,658","20,208,838","20,384,624","20,382,804","20,485,832","20,842,876","20,952,711","20,951,832","20,948,676","21,171,235","21,895,222","22,658,891","23,528,466","23,575,786","23,708,043","24,017,273","24,426,127","24,926,004","24,962,000","25,980,000","26,284,000",,"26,136,000","26,111,000","27,489,000",,"28,451,721","31,601,027","31,584,326",,"31,539,119","31,423,187","31,180,146",,"31,024,455","31,088,428","30,891,227",,"31,139,612","31,312,139","31,283,695",,"35,074,557","35,433,944","38,609,257",,"38,912,822","39,064,886","39,457,287",,"40,943,604","41,413,308","42,159,338",,"43,959,924","42,868,265","42,407,981",,"43,122,046","43,821,716","43,497,889",,"43,594,725","42,752,287","42,851,520",,"43,424,885","44,863,668","45,630,601",,"46,027,397","46,000,000","45,000,000",,"46,666,667","46,250,000","46,000,000",,"46,166,667","46,538,462","46,153,846",,"46,086,957","45,909,091","46,000,000",,"42,222,222","41,176,471","41,333,333",,"40,000,000","40,833,333","40,000,000",,"38,750,000","38,750,000","43,333,333",,"42,000,000","31,428,571","41,158,000"
TotalExpenses,"435,100,000","117,900,000","109,200,000","105,500,000",,"99,500,000","92,500,000","78,700,000","103,400,000","132,700,000","93,300,000","89,000,000","91,000,000","88,400,000","85,000,000","79,500,000","87,400,000","70,800,000","71,900,000","66,100,000","66,000,000","54,800,000","52,900,000","57,300,000","59,100,000","55,100,000","54,400,000","55,800,000","53,600,000","51,809,000","55,527,000","46,999,000","48,365,000","43,055,000","40,473,000","44,382,000","43,628,000","34,483,000","34,427,000","32,876,000","39,100,000","27,373,000","29,824,000","28,017,000","34,013,000","44,906,000","36,214,000","48,651,000","32,189,000","34,904,000","30,668,000","37,889,000","34,669,000","43,570,000","31,194,000","28,024,000","25,898,000","18,682,000","28,258,000","24,010,000","23,774,000","10,845,000","23,975,000","22,399,000","35,538,000","20,395,000","21,223,000","23,436,000","23,609,000","27,823,000","28,027,000","25,230,000","24,549,000","23,347,000","25,232,000","25,490,000","24,766,000","23,385,000","21,947,000","21,699,000","20,747,000","201,616,000","-63,500,000","-900,000","-800,000","121,408,000","-4,300,000","-5,600,000","-6,800,000","244,391,000","-65,200,000","-8,500,000","-7,800,000","71,726,000","-4,300,000","-3,500,000","-3,500,000","-2,700,000","-2,400,000","-2,000,000","-1,900,000","-1,700,000","-1,600,000","-1,100,000","-800,000","-700,000","-500,000","-100,000","-600,000","1,700,000","-600,000","-500,000","-500,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"656,100,000","161,900,000","165,400,000","164,400,000","164,400,000","151,900,000","151,000,000","151,000,000","120,100,000","177,100,000","100,700,000","99,100,000","93,300,000","87,600,000","85,900,000","84,900,000","74,400,000","80,000,000","74,000,000","74,200,000","71,500,000","73,000,000","74,000,000","69,400,000","49,800,000","65,900,000","65,100,000","61,500,000","60,600,000","59,861,000","52,988,000","56,513,000","50,338,000","50,049,000","49,960,000","44,844,000","43,191,000","46,980,000","42,047,000","49,040,000","32,010,000","40,335,000","40,734,000","36,185,000","29,001,000","18,556,000","20,657,000","10,344,000","17,620,000","12,484,000","14,742,000","12,330,000","15,360,000","8,495,000","15,342,000","17,606,000","17,197,000","25,240,000","14,594,000","17,053,000","15,714,000","30,447,000","12,742,000","12,606,000","1,530,000","9,762,000","8,818,000","1,008,000","8,837,000","5,406,000","9,431,000","8,550,000","6,314,000","7,240,000","7,645,000","7,729,000","6,589,000","5,667,000","6,104,000","6,153,000","5,726,000","3,814,000","-33,600,000","13,800,000","5,400,000","5,066,000","5,600,000","7,400,000","6,900,000","5,137,000","-27,700,000","12,100,000","12,000,000","11,509,000","10,600,000","10,100,000","9,200,000","8,800,000","7,600,000","7,000,000","6,200,000","6,000,000","5,600,000","4,900,000","4,000,000","3,600,000","3,100,000","3,100,000","2,600,000","2,300,000","2,100,000","2,200,000","1,300,000"
NormalizedIncome,"657,480,600","161,900,000","165,400,000","164,400,000","164,400,000","151,900,000","151,000,000","151,000,000","120,100,000","177,100,000","100,700,000","99,100,000","93,300,000","87,600,000","85,900,000","84,900,000","74,400,000","80,000,000","74,000,000","74,200,000","71,500,000","73,000,000","74,000,000","69,400,000","63,359,600","65,900,000","65,100,000","61,500,000","60,600,000","59,861,000","52,988,000","56,513,000","50,338,000","50,049,000","49,960,000","44,844,000","43,191,000","46,980,000","42,047,000","49,065,000","32,015,000","40,072,000","40,810,034.83","36,148,099.835","29,010,106.06","18,783,281.404","20,332,234.539","10,379,000","17,581,000","9,539,000","16,033,000","12,493,000","15,387,000","8,509,000","15,434,000","17,699,000","17,205,000","20,322,530.097","14,598,844.079","16,812,177.597","15,308,983.816","30,447,000","12,742,000","12,606,000","1,434,057.309","10,895,440.268","9,510,550.505","7,303,800","8,837,000","5,406,000","9,447,423.447","8,550,000","6,314,000","7,240,000","7,648,960.456","7,754,671.18","6,584,378.457","5,667,000","6,104,000","6,153,000","5,726,000","3,814,000","-33,664,990.329","4,579,090.909","5,400,000","5,066,000","5,600,000","7,400,000","6,900,000","5,137,000","-27,700,000","12,100,000","12,000,000","11,509,000","10,600,000","10,100,000","9,200,000","8,800,000","7,600,000","7,000,000","6,200,000","6,000,000","5,600,000","4,900,000","4,000,000","3,600,000","3,100,000","3,100,000","2,600,000","2,300,000","2,100,000","2,200,000","1,300,000"
InterestExpense,"196,200,000","51,000,000","50,400,000","49,800,000","45,000,000","42,300,000","41,100,000","38,700,000","34,500,000","32,200,000","30,500,000","29,900,000","27,600,000","26,200,000","25,100,000","24,300,000","22,100,000","21,100,000","20,400,000","19,600,000","14,900,000","13,900,000","13,500,000","13,300,000","16,000,000","16,700,000","16,100,000","16,200,000","16,000,000","16,250,000","16,289,000","15,649,000","15,212,000","15,063,000","14,600,000","14,950,000","12,623,000","11,742,000","12,038,000","12,267,000","11,705,000","9,047,000","8,144,000","7,285,000","7,923,000","11,487,000","10,954,000","9,884,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-196,200,000","-51,000,000","-50,400,000","-49,800,000",,"-42,300,000","-41,100,000","-38,700,000","-34,500,000","-32,200,000","-30,500,000","-29,900,000","-27,600,000","-26,200,000","-25,100,000","-24,300,000","-22,100,000","-21,100,000","-20,400,000","-19,600,000","-14,900,000","-13,900,000","-13,500,000","-13,300,000","-16,000,000","-16,700,000","-16,100,000","-16,200,000","-16,000,000","-16,250,000","-16,289,000","-15,649,000","-15,212,000","-15,063,000","-14,600,000","-14,950,000","-12,623,000","-11,742,000","-12,038,000","-12,267,000","-11,705,000","-9,047,000","-8,144,000","-7,285,000","-7,923,000","-11,487,000","-10,954,000","-9,884,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBIT,"1,052,100,000","266,200,000","269,500,000","265,100,000","251,300,000","243,300,000","239,500,000","236,700,000","192,200,000","154,600,000","190,600,000","187,000,000","171,800,000","167,800,000","161,600,000","159,000,000","140,500,000","147,000,000","138,300,000","137,000,000","128,200,000","130,300,000","128,800,000","122,500,000","96,000,000","120,200,000","118,300,000","113,600,000","111,100,000","107,528,000","100,151,000","104,782,000","94,039,000","94,921,000","93,266,000","85,583,000","79,884,000","80,950,000","77,234,000","78,903,000","64,162,000","72,753,000","70,447,000","64,359,000","53,878,000","41,380,000","43,891,000","26,354,000","38,589,000","28,328,000","30,390,000","20,397,000","22,682,000","12,253,000","24,208,000","27,057,000","27,128,000","31,386,000","24,110,000","26,668,000","24,380,000","45,861,000","19,224,000","18,890,000","2,257,000","16,630,000","14,639,000","12,536,000","13,320,000","6,631,000","14,406,000","13,359,000","14,223,000","15,034,000","11,594,000","11,820,000","9,973,000","8,544,000","9,227,000","9,509,000","8,720,000","-175,561,000","87,800,000","40,300,000","26,600,000","-69,359,000","31,500,000","36,600,000","38,700,000","-187,956,000","98,900,000","46,600,000","43,900,000","-27,492,000","33,000,000","30,000,000","28,000,000","25,000,000","22,100,000","20,300,000","17,800,000","16,500,000","15,900,000","13,600,000","10,800,000","9,400,000","8,500,000","7,400,000","6,700,000","3,800,000","5,600,000","4,700,000","4,200,000"
EBITDA,"1,074,500,000"
ReconciledCostOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReconciledDepreciation,"22,400,000","5,800,000","5,900,000","5,600,000","5,100,000","5,600,000","5,000,000","4,700,000","4,200,000","4,200,000","3,900,000","4,200,000","4,100,000","3,800,000","3,900,000","3,800,000","3,800,000","3,500,000","3,700,000","3,300,000","3,700,000","3,500,000","3,500,000","3,200,000","3,000,000","3,600,000","3,300,000","3,100,000","3,200,000","8,510,000","1,203,000","1,250,000","1,237,000","2,627,000","5,382,000","-448,000","2,488,000","2,378,000","6,116,000","1,287,000","1,299,000","1,200,000","1,216,000","1,352,000","1,371,000","1,373,000","1,398,000","1,340,000","1,231,000","1,107,000","926,000","1,024,000","1,048,000","1,086,000","1,065,000","1,203,000","1,270,000","1,252,000","1,252,000","1,402,000","1,303,000","1,389,000","1,361,000","1,476,000","1,555,000","2,151,000","1,582,000","2,304,000","2,642,000","-6,759,000","3,235,000","4,471,000","3,771,000","1,376,000","1,074,000","1,164,000","1,038,000","836,000","800,000","1,065,000","1,026,000","2,797,000","700,000","600,000","600,000","1,393,000","500,000","1,000,000","900,000","1,050,000","500,000","500,000","500,000","369,000","600,000","100,000","300,000","300,000","200,000","200,000","200,000","200,000","100,000","200,000","100,000","100,000","0","100,000","100,000","0","100,000","0","100,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"656,100,000","161,900,000","165,400,000","164,400,000","164,400,000","151,900,000","151,000,000","151,000,000","120,100,000","177,100,000","100,700,000","99,100,000","93,300,000","87,600,000","85,900,000","84,900,000","74,400,000","80,000,000","74,000,000","74,200,000","71,500,000","73,000,000","74,000,000","69,400,000","49,800,000","65,900,000","65,100,000","61,500,000","60,600,000","59,861,000","52,988,000","56,513,000","50,338,000","50,049,000","49,960,000","44,844,000","43,191,000","46,980,000","42,047,000","49,065,000","32,015,000","40,072,000","40,812,000","36,150,000","29,012,000","18,777,000","20,331,000","10,379,000","17,581,000","9,539,000","16,033,000","12,493,000","15,387,000","8,509,000","15,434,000","17,699,000","17,205,000","20,836,000","14,594,000","17,053,000","15,714,000","30,447,000","12,742,000","12,606,000","1,530,000","9,762,000","8,818,000","1,008,000","8,837,000","5,406,000","9,431,000","8,550,000","6,314,000","7,240,000","7,645,000","7,729,000","6,589,000","5,667,000","6,104,000","6,153,000","5,726,000","3,814,000","-33,600,000","13,800,000","5,400,000","5,066,000","5,600,000","7,400,000","6,900,000","5,137,000","-27,700,000","12,100,000","12,000,000","11,509,000","10,600,000","10,100,000","9,200,000","8,800,000","7,600,000","7,000,000","6,200,000","6,000,000","5,600,000","4,900,000","4,000,000","3,600,000","3,100,000","3,100,000","2,600,000","2,300,000","2,100,000","2,200,000","1,300,000"
TotalUnusualItemsExcludingGoodwill,"-1,800,000","-1,800,000",,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","-21,800,000",,,,,,,,,,,,,,,,,,"3,000","3,000","3,000","-10,000","-2,000",,,,,,,,,,,"793,000","-8,000","382,000","645,000",,,,"151,000","-1,730,000","-1,066,000","-10,493,000",,,"-25,000",,,,"-6,000","-39,000","7,000",,,,,,"100,000","14,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
