name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
TotalRevenue,"3,127,948,000","3,066,262,000","2,871,922,000","2,259,389,000","1,811,711,000","1,613,883,000","1,459,586,000",,"699,736,000"
	OperatingRevenue,"3,127,948,000","3,066,262,000","2,871,922,000","1,948,374,000","1,580,023,000","1,375,847,000","1,266,596,000",,"597,072,000"
CostOfRevenue,"2,251,816,000","2,189,621,000","2,070,631,000","1,594,883,000","1,264,376,000","1,124,564,000","1,052,208,000",,"461,236,000"
GrossProfit,"876,132,000","876,641,000","801,291,000","664,506,000","547,335,000","489,319,000","407,378,000",,"238,500,000"
OperatingExpense,"526,799,000","511,658,000","519,859,000","487,923,000","384,233,000","324,369,000","350,534,000",,"191,330,000"
	SellingGeneralAndAdministration,"404,787,000","394,925,000","371,795,000","321,987,000","269,893,000","246,417,000","253,970,000",,"160,643,000"
	DepreciationAmortizationDepletionIncomeStatement,"119,568,000","114,898,000","112,247,000","78,227,000","69,506,000","77,952,000","96,564,000",,"30,687,000"
		DepreciationAndAmortizationInIncomeStatement,"119,568,000","114,898,000","112,247,000","78,227,000","69,506,000","77,952,000","96,564,000",,"30,687,000"
	OtherOperatingExpenses,,"1,835,000","35,817,000","87,709,000","44,834,000",,,,
OperatingIncome,"349,333,000","364,983,000","281,432,000","176,583,000","163,102,000","164,950,000","56,844,000",,"47,170,000"
NetNonOperatingInterestIncomeExpense,"-53,105,000","-51,987,000","-57,399,000","-46,729,000","-54,913,000","-61,747,000","-81,939,000",,"-32,823,000"
	InterestExpenseNonOperating,"53,105,000","51,987,000","57,399,000","46,729,000","54,913,000","61,747,000","81,939,000",,"32,823,000"
	TotalOtherFinanceCost,,"51,987,000","57,399,000","46,729,000","54,913,000","61,747,000","81,939,000",,"32,823,000"
OtherIncomeExpense,"-5,164,000","-7,069,000","-2,486,000","-55,307,000","-14,295,000","11,962,000","-16,757,000",,"-18,901,000"
	GainOnSaleOfSecurity,"-543,000","-2,257,000","-1,043,000","-39,622,000","24,029,000","14,048,000","10,538,000",,"-7,841,000"
	SpecialIncomeCharges,"-4,879,000","-4,986,000","-1,072,000","-15,381,000","-38,931,000","-652,000","-25,041,000",,"-11,243,000"
		OtherSpecialCharges,,"3,928,000","952,000","15,023,000","38,178,000",,"25,036,000",,"9,683,000"
		GainOnSaleOfPPE,"-951,000","-1,058,000","-120,000","-358,000","-753,000","-652,000","-5,000",,"-1,560,000"
	OtherNonOperatingIncomeExpenses,"258,000","174,000","-371,000","-304,000","607,000","-1,434,000","-2,254,000",,"183,000"
PretaxIncome,"291,064,000","305,927,000","221,547,000","74,547,000","93,894,000","115,165,000","-41,852,000",,"-4,554,000"
TaxProvision,"51,541,000","62,808,000","67,232,000","-12,623,000","28,494,000","30,004,000","-8,154,000",,"-1,847,000"
EarningsFromEquityInterestNetOfTax,,"0","143,000","123,000","2,775,000","-3,396,000","-2,044,000",,"0"
NetIncomeCommonStockholders,"239,596,000","243,020,000","153,905,000","86,927,000","68,175,000","81,765,000","-35,742,000",,"-2,707,000"
	NetIncome,"239,596,000","243,020,000","153,905,000","86,927,000","68,175,000","81,765,000","-35,742,000",,"-2,707,000"
		NetIncomeIncludingNoncontrollingInterests,"239,523,000","243,119,000","154,458,000","87,293,000","68,175,000","81,765,000","-35,742,000",,"-2,707,000"
			NetIncomeContinuousOperations,"239,523,000","243,119,000","154,458,000","87,293,000","68,175,000","81,765,000","-35,742,000",,"-2,707,000"
		MinorityInterests,"73,000","-99,000","-553,000","-366,000",,,,,
DilutedNIAvailtoComStockholders,"239,596,000","243,020,000","153,905,000","86,927,000","68,175,000","81,765,000","-35,742,000",,"-2,707,000"
BasicEPS,,,"2.4","1.39","1.12","1.36","-0.83","-1.543","-0.047"
